
[00:00:00.000 --> 00:00:02.000]  (字幕:梁家)
[00:00:02.000 --> 00:00:07.080]  剛才我們上半節完結之前就說到
[00:00:07.080 --> 00:00:14.160]  我們要嘗試多從不同的角度去看一件事
[00:00:14.160 --> 00:00:17.200]  不要輕視
[00:00:17.200 --> 00:00:24.720]  更加不要去立刻自衛地去反抗那些
[00:00:24.720 --> 00:00:29.960]  責備我們、批評我們、反對我們的人
[00:00:29.960 --> 00:00:37.640]  這樣的話其實對我們的智慧是有所幫助、有所增長的
[00:00:37.640 --> 00:00:44.880]  所以我希望我們有智慧的基督徒按照聖經所教導的
[00:00:44.880 --> 00:00:47.680]  在我們教會的生活也好、我們跟別人相處也好
[00:00:47.680 --> 00:00:52.680]  我不是教大家別人的意見每個人都對
[00:00:52.680 --> 00:00:54.680]  不是的,千萬不要搞錯
[00:00:54.680 --> 00:00:56.680]  不是說你沒有意見,你也行,我也行
[00:00:56.680 --> 00:00:59.040]  每個人都好,我們很有智慧,不是的
[00:00:59.040 --> 00:01:02.040]  這叫沒有標準,不是有智慧
[00:01:02.040 --> 00:01:04.520]  是那個過程
[00:01:04.520 --> 00:01:10.480]  有些人一聽見不合他心意就封了自己的耳朵,他不聽
[00:01:10.480 --> 00:01:12.960]  我的意思是那種
[00:01:12.960 --> 00:01:17.600]  我們要去學別人跟我們說的意見不同的時候
[00:01:17.600 --> 00:01:21.760]  第一,你先問自己不要立刻反應這麼快
[00:01:21.760 --> 00:01:24.600]  不對的,多餘的
[00:01:24.600 --> 00:01:28.160]  我記得我在《倚香情》寫過一篇文叫《偏見》
[00:01:28.160 --> 00:01:30.160]  我有這樣的感觸
[00:01:30.160 --> 00:01:32.160]  很多時候什麼叫偏見呢
[00:01:32.160 --> 00:01:35.800]  一個人你不喜歡一個人的時候你對他有偏見
[00:01:35.800 --> 00:01:39.240]  偏見就是你不會覺得他會做任何好事
[00:01:39.240 --> 00:01:42.240]  別人說他好話你聽不下去
[00:01:42.240 --> 00:01:43.600]  虛偽的東西
[00:01:43.600 --> 00:01:46.000]  一說到那句不好的那些
[00:01:46.000 --> 00:01:47.800]  就釘死他,一定是對的
[00:01:47.800 --> 00:01:51.440]  他不會想那句是批評你不喜歡那個人
[00:01:51.440 --> 00:01:53.640]  那句話可能也未必是對的
[00:01:53.640 --> 00:01:55.160]  未必是事實
[00:01:55.160 --> 00:01:58.080]  你不喜歡那個人,不喜歡那位朋友
