
[00:00:00.000 --> 00:00:02.000]  (中文字幕:三馬兄)
[00:00:03.000 --> 00:00:05.000]  弟兄姊妹 主內平安
[00:00:05.000 --> 00:00:13.000]  我們在今年一起打開春開及忌
[00:00:13.000 --> 00:00:25.000]  來讀上帝在西乃和以色列十二支派立約
[00:00:25.000 --> 00:00:32.000]  他要做以色列全體百姓的神
[00:00:32.000 --> 00:00:37.000]  而百姓成為神的子民
[00:00:37.000 --> 00:00:42.000]  這是很重要的歷史時刻
[00:00:42.000 --> 00:00:47.000]  以色列人的身份改變
[00:00:47.000 --> 00:00:53.000]  不再是為自己活 不再是法老的奴隸
[00:00:53.000 --> 00:00:59.000]  有人以為春開及自由了 沒王管 沒法老
[00:00:59.000 --> 00:01:04.000]  但他們要成為上主的百姓
[00:01:04.000 --> 00:01:09.000]  侍奉的是獨一的真實
[00:01:09.000 --> 00:01:11.000]  我們今天一樣
[00:01:11.000 --> 00:01:14.000]  彼得寫信提醒教會
[00:01:14.000 --> 00:01:19.000]  唯有你們是被揀選的族類
[00:01:19.000 --> 00:01:22.000]  是有君尊的祭司
[00:01:22.000 --> 00:01:25.000]  是聖潔的國度
[00:01:25.000 --> 00:01:29.000]  是屬神的子民
[00:01:29.000 --> 00:01:33.000]  其實這四句說話不是使徒彼得
[00:01:33.000 --> 00:01:37.000]  受感動自己說出來的
[00:01:37.000 --> 00:01:44.000]  你可以回去找一找春開及忌十九章
[00:01:44.000 --> 00:01:51.000]  當以色列全體會眾來到西乃山的時候
[00:01:51.000 --> 00:01:56.000]  這是上帝透過摩西跟他們說
[00:01:56.000 --> 00:02:04.000]  正確的彼得是逐個字這樣引用
[00:02:04.000 --> 00:02:09.000]  然後對教會的弟兄姊妹說
[00:02:09.000 --> 00:02:16.000]  所以我們今天其實都經歷了一個這樣的身份改變
[00:02:16.000 --> 00:02:21.000]  上帝沒有停在山上立約
[00:02:21.000 --> 00:02:26.000]  他吩咐摩西教導百姓
[00:02:26.000 --> 00:02:30.000]  有一本叫做約書
[00:02:30.000 --> 00:02:32.000]  Book of the Covenant
[00:02:32.000 --> 00:02:35.000]  是摩西讀給百姓聽
[00:02:35.000 --> 00:02:39.000]  聽完之後大家要回答
[00:02:39.000 --> 00:02:41.000]  上帝所吩咐的
[00:02:41.000 --> 00:02:43.000]  我們都要進行
[00:02:43.000 --> 00:02:48.000]  所以我們看的經文
[00:02:48.000 --> 00:02:51.000]  我們說分開十二段
[00:02:51.000 --> 00:02:52.000]  這麼巧合的
[00:02:52.000 --> 00:02:54.000]  可能你有不同的分化
[00:02:54.000 --> 00:02:55.000]  不要緊
[00:02:55.000 --> 00:02:58.000]  不過十二個支派
[00:02:58.000 --> 00:03:00.000]  十二個段落
[00:03:00.000 --> 00:03:04.000]  都是強調他們在神的面前
[00:03:04.000 --> 00:03:09.000]  立約不同的身份
[00:03:09.000 --> 00:03:12.000]  所以它的內容說什麼
[00:03:12.000 --> 00:03:16.000]  我們來到差不多中間的部分
[00:03:16.000 --> 00:03:22.000]  所以今天我想先和你來分享一個大圖畫
[00:03:22.000 --> 00:03:25.000]  弟兄姊妹一路讀的時候
[00:03:25.000 --> 00:03:29.000]  可能個別的章節
[00:03:29.000 --> 00:03:34.000]  你會覺得不太知道他們在教什麼
[00:03:34.000 --> 00:03:40.000]  50年前耶路撒冷希伯來大學
[00:03:40.000 --> 00:03:46.000]  一位年輕博士研究生
[00:03:46.000 --> 00:03:48.000]  他的名字你都會讀
[00:03:48.000 --> 00:03:49.000]  Shalom Paul
[00:03:49.000 --> 00:03:52.000]  兩個字你都會解
[00:03:52.000 --> 00:03:54.000]  他今天成為了
[00:03:54.000 --> 00:03:56.000]  希伯來大學的聖經教授
[00:03:56.000 --> 00:03:57.000]  退休了
[00:03:57.000 --> 00:04:04.000]  當年他的博士論文研究的題目
[00:04:04.000 --> 00:04:10.000]  就是崔埃及的21章到23章
[00:04:10.000 --> 00:04:12.000]  約書
[00:04:12.000 --> 00:04:15.000]  The Book of the Covenant
[00:04:15.000 --> 00:04:20.000]  他的研究就是將聖經裏面的經文
[00:04:20.000 --> 00:04:25.000]  紅、當代、摩西的時候
[00:04:25.000 --> 00:04:30.000]  當時不是野蠻、食人族
[00:04:30.000 --> 00:04:34.000]  不是四大文明古國
[00:04:34.000 --> 00:04:36.000]  考一下你的通識
[00:04:36.000 --> 00:04:37.000]  不是的
[00:04:37.000 --> 00:04:42.000]  我們以前是世界歷史第一堂中一
[00:04:42.000 --> 00:04:44.000]  什麼呢
[00:04:44.000 --> 00:04:47.000]  Civilization began in Egypt
[00:04:47.000 --> 00:04:49.000]  我們每個人都會背這句話
