
[00:00:00.000 --> 00:00:06.400]  各位頂姐妹 各位朋友 平安
[00:00:06.400 --> 00:00:14.320]  在今天這個世界 平安是非常非常難求的
[00:00:14.320 --> 00:00:16.320]  每逢我們去到一個地方
[00:00:16.320 --> 00:00:20.480]  那個地方遇到有天災有人禍的時候
[00:00:20.480 --> 00:00:25.200]  那裏的人就很想有得搬 他就搬
[00:00:25.200 --> 00:00:28.160]  就希望能夠去一個更加好的地方
[00:00:28.160 --> 00:00:33.280]  但問題是到底這個世界哪個是最好的地方
[00:00:33.280 --> 00:00:38.160]  如果我要移民 如果我要去那裏暫住
[00:00:38.160 --> 00:00:43.280]  等到我們本來的鄉下城市好了
[00:00:43.280 --> 00:00:46.080]  我才回來 行不行呢
[00:00:46.080 --> 00:00:50.560]  今天很多人都有這些不同的打算
[00:00:50.560 --> 00:00:53.760]  這些打算包括要求是怎樣
[00:00:53.760 --> 00:00:56.960]  可不可以移民 如果不可以移民
[00:00:56.960 --> 00:01:00.160]  去到的時候他需要有多少錢
[00:01:00.160 --> 00:01:03.200]  然後各方面學歷又怎樣
[00:01:03.200 --> 00:01:08.000]  需不需要完全學他的語言
[00:01:08.000 --> 00:01:14.560]  另一方面到底是不是要放棄我們本來的國籍
[00:01:14.560 --> 00:01:18.960]  甚至我們居留在這個地方的資格呢
[00:01:18.960 --> 00:01:23.440]  很多這些問題都是一般的人他們很想問
[00:01:23.440 --> 00:01:26.480]  當他們看到這個移民的問題
[00:01:26.480 --> 00:01:29.360]  或者是寄居去的地方的問題
[00:01:29.360 --> 00:01:33.280]  搬離這個多災多難的城市
[00:01:33.280 --> 00:01:36.080]  在這樣的情形下我們去哪裏
[00:01:36.080 --> 00:01:41.680]  我想給大家來看看在過去一直以來高舉榜首
[00:01:41.680 --> 00:01:44.320]  他們稱為一個移民的天堂
[00:01:44.320 --> 00:01:48.000]  或者是退休的天堂一些地方
[00:01:48.000 --> 00:01:52.080]  其中一個地方就是加拿大的溫哥華
[00:01:52.080 --> 00:01:57.200]  另外一個地方就是美國的西雅圖
[00:01:57.200 --> 00:02:01.280]  但是留意看到這兩個不同的地方的時候
[00:02:01.280 --> 00:02:06.160]  你會發覺到原來我們以為那些是天堂
[00:02:06.160 --> 00:02:09.040]  但是竟然在7月開始
[00:02:09.040 --> 00:02:12.720]  那個地方成為人間的地獄一樣
[00:02:12.720 --> 00:02:16.880]  溫哥華是從來沒有試過49度
[00:02:16.880 --> 00:02:21.040]  甚至有一些地方是去到50度攝氏
[00:02:21.040 --> 00:02:24.560]  另一方面就是因為溫度很高
[00:02:24.560 --> 00:02:26.800]  各方面的東西非常乾燥
[00:02:26.800 --> 00:02:32.000]  帶來的結果就引致山林大火到處都是
[00:02:32.000 --> 00:02:36.320]  很短的時間裏面整個鎮可以化為烏有
[00:02:36.320 --> 00:02:40.000]  另一方面我們看到直接在BC省
[00:02:40.000 --> 00:02:45.680]  或者在溫哥華附近的地方
[00:02:45.680 --> 00:02:52.640]  是有26個不同的火頭同時燃起
[00:02:52.640 --> 00:02:55.440]  帶來的結果聽他們說
[00:02:55.440 --> 00:03:01.200]  大概有四分一到三分之一的林木已經毀壞
[00:03:01.200 --> 00:03:04.320]  沒有辦法能夠再恢復舊觀
[00:03:04.320 --> 00:03:08.160]  另一方面來說我們看回美國
[00:03:08.160 --> 00:03:15.600]  西北西雅圖本來都是一個移民或者退休的天堂
[00:03:15.600 --> 00:03:21.920]  但是同樣他們的高溫是令到那裏是沒有辦法能夠承受
[00:03:21.920 --> 00:03:28.320]  溫哥華的高溫是導致超過700人以上是熱死了
[00:03:28.320 --> 00:03:30.240]  是從來沒有試過的
[00:03:30.240 --> 00:03:33.280]  是數以百年沒有試過
[00:03:33.280 --> 00:03:36.320]  他們立國以來沒有試過
[00:03:36.320 --> 00:03:38.320]  西雅圖也是一樣
[00:03:38.320 --> 00:03:39.520]  我們問這個問題
[00:03:39.520 --> 00:03:46.480]  為什麼溫哥華的地方最熱的時候只不過是22-23度攝氏
[00:03:46.480 --> 00:03:52.720]  稍為熱一點他們就會開放一些公共設施
[00:03:52.720 --> 00:03:58.400]  一些體育場館、室內的社區中心
[00:03:58.400 --> 00:04:00.800]  讓那些人在那裏避暑
[00:04:00.800 --> 00:04:03.920]  但是今年一個特別的地方
[00:04:03.920 --> 00:04:05.920]  就是因為這個疫症的緣故
[00:04:05.920 --> 00:04:08.480]  全部這些場所是關閉的
[00:04:08.480 --> 00:04:10.480]  是不讓人去用的
