
[00:00:00.000 --> 00:00:03.420]  我經常覺得等候是一個很難
[00:00:03.420 --> 00:00:07.620]  而且很有挑戰性的一件事
[00:00:07.620 --> 00:00:10.620]  為什麼要等候呢?
[00:00:10.620 --> 00:00:14.620]  就是你期待希望出現的東西沒有出現
[00:00:14.620 --> 00:00:16.620]  你就要等候了 是吧?
[00:00:16.620 --> 00:00:19.620]  約了人家7點45分在門口
[00:00:19.620 --> 00:00:21.620]  如果來到7點45分 哦!
[00:00:21.620 --> 00:00:23.620]  我現在要等候了
[00:00:23.620 --> 00:00:25.620]  我現在要等候了
[00:00:25.620 --> 00:00:27.620]  我現在要等候了
[00:00:27.620 --> 00:00:30.620]  如果來到7點45分 哦!在這裡了
[00:00:30.620 --> 00:00:32.620]  那就不用等候了
[00:00:32.620 --> 00:00:36.620]  但是7點45分到8點還沒來呢?
[00:00:36.620 --> 00:00:37.620]  那就要等候了
[00:00:37.620 --> 00:00:40.620]  等候是一個很不容易的功課
[00:00:40.620 --> 00:00:44.620]  就是你期待的東西沒有出現
[00:00:44.620 --> 00:00:46.620]  我不知道在你人生裡
[00:00:46.620 --> 00:00:49.620]  我們說等候主的時候我們說得多了
[00:00:49.620 --> 00:00:55.620]  但是我們能不能夠去期待出現的事情沒有出現的時候
[00:00:55.620 --> 00:00:58.620]  我們最主要仍然要信靠
[00:00:58.620 --> 00:01:04.620]  以致我們可以有這種信任和耐心去等候
[00:01:04.620 --> 00:01:07.620]  大家記住 我們等候的是主
[00:01:07.620 --> 00:01:09.620]  不是等候的朋友
[00:01:09.620 --> 00:01:12.620]  人都會有失約的
[00:01:12.620 --> 00:01:14.620]  如果你相信他是主的話
[00:01:14.620 --> 00:01:15.620]  他是不會失約的
[00:01:15.620 --> 00:01:17.620]  不過有時候你等候的 有時候是信的
[00:01:17.620 --> 00:01:20.620]  那個就是一個挑戰和一個學習
[00:01:20.620 --> 00:01:24.620]  我們今天一樣是面對這段聖經的時候
[00:01:24.620 --> 00:01:26.620]  我相信當時候的讀者
[00:01:26.620 --> 00:01:29.620]  希伯來背景的弟兄姐妹
[00:01:29.620 --> 00:01:32.620]  都有相同的挑戰
[00:01:32.620 --> 00:01:34.620]  我們看希伯來書第十章
[00:01:34.620 --> 00:01:36.620]  我們剛才讀的那段聖經
[00:01:36.620 --> 00:01:39.620]  今天我們看中間兩段的經文
[00:01:39.620 --> 00:01:41.620]  剛才我們所讀的
[00:01:41.620 --> 00:01:46.620]  在希伯來書 大家都知道我們一直都會讀希伯來書
[00:01:46.620 --> 00:01:51.620]  希伯來書的主要當時的讀者就是希伯來人
[00:01:51.620 --> 00:01:53.620]  希伯來人就是以色列人
[00:01:53.620 --> 00:01:55.620]  以色列人就是當時
[00:01:55.620 --> 00:02:00.620]  有很深的本來猶太教背景的以色列人
[00:02:00.620 --> 00:02:02.620]  他皈信了耶穌基督
[00:02:02.620 --> 00:02:04.620]  希伯來書的作者就告訴他
[00:02:04.620 --> 00:02:06.620]  你信了耶穌之後
[00:02:06.620 --> 00:02:08.620]  生命很不同
[00:02:08.620 --> 00:02:10.620]  因為以前你不認識耶穌
[00:02:10.620 --> 00:02:12.620]  現在我想介紹給你知道
[00:02:12.620 --> 00:02:14.620]  原來這位主耶穌基督
[00:02:14.620 --> 00:02:17.620]  才是最重要我們信仰的核心
[00:02:17.620 --> 00:02:19.620]  所以希伯來書不容易的
[00:02:19.620 --> 00:02:22.620]  有很多的背景你和我都不是很熟
[00:02:22.620 --> 00:02:25.620]  是一千年前的猶太人的信仰
[00:02:25.620 --> 00:02:26.620]  宗教的背景
[00:02:26.620 --> 00:02:27.620]  不過不要緊
[00:02:27.620 --> 00:02:29.620]  來到第十章
