
[00:00:00.000 --> 00:00:08.000]  今天就來到我們突破人生的十種祈求第九講
[00:00:08.000 --> 00:00:11.000]  題目是認識自己
[00:00:11.000 --> 00:00:15.000]  以前我在中大讀神學的時候
[00:00:15.000 --> 00:00:17.000]  因為也有一些空堂的時間
[00:00:17.000 --> 00:00:21.000]  我就很喜歡去不同的學系裏旁聽
[00:00:21.000 --> 00:00:24.000]  因為又不用錢又可以學到多些東西
[00:00:24.000 --> 00:00:28.000]  其中一個很喜歡去的學系就是心理學系
[00:00:28.000 --> 00:00:32.000]  其中有一次上課那位教授就說
[00:00:32.000 --> 00:00:41.000]  其實在這個世界上最不了解自己的人就是自己
[00:00:41.000 --> 00:00:44.000]  我想看大家的反應就是很同意
[00:00:44.000 --> 00:00:45.000]  我問很多朋友他們都說
[00:00:45.000 --> 00:00:49.000]  「是的,我真的不是很了解自己」
[00:00:49.000 --> 00:00:52.000]  但其實我想想社會越來越進步
[00:00:52.000 --> 00:00:53.000]  科技越來越發達
[00:00:53.000 --> 00:00:55.000]  應該更了解自己才對
[00:00:55.000 --> 00:00:58.000]  譬如對自己的身體應該很了解
[00:00:58.000 --> 00:01:03.000]  譬如我們以前有X-ray照X光
[00:01:03.000 --> 00:01:06.000]  後期有一個叫CT scan
[00:01:06.000 --> 00:01:08.000]  我不知道大家知不知道是甚麼
[00:01:08.000 --> 00:01:09.000]  CT scan
[00:01:09.000 --> 00:01:12.000]  再後期有MRI
[00:01:12.000 --> 00:01:13.000]  很複雜
[00:01:13.000 --> 00:01:14.000]  即是你捐了進去
[00:01:14.000 --> 00:01:15.000]  我也試過
[00:01:15.000 --> 00:01:17.000]  躺在那裏捐了進洞裏
[00:01:17.000 --> 00:01:22.000]  然後甚麼身體有任何毛病都無所遁形
[00:01:22.000 --> 00:01:26.000]  或者之後很多時候心理學研究了很多
[00:01:26.000 --> 00:01:29.000]  了解自己性格的一些測試
[00:01:29.000 --> 00:01:31.000]  譬如有些叫九型人格
