
[00:00:00.000 --> 00:00:05.560]  在聆聽主的說話以先
[00:00:05.560 --> 00:00:08.840]  我們再次同心低頭禱告
[00:00:08.840 --> 00:00:12.080]  將我們的生命交給主我們的誓
[00:00:12.080 --> 00:00:15.840]  父神多謝祢給我們再次有生命氣息
[00:00:15.840 --> 00:00:17.280]  踏足在地上
[00:00:17.280 --> 00:00:21.000]  行走在你的創造裏面
[00:00:21.000 --> 00:00:25.760]  能夠讓我們不單享受上帝創造的榮美
[00:00:25.760 --> 00:00:28.280]  並且讓我們在這個地方
[00:00:28.280 --> 00:00:30.040]  能夠帶著一個使命
[00:00:30.040 --> 00:00:32.760]  能夠去真正活出
[00:00:32.760 --> 00:00:35.560]  反映到上帝的榮美
[00:00:35.560 --> 00:00:38.120]  求祢給我們這份委託
[00:00:38.120 --> 00:00:41.040]  可以妥善的去實踐
[00:00:41.040 --> 00:00:46.440]  也祈求上主給我們有充足的智慧和恩賜
[00:00:46.440 --> 00:00:48.640]  好使我們能夠在這個地上
[00:00:48.640 --> 00:00:51.680]  能夠活出合神心意的生命
[00:00:51.680 --> 00:00:53.040]  求祢要帶領
[00:00:53.040 --> 00:00:57.200]  無論是聆聽的、說的、善上的
[00:00:57.200 --> 00:00:59.200]  善下實體的
[00:00:59.200 --> 00:01:01.200]  我們要祈求上主
[00:01:01.200 --> 00:01:04.960]  每一個都透過聖靈去祝福我們
[00:01:04.960 --> 00:01:09.880]  有充足的聰明智慧去了解、明白
[00:01:09.880 --> 00:01:13.040]  並且領受上主的說話
[00:01:13.040 --> 00:01:15.760]  成為我們屬靈生命的一部份
[00:01:15.760 --> 00:01:20.000]  好使我們能夠活出、行出
[00:01:20.000 --> 00:01:27.480]  並且說出準確上帝的救恩、道理
[00:01:27.480 --> 00:01:30.480]  祢的生命的特性
[00:01:30.480 --> 00:01:34.120]  讓每一個能夠接觸到主祢的說話
[00:01:34.120 --> 00:01:36.920]  都同蒙救恩的祝福
[00:01:36.920 --> 00:01:40.400]  禱告奉靠主耶穌基督的名字而求
[00:01:40.400 --> 00:01:42.400]  阿們
[00:01:42.400 --> 00:01:46.560]  我以前小時候因為家裡不是很有錢
[00:01:46.560 --> 00:01:52.640]  所以每當得到一樣東西我們都會很珍惜
[00:01:52.640 --> 00:01:59.520]  尤其是小朋友沒什麼機會經常去買玩具
[00:01:59.520 --> 00:02:01.520]  我們家裡有個特色
[00:02:01.520 --> 00:02:03.520]  不是隨便買一件玩具給你
[00:02:03.520 --> 00:02:06.840]  我家其實街口附近有幾間玩具店
[00:02:06.840 --> 00:02:09.840]  但是有份看就沒份買
[00:02:09.840 --> 00:02:14.720]  見到同學有份買玩具真的很羨慕
[00:02:14.720 --> 00:02:17.040]  我父母通常都這樣說
[00:02:17.040 --> 00:02:21.760]  你考試考到好成績我就買一件玩具給你
[00:02:21.760 --> 00:02:27.720]  的而且確有時偶有僥倖
