
[00:00:00.000 --> 00:00:06.600]  今天被吩咐我要講一個課題
[00:00:06.600 --> 00:00:08.600]  關於公義這個課題
[00:00:08.600 --> 00:00:13.700]  當然我們會選擇尼加書的六章三道八節的經文
[00:00:13.700 --> 00:00:16.700]  和大家一起去到思想上帝的話語
[00:00:16.700 --> 00:00:18.700]  我們一起有個祈禱開始
[00:00:18.700 --> 00:00:22.000]  慈悲人外的天父多謝你
[00:00:22.000 --> 00:00:24.800]  讓我們一起去到密上經文
[00:00:24.800 --> 00:00:28.800]  我們真是實在活在一個瘋癲的世代
[00:00:28.800 --> 00:00:33.600]  祈求主祢的話語再次成為我們的激勵和幫助
[00:00:33.600 --> 00:00:35.600]  讓我們前行有方向
[00:00:35.600 --> 00:00:38.600]  讓我們黑暗當中有明燈照耀
[00:00:38.600 --> 00:00:41.400]  讓我們疲乏的心靈得著甦醒
[00:00:41.400 --> 00:00:43.400]  讓我們前行有動力
[00:00:43.400 --> 00:00:45.400]  求主幫助孩子
[00:00:45.400 --> 00:00:47.400]  講解祢的話語清楚
[00:00:47.400 --> 00:00:50.000]  我們同心謙卑去到領受
[00:00:50.000 --> 00:00:52.400]  祈禱是奉耶穌基督命求
[00:00:52.400 --> 00:00:54.400]  阿們
[00:00:54.400 --> 00:00:56.400]  我今天拿了一個powerpoint來
[00:00:56.400 --> 00:01:01.400]  就是尼加書六章三道八節的經文
[00:01:01.400 --> 00:01:04.400]  其實是東金世代非常難解的經文
[00:01:04.400 --> 00:01:09.400]  行公義,好憐憫,傳謙卑的心,與神同行
[00:01:09.400 --> 00:01:12.400]  又何止是一個政治的口號
[00:01:12.400 --> 00:01:17.400]  而這個口號似乎比較多拿來進行評論和作為
[00:01:17.400 --> 00:01:20.400]  指出誰不行公義,誰不好憐憫
[00:01:20.400 --> 00:01:24.400]  似乎當香港人引用這段經文的時候
[00:01:24.400 --> 00:01:27.400]  我們有一種政治性的取向
[00:01:27.400 --> 00:01:30.400]  無論什麼政治的光譜,深藍或深黃
[00:01:30.400 --> 00:01:32.400]  都會引用這段經文
[00:01:32.400 --> 00:01:36.400]  所以我們發現原來一段經文放在不同人的手中
[00:01:36.400 --> 00:01:39.400]  可以有很多不同的演繹
[00:01:39.400 --> 00:01:43.400]  對任何事物其實有難免的政治的詮釋
[00:01:43.400 --> 00:01:46.400]  不過其實在一個這樣的政治環境氣候中
[00:01:46.400 --> 00:01:49.400]  很多東西都會被政治化
[00:01:49.400 --> 00:01:55.400]  我們都知道要合乎某個政治正確的環境
[00:01:55.400 --> 00:02:00.400]  在這樣的主導下,我們對這段經文很想
[00:02:00.400 --> 00:02:03.400]  我們想還原當中的意思
[00:02:03.400 --> 00:02:07.400]  讓我們能夠看看以色列民當初說這段經文的時候
[00:02:07.400 --> 00:02:11.400]  又或者聆聽尼加書尼加先知說這段經文的時候
[00:02:11.400 --> 00:02:13.400]  究竟是什麼意思
[00:02:13.400 --> 00:02:18.400]  我認為在教會當中我們應該會公聽上帝的話語
[00:02:18.400 --> 00:02:22.400]  今天他說到我們需要傳開放的心去聆聽
[00:02:22.400 --> 00:02:25.400]  不是因為這段經文說一些政治正確的話
[00:02:25.400 --> 00:02:28.400]  有可能是政治不正確也說不定
[00:02:28.400 --> 00:02:31.400]  因為神正是向我們的生命說話
[00:02:31.400 --> 00:02:36.400]  不是因為我們聽完就可以利用這段經文批評其他人
[00:02:36.400 --> 00:02:40.400]  當批評其他人的時候,首先批判我們的生命
[00:02:40.400 --> 00:02:46.400]  讓我們的生命得到上帝的話語的滋潤、根深、塑造和改變
[00:02:46.400 --> 00:02:52.400]  所以我今天很想透過三點跟大家一起分享這段經文
[00:02:52.400 --> 00:02:56.400]  第一點很想和大家一起看第三到第五節的經文
[00:02:56.400 --> 00:03:02.400]  他就說我的百姓,我向你做的是什麼呢?
[00:03:02.400 --> 00:03:05.400]  我在什麼事上令你煩厭呢?
[00:03:05.400 --> 00:03:10.400]  你可以對我證明,我曾將你從埃及地領出來
[00:03:10.400 --> 00:03:13.400]  從盧卜茲加去到救贖你
[00:03:13.400 --> 00:03:18.400]  我也猜險摩西亞倫和米利安在你面前行
[00:03:18.400 --> 00:03:23.400]  我的百姓,你們當追念摩亞王巴勒所設的謀
[00:03:23.400 --> 00:03:27.400]  和比爾的兒子巴勒回答他的話
[00:03:27.400 --> 00:03:31.400]  並你們從實評到吉甲所遇見的事
[00:03:31.400 --> 00:03:36.400]  好使你們知道耶和華公義的作為
[00:03:36.400 --> 00:03:38.400]  三到五節的經文
[00:03:38.400 --> 00:03:41.400]  還沒討論行公義的細節以先
[00:03:41.400 --> 00:03:46.400]  先知道首先定義什麼叫公義
[00:03:46.400 --> 00:03:50.400]  這個公義我們不能夠脫離上下文去解釋
[00:03:50.400 --> 00:03:56.400]  他不是用一個冷冰冰的教條去定義上帝的公義
[00:03:56.400 --> 00:04:01.400]  而是述說一次以色列盟在遠古裡的故事
[00:04:01.400 --> 00:04:04.400]  這個故事就是出埃及的故事
[00:04:04.400 --> 00:04:07.400]  經文就在第五節說明
[00:04:07.400 --> 00:04:12.400]  好使你們知道耶和華公義的作為
[00:04:12.400 --> 00:04:16.400]  意思就是說之前第五節前面所提到的事情
[00:04:16.400 --> 00:04:20.400]  就是耶和華公義的作為
[00:04:20.400 --> 00:04:21.400]  第一點我們要留意
[00:04:21.400 --> 00:04:26.400]  神的公義永遠都是一個作為
[00:04:26.400 --> 00:04:28.400]  是走出來的事情
[00:04:28.400 --> 00:04:30.400]  不是一個口號
[00:04:30.400 --> 00:04:32.400]  也不是一個訴求這麼簡單
[00:04:32.400 --> 00:04:36.400]  我們看清楚這個作為到底是什麼
[00:04:36.400 --> 00:04:39.400]  就是在第三到第四節當中
[00:04:39.400 --> 00:04:42.400]  我們看到什麼叫上帝公義的作為
[00:04:42.400 --> 00:04:46.400]  就是出埃及故事當中我們理解公義的核心
[00:04:46.400 --> 00:04:51.400]  經文說到耶和華是一位曾經將以色列人
[00:04:51.400 --> 00:04:54.400]  從埃及領出來的上帝
[00:04:54.400 --> 00:04:59.400]  並且將埃及地描繪為奴隸的地方
[00:04:59.400 --> 00:05:01.400]  代表公義的定義
[00:05:01.400 --> 00:05:06.400]  其實就是將上帝的子民從奴隸的地方拯救出來
[00:05:06.400 --> 00:05:12.400]  神不是要求以色列人先行公義然後才拯救
