
[00:00:00.000 --> 00:00:05.000]  請姐妹們住來平安
[00:00:05.000 --> 00:00:10.000]  多謝俊華嘉明他們的帶領
[00:00:10.000 --> 00:00:13.000]  讓我們可以安靜
[00:00:13.000 --> 00:00:19.000]  也聚焦在上帝的面前
[00:00:19.000 --> 00:00:29.000]  我們今年嘗試從摩西五經順著次序
[00:00:29.000 --> 00:00:41.000]  一路創出黎民新五卷摩西律法書訓誨
[00:00:41.000 --> 00:00:45.000]  我們今天來到西明記
[00:00:45.000 --> 00:00:49.000]  五經裏面如果你說創世紀
[00:00:49.000 --> 00:01:00.000]  全部都是敘述、故事、人物、歷史
[00:01:00.000 --> 00:01:05.000]  但來到新明記就不是了
[00:01:05.000 --> 00:01:11.000]  所以如果我們仍然想讀人物、事件
[00:01:11.000 --> 00:01:24.000]  我們就錯過了在新明記一個很整齊的結構安排裏面
[00:01:24.000 --> 00:01:31.000]  其實那些誡明、律例、典章
[00:01:31.000 --> 00:01:36.000]  才是我們需要好好去掌握的
[00:01:36.000 --> 00:01:40.000]  所以我們說五經中的性別神學
[00:01:40.000 --> 00:01:43.000]  沒錯 創世紀、崔威夾記
[00:01:43.000 --> 00:01:48.000]  我們會說人物、歷史、上帝的創造
[00:01:48.000 --> 00:01:50.000]  但其實來到利美記
[00:01:50.000 --> 00:01:54.000]  我們已經要看誡明、律例、典章
[00:01:54.000 --> 00:01:58.000]  新明記尤其是因為七個標題句
[00:01:58.000 --> 00:02:05.000]  將整本書分成三個主要部分
[00:02:05.000 --> 00:02:16.000]  中間最長的篇幅是十二章到二十八章
[00:02:16.000 --> 00:02:19.000]  這部分的標題句說
[00:02:19.000 --> 00:02:30.000]  「這些律例、典章就是你們所要謹守進行的」
[00:02:30.000 --> 00:02:34.000]  我不詳細去解釋
[00:02:34.000 --> 00:02:39.000]  我只想指出律例、典章
[00:02:39.000 --> 00:02:48.000]  給我們一個很刻板、很嚴肅的印象
[00:02:48.000 --> 00:02:50.000]  很多交通規則
[00:02:50.000 --> 00:02:55.000]  罰款多少錢、增加多少
[00:02:55.000 --> 00:02:58.000]  不是的 這是一個錯覺
[00:02:58.000 --> 00:03:00.000]  我們一提到律法
