
[00:00:00.000 --> 00:00:06.680]  剛剛講完羅馬書第四章
[00:00:06.680 --> 00:00:09.360]  羅馬書暫時告一段落
[00:00:09.360 --> 00:00:13.440]  我們今年會講路德記和《薩姆異常》
[00:00:13.440 --> 00:00:16.800]  但在講這兩本書的時候
[00:00:16.800 --> 00:00:21.440]  有少許時間可以加插一些單元的講道
[00:00:21.440 --> 00:00:26.560]  今天要講的是神跡、醫治和方形的因似
[00:00:26.560 --> 00:00:28.560]  是否仍然存在
[00:00:28.560 --> 00:00:32.160]  這是一個很具爭議性的題目
[00:00:32.160 --> 00:00:36.400]  有很多人都有誤解對經文的誤解
[00:00:36.400 --> 00:00:37.640]  所以我們今天來看看
[00:00:37.640 --> 00:00:40.920]  究竟這些神跡、醫治和方形的因似
[00:00:40.920 --> 00:00:42.720]  是否仍然存在
[00:00:42.720 --> 00:00:45.960]  剛才我們讀了經文
[00:00:45.960 --> 00:00:50.280]  就是哥倫多前書十二章九至十節
[00:00:50.280 --> 00:00:52.520]  請聽我再讀一次
[00:00:52.520 --> 00:00:55.960]  有人同一位聖靈領受信心
[00:00:55.960 --> 00:01:00.960]  有人由同一位聖靈領受醫治的因似
[00:01:00.960 --> 00:01:03.160]  又有人能行義能
[00:01:03.160 --> 00:01:05.560]  又有人能作先知
[00:01:05.560 --> 00:01:07.960]  又有人能辨別諸靈
[00:01:07.960 --> 00:01:10.160]  又有人能說方言
[00:01:10.160 --> 00:01:12.560]  又有人能翻方言
[00:01:12.560 --> 00:01:18.320]  這一切都是由唯一的同一位聖靈所運行
[00:01:18.320 --> 00:01:22.360]  隨著自己的旨意分給各人的
[00:01:22.360 --> 00:01:26.680]  有沒有看到這裡說了六樣因似
[00:01:26.680 --> 00:01:30.800]  有神跡、醫治、方形
[00:01:30.800 --> 00:01:34.640]  有作先知的辨別諸靈
[00:01:34.640 --> 00:01:38.280]  先知和辨別諸靈我不會在這篇說
[00:01:38.280 --> 00:01:40.120]  希望遲些有時間
[00:01:40.120 --> 00:01:43.880]  今天主要跟大家看這四樣東西
[00:01:43.880 --> 00:01:48.920]  神跡、醫治、方形和方形的翻譯
[00:01:48.920 --> 00:01:52.480]  我們先看看保羅告訴我們
[00:01:52.480 --> 00:01:57.400]  神給教會、給神子民的因似是怎樣
[00:01:57.400 --> 00:02:00.760]  在《江南多前書》14章12節
[00:02:00.760 --> 00:02:02.840]  「你們也是如此
[00:02:02.840 --> 00:02:05.640]  既是切勿屬靈的因似
[00:02:05.640 --> 00:02:09.920]  就當求多得做就教會的因似」
[00:02:09.920 --> 00:02:12.400]  有沒有看到保羅給我們的教導
[00:02:12.400 --> 00:02:14.400]  因似是用來做什麼?
[00:02:14.400 --> 00:02:16.880]  是用來做就教會
[00:02:16.880 --> 00:02:18.640]  這一點是很重要
[00:02:18.640 --> 00:02:23.440]  做就教會就是做就耶穌基督的肢體
[00:02:23.440 --> 00:02:26.440]  使我們的教會能夠合一
[00:02:26.440 --> 00:02:29.360]  能夠有美好的見證
[00:02:29.360 --> 00:02:33.040]  這就是這些因似的目的
[00:02:33.040 --> 00:02:36.000]  最重要是要來做就教會
[00:02:36.000 --> 00:02:41.040]  其實在《江南多前書》12章和《羅馬書》12章
[00:02:41.040 --> 00:02:44.080]  都有不同屬靈因似的清單
[00:02:44.080 --> 00:02:46.640]  有很多不同的屬靈因似
[00:02:46.640 --> 00:02:51.440]  其實我們可以將這些屬靈的因似分為兩種
[00:02:51.440 --> 00:02:55.120]  第一種我叫做永久的、永恆的
[00:02:55.120 --> 00:02:58.480]  不是說你去到天堂還需要這些因似
[00:02:58.480 --> 00:03:01.200]  是地上永恆的因似
[00:03:01.200 --> 00:03:03.200]  這些因似就好像剛才
[00:03:03.200 --> 00:03:06.560]  《江南多前書》14章12節所說
[00:03:06.560 --> 00:03:09.600]  要來做什麼?做就教會
[00:03:09.600 --> 00:03:13.280]  所以我叫做永恆做就教會的因似
[00:03:13.280 --> 00:03:15.520]  這些因似是給信徒的
[00:03:15.520 --> 00:03:17.120]  是給教會的
[00:03:17.120 --> 00:03:19.760]  是要建立耶穌基督的肢體
[00:03:19.760 --> 00:03:21.360]  是要建立信徒
