
[00:00:00.000 --> 00:00:12.400]  明白舊約聖經這個課程不是要代替我們自己親自去讀舊約聖經的功夫
[00:00:12.400 --> 00:00:20.000]  讀神的話原本就是我們弟兄姊妹一生應該做的侍奉
[00:00:20.000 --> 00:00:32.000]  但我希望能夠透過簡單的課程幫助我們先對舊約聖經的主題脈絡有一個掌握
[00:00:32.000 --> 00:00:44.000]  然後我們可以減低對舊約聖經的擁場篇幅好像很複雜的內容的恐懼感
[00:00:44.000 --> 00:00:50.000]  反而能夠產生對舊約聖經的興趣這是我們課程的目的
[00:00:50.000 --> 00:00:57.000]  在第一講裡我們先來討論舊約聖經這個正典的結構
[00:00:57.000 --> 00:01:01.000]  我們先要處理幾個很簡單的問題
[00:01:01.000 --> 00:01:09.000]  第一很多基督徒都有一個印象覺得舊約聖經沒有新約聖經那麼重要
[00:01:09.000 --> 00:01:19.000]  但其實如果我們留心讀新約聖經我們發覺在新約的時候其實聖經就是舊約聖經
[00:01:19.000 --> 00:01:27.000]  譬如耶穌基督在約翰福音第五章三十九節說你們查考聖經你們以為內宗有永生
[00:01:27.000 --> 00:01:30.000]  耶穌說的聖經是指舊約聖經
[00:01:30.000 --> 00:01:40.000]  士徒行傳十七章十一節提到比利亞人天天查考聖經要曉得這道事與不是
[00:01:40.000 --> 00:01:43.000]  聖經也是指舊約聖經
[00:01:43.000 --> 00:01:48.000]  我們比較熟悉士徒保羅所說在提摩太后書三章十六節
[00:01:48.000 --> 00:01:51.000]  聖經都是神所默示的
[00:01:51.000 --> 00:01:56.000]  這裡聖經其實也是指舊約聖經
[00:01:56.000 --> 00:02:00.000]  當然舊約聖經不是用中文寫成的
[00:02:00.000 --> 00:02:03.000]  原本的文字是希伯來文
[00:02:03.000 --> 00:02:07.000]  少部分內容是用阿蘭文寫成
[00:02:07.000 --> 00:02:16.000]  今天我們有舊約聖經原來希伯來文的首抄本稱為瑪瑟拉抄本
[00:02:16.000 --> 00:02:22.000]  這個首抄本是主後第十世紀左右的時候流傳下來的
[00:02:22.000 --> 00:02:29.000]  這份首稿現在還保存在蘇聯列寧格納的國家圖書館裡
[00:02:29.000 --> 00:02:31.000]  不過在六十年代的時候
[00:02:31.000 --> 00:02:36.000]  考古學在死海附近發現的死海古卷
[00:02:36.000 --> 00:02:41.000]  被我們發現在新約的時候
[00:02:41.000 --> 00:02:46.000]  比起瑪瑟拉抄本要早一千年的時間
[00:02:46.000 --> 00:02:54.000]  死海古卷的希伯來文舊約抄本和瑪瑟拉抄本比較起來
[00:02:54.000 --> 00:02:56.000]  出入也不大
[00:02:56.000 --> 00:03:02.000]  證明舊約首抄本的流傳非常可靠
[00:03:02.000 --> 00:03:09.000]  當然舊約譯成其他語言也不是英文中文才開始的
