
[00:00:00.000 --> 00:00:07.500]  我們今天會繼續思想喪禧區裏有關家庭的信息
[00:00:07.500 --> 00:00:09.100]  大家在一起同心祈禱
[00:00:09.100 --> 00:00:10.300]  我們仰望主
[00:00:10.300 --> 00:00:14.800]  主我們何等渴慕有一顆純全的心
[00:00:14.800 --> 00:00:20.300]  主因為你是聖潔又純全的上帝
[00:00:20.300 --> 00:00:23.100]  主我們敬拜你
[00:00:23.100 --> 00:00:27.100]  你正直公義憐憫
[00:00:27.100 --> 00:00:29.100]  你都掌管天地
[00:00:29.100 --> 00:00:33.100]  主你常常勉勵我們學校你的樣式
[00:00:33.100 --> 00:00:36.100]  因為我們是按你的形象所做的
[00:00:36.100 --> 00:00:39.100]  主我們今天到你的面前
[00:00:39.100 --> 00:00:42.100]  我們感謝主耶穌所賜的救恩
[00:00:42.100 --> 00:00:44.100]  賜給我們新生命
[00:00:44.100 --> 00:00:49.100]  求你教導我們人生的路上能夠分辨邪惡的事
[00:00:49.100 --> 00:00:51.100]  能夠遠避邪惡
[00:00:51.100 --> 00:00:53.100]  能夠愛公義
[00:00:53.100 --> 00:00:57.100]  以致我們能夠得著你要給我們的真正的生命
[00:00:57.100 --> 00:01:00.100]  這段時間我們到主的面前
[00:01:00.100 --> 00:01:03.100]  我們仰望聖靈在我們心中工作
[00:01:03.100 --> 00:01:06.100]  仰望主為我們除去一切的障礙
[00:01:06.100 --> 00:01:07.100]  一切的難阻
[00:01:07.100 --> 00:01:10.100]  讓我們的心被你的聖靈引導
[00:01:10.100 --> 00:01:13.100]  能夠進入你的真理當中
[00:01:13.100 --> 00:01:15.100]  我們等候仰望祈禱
[00:01:15.100 --> 00:01:17.100]  奉耶穌基督聖名求
[00:01:17.100 --> 00:01:19.100]  阿們
[00:01:19.100 --> 00:01:24.100]  我請大家揭開剛才我們讀過的《創世記》第三章
[00:01:24.100 --> 00:01:27.100]  大家記得我們上星期就提到
[00:01:27.100 --> 00:01:32.100]  在第二章提及的神設立婚姻制度
[00:01:32.100 --> 00:01:35.100]  當時夫妻兩個人赤身無體
[00:01:35.100 --> 00:01:37.100]  但不覺得羞恥
[00:01:37.100 --> 00:01:40.100]  描述一種很坦然的相處
[00:01:40.100 --> 00:01:42.100]  很親密的關係
[00:01:42.100 --> 00:01:45.100]  而且見到他們之間是一種完全的接納
[00:01:45.100 --> 00:01:47.100]  完全的尊重
[00:01:47.100 --> 00:01:51.100]  這種是神所設立的一種美好的婚姻關係
[00:01:51.100 --> 00:01:54.100]  但來到第三章就見到
[00:01:54.100 --> 00:01:56.100]  罪進入了家庭裏面
[00:01:56.100 --> 00:01:58.100]  破壞了之間的關係
[00:01:58.100 --> 00:02:02.100]  我們也見到其實在我們今天所身處的社會
[00:02:02.100 --> 00:02:06.100]  很多時候我們想不到家庭本來應該是人得到溫暖
[00:02:06.100 --> 00:02:07.100]  得到安慰
[00:02:07.100 --> 00:02:09.100]  得到支持的地方
[00:02:09.100 --> 00:02:13.100]  卻是有很多朋友在當中受傷害
[00:02:13.100 --> 00:02:15.100]  不知道大家有沒有觀察到
[00:02:15.100 --> 00:02:17.100]  其實香港這十年二十年
[00:02:17.100 --> 00:02:19.100]  其實家庭的變化很大
