
[00:00:00.000 --> 00:00:10.000]  第七年夏天會跟大家一起讀兩卷舊約的歷史書
[00:00:10.000 --> 00:00:14.000]  以斯拉記和尼希米記
[00:00:14.000 --> 00:00:19.000]  不是很熟的經文,所以找都有點困難
[00:00:19.000 --> 00:00:21.000]  不過你一定不會誤會
[00:00:21.000 --> 00:00:24.000]  什麼斯拉話?孫斯拉還是陳斯拉?
[00:00:24.000 --> 00:00:27.000]  不是,是個名字,不是個稱呼
[00:00:27.000 --> 00:00:30.000]  正如你打開新約聖經第一卷福音書
[00:00:30.000 --> 00:00:36.000]  不是馬太福音,是名字,不是稱呼
[00:00:36.000 --> 00:00:42.000]  埃斯拉和尼希米,這兩位猶太人的領袖
[00:00:42.000 --> 00:00:49.000]  他們活在公元前第六世紀、第五世紀
[00:00:49.000 --> 00:00:51.000]  所以都是古人
[00:00:51.000 --> 00:00:57.000]  聖經其實記載的是歷史的事實
[00:00:57.000 --> 00:01:00.000]  不是原則教訓
[00:01:00.000 --> 00:01:04.000]  前四個月我們不是看過《士道行傳》嗎?
[00:01:04.000 --> 00:01:10.000]  我們不是看過新約教會是怎樣建立
[00:01:10.000 --> 00:01:16.000]  福音由耶路撒冷到安提亞到羅馬
[00:01:16.000 --> 00:01:22.000]  你留意到經文所記載的都是一些歷史事實
[00:01:22.000 --> 00:01:27.000]  而不是理想的計劃
[00:01:27.000 --> 00:01:32.000]  歷史的現實就好像今天你和我
[00:01:32.000 --> 00:01:39.000]  所活在今天的歷史事實、歷史的現實當中
[00:01:39.000 --> 00:01:41.000]  就以教會為例
[00:01:41.000 --> 00:01:44.000]  我們可以有一個很理想的南途
[00:01:44.000 --> 00:01:48.000]  應該是怎樣,應該是怎樣,應該是怎樣
[00:01:48.000 --> 00:01:50.000]  不過你回教會超過三個月
[00:01:50.000 --> 00:01:53.000]  頭三個月,月期不計
[00:01:53.000 --> 00:01:57.000]  第四個月開始,你知道應該是怎樣一件事
[00:01:57.000 --> 00:02:01.000]  實際上是怎樣,那一刻才要命
[00:02:01.000 --> 00:02:05.000]  不要說教會那麼敏感,說你家,我家,更敏感
[00:02:05.000 --> 00:02:10.000]  不過更加明白,教會應該是這樣,家庭應該是怎樣
[00:02:10.000 --> 00:02:14.000]  夫妻關係應該是怎樣,婚姻應該是怎樣
[00:02:14.000 --> 00:02:19.000]  管教兒女應該是怎樣,三代同堂應該是怎樣
[00:02:19.000 --> 00:02:24.000]  我們有很多理論,很多原則,很多教訓
[00:02:24.000 --> 00:02:27.000]  請問事實是怎樣?
[00:02:27.000 --> 00:02:34.000]  不要提了,還是上講座,說一些應該是怎樣的
[00:02:34.000 --> 00:02:38.000]  你明白嗎?說十堂講座應該是怎樣
[00:02:38.000 --> 00:02:42.000]  但事實依然是這樣
[00:02:42.000 --> 00:02:47.000]  你回到家,我經常說聞到一陣脆,脾氣就出了
[00:02:47.000 --> 00:02:51.000]  那個事實是怎樣
[00:02:51.000 --> 00:02:56.000]  聖經如果記載的應該是怎樣
[00:02:56.000 --> 00:02:59.000]  其實沒有什麼盼望
[00:02:59.000 --> 00:03:01.000]  因為我們永遠到不到
[00:03:01.000 --> 00:03:05.000]  永遠聖經是高高在上的,感謝上帝
[00:03:05.000 --> 00:03:11.000]  原來聖經的記載,就是你事實上的家庭是怎樣
[00:03:11.000 --> 00:03:14.000]  事實上的教會是怎樣
[00:03:14.000 --> 00:03:21.000]  事實上那個歷史的真實那一面是怎樣
[00:03:21.000 --> 00:03:27.000]  上帝在這些事實當中,祂做了些什麼
[00:03:27.000 --> 00:03:35.000]  你和我在這些事實當中又可以怎樣腳踏實地
[00:03:35.000 --> 00:03:40.000]  實實在在,或者我們有句成語叫做實事求是
[00:03:40.000 --> 00:03:43.000]  不要混淆那兩個「是」字,是不同寫法的
[00:03:43.000 --> 00:03:47.000]  不是浩高無遠,不是一大堆理論
[00:03:47.000 --> 00:03:51.000]  不是我們面對現實,但是我們在當中
[00:03:51.000 --> 00:03:55.000]  好像剛才一首很美麗的詩歌《竹印》這樣說
[00:03:55.000 --> 00:04:03.000]  在最難走過的日子裡,我們見到上帝的作為
[00:04:03.000 --> 00:04:10.000]  不是在理論,而是在實際,在事實,在歷史
[00:04:10.000 --> 00:04:17.000]  以斯拉尼希米記就是記載一段這樣的歷史
[00:04:17.000 --> 00:04:22.000]  我給了一個題目,不過沒有印出來在你的秩序表上
[00:04:22.000 --> 00:04:29.000]  我給這五個月講道的主題是「同心建造」
[00:04:29.000 --> 00:04:40.000]  讓我們看看神的子民在他們歷史最黑暗的日子當中
[00:04:40.000 --> 00:04:46.000]  他們是怎樣走過這一段的事實
[00:04:46.000 --> 00:04:56.000]  公元前538年,對我們來說沒有什麼意思
[00:04:56.000 --> 00:05:06.000]  但是這一年就是猶太人在他們亡國被擄
[00:05:06.000 --> 00:05:12.000]  分散到巴比倫帝國不同的角落
[00:05:12.000 --> 00:05:21.000]  他們面對一個改變,或者說一個轉捩點的一年
[00:05:21.000 --> 00:05:28.000]  耶路撒冷是在公元前586年被毀的
[00:05:28.000 --> 00:05:34.000]  48年前耶路撒冷就完蛋了
[00:05:34.000 --> 00:05:38.000]  1959年你在哪裡?
[00:05:38.000 --> 00:05:43.000]  還沒出生?出生了,是吧?還沒有?恭喜你!
[00:05:43.000 --> 00:05:46.000]  你是幸福的一代
[00:05:46.000 --> 00:05:49.000]  1959年出生的是戰後的一代
[00:05:49.000 --> 00:05:53.000]  我們是在喝牛奶排奶粉長大的
[00:05:53.000 --> 00:05:58.000]  我們是拿小學的時候還有美國送的文具盒
[00:05:58.000 --> 00:06:00.000]  不知道你有沒有拿過
[00:06:00.000 --> 00:06:03.000]  我小時候一年班二年班捧著一盒
[00:06:03.000 --> 00:06:09.000]  美國驚魂署派的鉛筆擦膠拿回家
[00:06:09.000 --> 00:06:14.000]  其實不是很久的日子
[00:06:14.000 --> 00:06:20.000]  不過這48年不是我們過去那48年
[00:06:20.000 --> 00:06:26.000]  香港經濟起飛,從穿交花到賣地產到移民加拿大
[00:06:26.000 --> 00:06:29.000]  不是,如果你想像一下這48年
[00:06:29.000 --> 00:06:35.000]  好像越南船民在集中營,在爛民營那裡過
[00:06:35.000 --> 00:06:37.000]  你在爛民營那裡長大
[00:06:37.000 --> 00:06:41.000]  就是說那張鋁架床四邊是布
[00:06:41.000 --> 00:06:43.000]  旁邊那個是男孩
[00:06:43.000 --> 00:06:46.000]  看著你這個女孩在那裡洗澡吃飯換衣服
[00:06:46.000 --> 00:06:49.000]  睡覺都是丁方那麼低尺
[00:06:49.000 --> 00:06:55.000]  在這樣的環境經過48年就很不簡單
[00:06:55.000 --> 00:07:01.000]  猶太人這48年是寄人離客不止
[00:07:01.000 --> 00:07:03.000]  我們今天都叫做二等公民
[00:07:03.000 --> 00:07:07.000]  都可以自由賺錢,買輛靚車出入
[00:07:07.000 --> 00:07:12.000]  亡國奴是他們的身份
[00:07:12.000 --> 00:07:18.000]  這48年以來他們每一天所問的就是
[00:07:18.000 --> 00:07:31.000]  上帝的拯救,上帝的祝福,上帝的應許,上帝的同在
[00:07:31.000 --> 00:07:33.000]  就是這樣的
[00:07:33.000 --> 00:07:36.000]  就是在這個爛民營裡
[00:07:36.000 --> 00:07:40.000]  就是在這個鋁架床圍四塊布
[00:07:40.000 --> 00:07:44.000]  爸爸很緊張在那裡看著女兒就一直長大
[00:07:44.000 --> 00:07:47.000]  是不是這樣的日子
[00:07:47.000 --> 00:07:53.000]  就是我們以後世世代代活下去的日子
[00:07:53.000 --> 00:07:57.000]  你要回到以色列記第一章
[00:07:57.000 --> 00:08:01.000]  你就要回到一個這樣的處境裡
[00:08:01.000 --> 00:08:04.000]  突然之間那個早上
[00:08:04.000 --> 00:08:06.000]  你看報紙
[00:08:06.000 --> 00:08:09.000]  頭條新聞說什麼
[00:08:09.000 --> 00:08:11.000]  剛才我們讀的是第三章
[00:08:11.000 --> 00:08:13.000]  對不起,跳了兩章了
[00:08:13.000 --> 00:08:16.000]  第一章第一節
[00:08:16.000 --> 00:08:20.000]  波斯王忽烈元年
[00:08:20.000 --> 00:08:23.000]  改朝換代了
[00:08:23.000 --> 00:08:25.000]  大件事
[00:08:25.000 --> 00:08:27.000]  改朝換代上一次
[00:08:27.000 --> 00:08:29.000]  不知道你有沒有印象
[00:08:29.000 --> 00:08:31.000]  鄧小平復出
[00:08:31.000 --> 00:08:33.000]  你不是很緊張
[00:08:33.000 --> 00:08:35.000]  我們在香港很緊張的
[00:08:35.000 --> 00:08:38.000]  四人幫下台了
[00:08:38.000 --> 00:08:40.000]  改朝換代
[00:08:40.000 --> 00:08:42.000]  更大件事
[00:08:42.000 --> 00:08:44.000]  這次是說帝國
[00:08:44.000 --> 00:08:48.000]  巴比倫帝國盛極一時
[00:08:48.000 --> 00:08:52.000]  雄霸天下
[00:08:52.000 --> 00:08:55.000]  這個我們覺得很遙遠
[00:08:55.000 --> 00:08:58.000]  蘇聯解體
[00:08:58.000 --> 00:09:01.000]  對我們沒什麼意思
[00:09:01.000 --> 00:09:03.000]  如果接下來可能有生之年
[00:09:03.000 --> 00:09:08.000]  你和我會經歷到美國倒塌了
