
[00:00:00.000 --> 00:00:08.000]  今日我們的主題是大使命與神學教育
[00:00:08.000 --> 00:00:16.000]  我在城北這個講台從沒講過一個有關加拿大華人神學院的訊息
[00:00:16.000 --> 00:00:19.000]  今天我就要講這個訊息
[00:00:19.000 --> 00:00:25.000]  我以加拿大華人神學院院長的身份來傳講這個訊息
[00:00:25.000 --> 00:00:31.000]  大使命與神學教育之間的關係是什麼呢?
[00:00:31.000 --> 00:00:38.000]  加拿大華人神學院是如何回應主耶穌給教會的大使命呢?
[00:00:38.000 --> 00:00:41.000]  記得在2002年的時候
[00:00:41.000 --> 00:00:51.000]  當時高雲漢牧師和麥犧牲牧師在多倫多教牧團契的聚會裡
[00:00:51.000 --> 00:00:56.000]  他們有一個呼聲
[00:00:56.000 --> 00:00:59.000]  他們從神那裡領受一個託付
[00:00:59.000 --> 00:01:06.000]  當時在加拿大全國大概有400多間華人教會
[00:01:06.000 --> 00:01:16.000]  為什麼我們400多間華人教會不可以開辦一個以中文為主的神學院
[00:01:16.000 --> 00:01:24.000]  以中國文化為主體的神學院來訓練我們在加拿大華人教會的教牧童工呢?
[00:01:24.000 --> 00:01:29.000]  我們過往是要依靠在香港的神學院訓練
[00:01:29.000 --> 00:01:30.000]  非常之好
[00:01:30.000 --> 00:01:33.000]  我們是依靠台灣的神學院來訓練
[00:01:33.000 --> 00:01:34.000]  相當之好
[00:01:34.000 --> 00:01:39.000]  我們依靠美國的神學院來訓練我們加拿大的教牧童工
[00:01:39.000 --> 00:01:49.000]  為什麼我們400多間華人教會不可以齊心的一起來開辦一個以中文為主的
[00:01:49.000 --> 00:01:53.000]  以中國文化為主體的神學院呢?
[00:01:53.000 --> 00:01:57.000]  2002年年初的時候
[00:01:57.000 --> 00:02:04.000]  年尾的時候在溫哥華開辦一個加拿大華人福音協進會的聚會
[00:02:04.000 --> 00:02:09.000]  300多位教牧童工和教會領袖來自全國
[00:02:09.000 --> 00:02:14.000]  大家一起來思想、來討誘、來交通
[00:02:14.000 --> 00:02:19.000]  於是大家都同樣的領受這個意象
