
[00:00:00.000 --> 00:00:07.040]  曾經有人說人生有兩個重要的日子
[00:00:07.040 --> 00:00:13.520]  第一個是他出生的日子
[00:00:13.520 --> 00:00:16.000]  生日
[00:00:16.000 --> 00:00:24.800]  第二個是明白他為什麼出生的日子
[00:00:24.800 --> 00:00:37.280]  有一天你發現你出生是為了什麼
[00:00:37.280 --> 00:00:40.960]  那是你人生非常重要的日子
[00:00:40.960 --> 00:00:48.000]  有很多人出生後就過了一生
[00:00:48.000 --> 00:00:49.920]  到他離開世界的時候
[00:00:49.920 --> 00:00:52.320]  他也不知道為什麼他來到這個世界
[00:00:52.320 --> 00:00:54.960]  有沒有這些人呢?
[00:00:54.960 --> 00:00:56.160]  有
[00:00:56.160 --> 00:01:01.520]  一生就是混混樂樂的糊糊塗塗的過了
[00:01:01.520 --> 00:01:12.160]  我看大家其實都已經過了三分一、二分一、三分二的時間
[00:01:12.160 --> 00:01:24.320]  我也不知道大家有沒有找到你為什麼來到這個世界上的意義的人生的日子
[00:01:24.320 --> 00:01:27.760]  在漢朝我們知道有一個叫班超
[00:01:27.760 --> 00:01:30.320]  他投筆從戎
[00:01:30.320 --> 00:01:31.920]  很多人都熟悉的
[00:01:31.920 --> 00:01:39.440]  他放下寫作的筆來從軍
[00:01:39.440 --> 00:01:42.480]  文事變為武事
[00:01:42.480 --> 00:01:45.840]  從執筆到拿著劍
[00:01:45.840 --> 00:01:48.000]  這是他人生很大的改變
[00:01:48.000 --> 00:01:51.280]  為什麼他會有這麼大的改變呢?
[00:01:51.280 --> 00:01:56.640]  就是他發現人生的意義在他身上到底是什麼
[00:01:56.640 --> 00:02:02.720]  同樣在聖經裡我們看到有一個投筆從戎的事蹟
[00:02:02.720 --> 00:02:07.760]  就是瑞利利尼後來叫做馬太
[00:02:07.760 --> 00:02:11.840]  不過他放下的那支筆不是寫作的筆
[00:02:11.840 --> 00:02:13.920]  是什麼筆呢?
[00:02:13.920 --> 00:02:16.720]  是記帳的筆
[00:02:16.720 --> 00:02:20.960]  他投入的軍隊又不是普通的軍隊
[00:02:20.960 --> 00:02:25.760]  是做耶穌基督的徵兵
[00:02:25.760 --> 00:02:30.320]  做大君王耶穌基督軍隊裡面的一員
[00:02:30.320 --> 00:02:33.520]  這個就是十二使徒裡面的馬太
[00:02:33.520 --> 00:02:38.000]  原名叫做尼微
[00:02:38.000 --> 00:02:39.840]  我們來看今天
