
[00:00:00.000 --> 00:00:04.000]  我們有祈禱開始
[00:00:04.000 --> 00:00:09.000]  感謝恩主讓我們今天能夠回到教會敬拜
[00:00:09.000 --> 00:00:13.000]  是主給我們很大的恩惠
[00:00:13.000 --> 00:00:16.000]  願我們在敬拜裏聆聽你的說話
[00:00:16.000 --> 00:00:21.000]  求你親自去安慰、醫治、包扎、鼓勵
[00:00:21.000 --> 00:00:23.000]  與我們同行
[00:00:23.000 --> 00:00:26.000]  我們將整個崇拜交託給你
[00:00:26.000 --> 00:00:28.000]  祈禱逢轉命球
[00:00:28.000 --> 00:00:34.000]  今天跟大家講一個新的題目
[00:00:34.000 --> 00:00:38.000]  就是教民同工所安排
[00:00:38.000 --> 00:00:40.000]  講到「憐憫」
[00:00:40.000 --> 00:00:43.000]  「憐憫」這個題目很大
[00:00:43.000 --> 00:00:47.000]  並且有相當多的經文
[00:00:47.000 --> 00:00:52.000]  在聖經裏面提到「憐憫」
[00:00:52.000 --> 00:00:58.000]  它由舊約這個「Hesse」這個字
[00:00:58.000 --> 00:01:01.000]  到新約有很多不同的翻譯
[00:01:01.000 --> 00:01:07.000]  我們也不需要將七、八個不同的希臘文篩出來
[00:01:07.000 --> 00:01:11.000]  在中文的翻譯裏面有很多
[00:01:11.000 --> 00:01:21.000]  有憐憫、有慈愛、有連率、有體諒、有製作、幫助
[00:01:21.000 --> 00:01:25.000]  其實這個字是一個很豐富的字
[00:01:25.000 --> 00:01:30.000]  因為這個字是屬於上帝的屬性
[00:01:30.000 --> 00:01:32.000]  是上帝屬性的一部份
[00:01:32.000 --> 00:01:37.000]  當約翰一書說上帝就是愛
[00:01:37.000 --> 00:01:39.000]  是一個很強烈的屬性
[00:01:39.000 --> 00:01:47.000]  但如果我們說憐憫或者慈愛是上帝屬性的時候
[00:01:47.000 --> 00:01:52.000]  我們就不能夠不將上帝其他的屬性放在一起
[00:01:52.000 --> 00:01:57.000]  因為上帝的屬性是彼此配搭
[00:01:57.000 --> 00:02:01.000]  而不是互相排斥、互相抗拒
[00:02:01.000 --> 00:02:06.000]  所以當我們說上帝的屬性有慈愛
[00:02:06.000 --> 00:02:10.000]  那他的屬性必定包括了他的公義
[00:02:10.000 --> 00:02:13.000]  又包括了他的聖潔
[00:02:13.000 --> 00:02:23.000]  而上帝的慈愛、憐憫、公義、聖潔就不能夠分開去說
[00:02:23.000 --> 00:02:25.000]  所以當我們說上帝有慈愛的時候
[00:02:25.000 --> 00:02:28.000]  他一定是包括了公義在裏面
[00:02:28.000 --> 00:02:32.000]  如果沒有公義 那個不是真正的憐憫和慈愛
[00:02:32.000 --> 00:02:36.000]  如果沒有慈愛、聖潔 那個也不是真正的慈愛
[00:02:36.000 --> 00:02:39.000]  因為上帝的屬性是一個整體性
[00:02:39.000 --> 00:02:42.000]  那我們怎樣去看待憐憫呢?
[00:02:42.000 --> 00:02:47.000]  所以我們很難將憐憫獨立出來說
[00:02:47.000 --> 00:02:52.000]  因為他的屬性是包含了這些東西的時候
[00:02:52.000 --> 00:02:57.000]  在每一個的慈愛裏面 包含了聖潔和公義
[00:02:57.000 --> 00:03:01.000]  每一個公義的行動也包括了慈愛、聖潔
[00:03:01.000 --> 00:03:06.000]  我們這樣去看的時候 就會看到上帝的整全性
[00:03:08.000 --> 00:03:13.000]  我很喜歡說中文化 因為我覺得上帝在中文化裏面有很高的智慧
[00:03:13.000 --> 00:03:18.000]  中文化裏面很少直接提到愛
[00:03:18.000 --> 00:03:25.000]  當然中文化裏面是有說愛的 有說父慈子孝
[00:03:25.000 --> 00:03:32.000]  而在中文化裏面一個最大的 或者最深入去表現那種憐憫和愛
