
[00:00:00.000 --> 00:00:05.000]  各位聽眾你好,歡迎大家收聽
[00:00:05.000 --> 00:00:08.000]  神舟百年,風雲人物
[00:00:08.000 --> 00:00:13.000]  我是蘇永若牧師,和我一起主持節目的有羅應權
[00:00:13.000 --> 00:00:16.000]  Roger 你好,蘇牧師你好,各位聽眾你好
[00:00:16.000 --> 00:00:18.000]  各位聽眾你好
[00:00:18.000 --> 00:00:22.000]  上一期我們就講到李鴻章出事西洋
[00:00:22.000 --> 00:00:31.000]  馬關條約之後,李鴻章人生最低點
[00:00:31.000 --> 00:00:39.000]  但到1896年2月時來運轉,原因是俄國介入
[00:00:39.000 --> 00:00:44.000]  於是迫使日本將遼東半島歸還給中國
[00:00:44.000 --> 00:00:53.000]  同年期間,俄國因為Nicholas II加冕,邀請清廷派一位專士訪問俄國
[00:00:53.000 --> 00:00:58.000]  李鴻章有機會代表中國出事俄國
[00:00:58.000 --> 00:01:03.000]  於是不單出事俄國,而出事西洋各國
[00:01:03.000 --> 00:01:06.000]  上一節我們就提到這個問題
[00:01:06.000 --> 00:01:11.000]  蘇牧師,李鴻章去俄國不只是參加加冕這麼簡單
[00:01:11.000 --> 00:01:14.000]  聽說他還簽了中俄密約
[00:01:14.000 --> 00:01:17.000]  究竟你可不可以講一下什麼叫中俄密約呢?
[00:01:17.000 --> 00:01:23.000]  李鴻章在俄國時簽訂了中俄密約
[00:01:23.000 --> 00:01:25.000]  中俄密約主要有兩點
[00:01:25.000 --> 00:01:29.000]  第一,中俄結盟為戰略夥伴關係
[00:01:29.000 --> 00:01:32.000]  主要是針對日本軍事威嚴
[00:01:32.000 --> 00:01:37.000]  如果日本侵華時,俄國就要作出支援
[00:01:37.000 --> 00:01:41.000]  任何一個國,即是中國或俄國
[00:01:41.000 --> 00:01:44.000]  不得與日本單獨扣和
[00:01:44.000 --> 00:01:47.000]  這是密約中的簽訂
[00:01:47.000 --> 00:01:52.000]  第二,俄國簽訂一定有些好處
[00:01:52.000 --> 00:01:53.000]  好處在哪裏呢?
[00:01:53.000 --> 00:01:58.000]  在中國東北省的地區應該有的權益
[00:01:58.000 --> 00:02:00.000]  這個權益是什麼呢?
[00:02:00.000 --> 00:02:03.000]  所謂清東鐵路的管治權益
[00:02:03.000 --> 00:02:08.000]  以及開採礦權交給俄國
[00:02:08.000 --> 00:02:11.000]  李鴻章覺得這不是太好
[00:02:11.000 --> 00:02:13.000]  於是就有個談判
[00:02:13.000 --> 00:02:20.000]  李鴻章建議不是由俄國官方去管治鐵路
[00:02:20.000 --> 00:02:23.000]  或者是負責開採礦的權益
[00:02:23.000 --> 00:02:27.000]  而是設立一個私人公司
[00:02:27.000 --> 00:02:28.000]  私人投資
[00:02:28.000 --> 00:02:34.000]  成立了一個俄華銀行去辦鐵路
[00:02:34.000 --> 00:02:38.000]  其實私人大多數是官方的
[00:02:38.000 --> 00:02:46.000]  所以這個中俄密約在某一方面是吃虧的
[00:02:46.000 --> 00:02:50.000]  蘇牧師,但我又在民間傳聞
[00:02:50.000 --> 00:02:54.000]  聽到好像李鴻章和俄國有點警廣
[00:02:54.000 --> 00:02:55.000]  你可以講一下嗎?
[00:02:55.000 --> 00:03:02.000]  在民間傳聞中說會不會是李鴻章受了賄賂呢?
[00:03:02.000 --> 00:03:07.000]  事實上在俄國財政部部長回憶錄中提到
[00:03:07.000 --> 00:03:13.000]  他將鐵路的利潤300萬的勞報給李鴻章作為報酬
[00:03:13.000 --> 00:03:18.000]  分三期付款,簽訂時先給100萬,其餘逐步付還
[00:03:18.000 --> 00:03:23.000]  當年的確有一筆名稱為李鴻章基金
[00:03:23.000 --> 00:03:28.000]  從俄國銀行匯到上海,這是有證有據的
[00:03:28.000 --> 00:03:33.000]  但是那些錢是給了李鴻章自己的財財
[00:03:33.000 --> 00:03:37.000]  還是給了國家呢?不得而知
[00:03:37.000 --> 00:03:40.000]  現在很難追了
[00:03:40.000 --> 00:03:46.000]  但又說回李鴻章以俄制日這個政策
[00:03:46.000 --> 00:03:48.000]  你覺得有沒有用呢?
[00:03:48.000 --> 00:03:49.000]  可以說完全沒有用
[00:03:49.000 --> 00:03:53.000]  因為幾年之後,義和團事件發生之後
[00:03:53.000 --> 00:03:57.000]  俄國和日本同時舉起槍口對著清廷
[00:03:57.000 --> 00:04:01.000]  所謂戰略夥伴,全是謊話
[00:04:01.000 --> 00:04:05.000]  李鴻章這種所謂以俄制義來對付日本
[00:04:05.000 --> 00:04:07.000]  我覺得未免太過天真
[00:04:07.000 --> 00:04:12.000]  蘇慕斯,李鴻章去歐洲不僅去俄國
[00:04:12.000 --> 00:04:16.000]  他又去很多國家,特別去了德國
[00:04:16.000 --> 00:04:20.000]  你可不可以說說他和德國佬有什麼談話呢?
