
[00:00:00.000 --> 00:00:06.000]  各位大兄姐妹們平安
[00:00:06.000 --> 00:00:12.680]  今天的題目是《美味可口聖經》
[00:00:12.680 --> 00:00:15.000]  中國人有句話
[00:00:15.000 --> 00:00:17.480]  不知道你們是否懂得這幾個字呢?
[00:00:17.480 --> 00:00:21.360]  就是「民以食為天」
[00:00:21.360 --> 00:00:24.600]  或者「民以食為仙」
[00:00:24.600 --> 00:00:28.920]  無論是天還是仙都是重要的意思
[00:00:28.920 --> 00:00:33.280]  不知道為什麼中國人打招呼很喜歡說
[00:00:33.280 --> 00:00:35.280]  「吃飯了嗎?」
[00:00:35.280 --> 00:00:37.120]  「吃飽了嗎?」
[00:00:37.120 --> 00:00:39.240]  經常怕大家吃不飽
[00:00:39.240 --> 00:00:40.480]  所以會說「吃飯了嗎?」
[00:00:40.480 --> 00:00:42.560]  「大家今天早上吃了早餐了嗎?」
[00:00:42.560 --> 00:00:43.840]  「吃了」
[00:00:43.840 --> 00:00:46.320]  用這個來打招呼
[00:00:46.320 --> 00:00:49.080]  我們知道食物是很重要的
[00:00:49.080 --> 00:00:52.120]  食物是用來維持生命
[00:00:52.120 --> 00:00:54.680]  吃得健康是重要的
[00:00:54.680 --> 00:00:56.080]  對於現代人來說
[00:00:56.080 --> 00:00:58.440]  吃不僅是維持生命
[00:00:58.440 --> 00:01:00.160]  更加有另一種意義
[00:01:00.160 --> 00:01:02.320]  就是講享受
[00:01:02.320 --> 00:01:04.400]  講品味
[00:01:04.400 --> 00:01:06.960]  而今天的題目是《美味可口聖經》
[00:01:06.960 --> 00:01:09.000]  不知道你們一看到這個題目
[00:01:09.000 --> 00:01:10.480]  有什麼反應
[00:01:10.480 --> 00:01:12.360]  你們會不會深思
[00:01:12.360 --> 00:01:14.240]  「是嗎?」
[00:01:14.240 --> 00:01:15.440]  你們會不會深思
[00:01:15.440 --> 00:01:16.400]  「真的嗎?」
[00:01:16.400 --> 00:01:18.840]  「真的美味可口?」
[00:01:18.840 --> 00:01:21.600]  大家有沒有吃過聖經?
[00:01:21.600 --> 00:01:22.440]  沒有啊?有沒有帶回來
[00:01:22.440 --> 00:01:27.360]  我們一起撕出來吃?
[00:01:27.360 --> 00:01:29.960]  聖經裡面在人類歷史里
[00:01:29.960 --> 00:01:31.760]  真的有人吃過聖經
[00:01:31.760 --> 00:01:33.280]  你知不知道?
[00:01:33.280 --> 00:01:34.360]  你不知道吧?
[00:01:34.360 --> 00:01:35.600]  知不知道有多少個?
[00:01:35.600 --> 00:01:37.720]  我今天講的其中兩個
[00:01:37.720 --> 00:01:39.440]  是吃聖經的人
[00:01:39.440 --> 00:01:40.880]  這兩個是誰呢?
[00:01:40.880 --> 00:01:43.720]  第一位是以細節先知
[00:01:43.720 --> 00:01:47.360]  第二位是使徒約翰
[00:01:47.360 --> 00:01:50.800]  在大約六百年前
[00:01:50.800 --> 00:01:53.960]  以細節先知被撈到巴比倫
[00:01:53.960 --> 00:01:55.880]  加巴魯的河邊
[00:01:55.880 --> 00:01:59.240]  上帝的話就臨到他
[00:01:59.240 --> 00:02:02.600]  在《以細節書》一章二十八節下這樣說
[00:02:02.600 --> 00:02:05.920]  「這就是耶和華榮耀的形象
