
[00:00:00.000 --> 00:00:10.000]  (主持人:羅馬書第29章,羅馬書第11章,11-25節)
[00:00:10.000 --> 00:00:13.580]  今天要講一些很重要的經文
[00:00:13.580 --> 00:00:17.920]  題目叫做「以色列全家都要得救」
[00:00:17.920 --> 00:00:20.800]  我們知道神在以色列人身上
[00:00:20.800 --> 00:00:24.320]  真的有祂美好的祝福和美好的旨意
[00:00:24.320 --> 00:00:28.800]  其實世上最好的證明神是信實的神
[00:00:28.800 --> 00:00:31.600]  在歷史當中我們看到
[00:00:31.600 --> 00:00:34.400]  祂對以色列國的救贖
[00:00:34.400 --> 00:00:36.000]  對他們的愛
[00:00:36.000 --> 00:00:39.040]  就證明了神是信實的
[00:00:39.040 --> 00:00:40.400]  但很可惜
[00:00:40.400 --> 00:00:41.440]  相反地
[00:00:41.440 --> 00:00:46.720]  以色列人繼續在不斷地敵對神的愛
[00:00:46.720 --> 00:00:48.240]  敵對神
[00:00:48.240 --> 00:00:52.880]  但神仍然忠於他和以色列人所立的約
[00:00:52.880 --> 00:00:56.320]  他和以色列人立的約是堅定不移
[00:00:56.320 --> 00:00:58.880]  就算以色列人犯罪
[00:00:58.880 --> 00:01:00.800]  拜偶像不信
[00:01:00.800 --> 00:01:04.240]  但神仍然沒有放棄以色列人
[00:01:04.240 --> 00:01:07.120]  在這裡我需要解釋一下
[00:01:07.120 --> 00:01:08.720]  當我講道的時候
[00:01:08.720 --> 00:01:11.040]  我時時說神祝福以色列人
[00:01:11.040 --> 00:01:14.480]  有很多人可能會誤以為我說
[00:01:14.480 --> 00:01:18.560]  無論如何神繼續祝福以色列人
[00:01:18.560 --> 00:01:22.880]  但現在以色列人已經被神放在一邊
[00:01:22.880 --> 00:01:25.120]  現在他們被神管教
[00:01:25.120 --> 00:01:28.640]  不是說他們所做的事都是對的
[00:01:28.640 --> 00:01:32.160]  但我們今天的經文會看到
[00:01:32.160 --> 00:01:36.000]  神在以色列人身上絕對有他的旨意
[00:01:36.000 --> 00:01:39.840]  而最後以色列全家都會得救
[00:01:39.840 --> 00:01:43.840]  這就是羅馬書十一章告訴我們
[00:01:43.840 --> 00:01:46.640]  所以現在因為以色列人的不信
[00:01:46.640 --> 00:01:49.200]  神暫時將他們放在一邊
[00:01:49.200 --> 00:01:52.800]  暫時他們不再是祝福的管道
[00:01:52.800 --> 00:01:56.400]  福音不再是透過以色列人傳到世界
[00:01:56.400 --> 00:02:01.440]  而是透過教會傳給世界
[00:02:01.440 --> 00:02:06.880]  這正是羅馬書九章至十一章的教導
[00:02:06.880 --> 00:02:10.720]  其實羅馬書第九章至十一章
[00:02:10.720 --> 00:02:12.800]  是一個單元、單位
[00:02:12.800 --> 00:02:16.160]  三章的書是有連帶的關係
[00:02:16.160 --> 00:02:19.920]  第九章說道神將以色列人放在一邊
[00:02:19.920 --> 00:02:22.960]  是神的主權、是神的決定
[00:02:22.960 --> 00:02:27.920]  第十章說道以色列人不能逃避責任
[00:02:27.920 --> 00:02:31.440]  因為他們的不信、因為他們的反叛
[00:02:31.440 --> 00:02:33.760]  所以神將他們放在一邊
[00:02:33.760 --> 00:02:40.080]  所以神的主權和人的責任永遠不能分開
[00:02:40.080 --> 00:02:43.920]  而第十一章我上次和大家說
[00:02:43.920 --> 00:02:45.920]  可以分為三點
[00:02:45.920 --> 00:02:49.600]  就是羅馬書十一章一至十節
[00:02:49.600 --> 00:02:53.920]  我上次說過神不是放棄全部的以色列人
[00:02:53.920 --> 00:02:58.560]  永遠都會有愚民在歷史當中相信
[00:02:58.560 --> 00:03:02.400]  在羅馬書十一章十一至二十五節
