
[00:00:00.000 --> 00:00:04.640]  所以你可能要留心一點聽 聲音會怪怪的
[00:00:04.640 --> 00:00:11.300]  因為看到你們每年都會派給我一些題目
[00:00:11.300 --> 00:00:15.220]  第六月的題目就剛剛是菲律賓書
[00:00:15.220 --> 00:00:17.720]  好像在今天的程序表上都有列的
[00:00:17.720 --> 00:00:19.920]  菲律賓書第二章第三第四節
[00:00:19.920 --> 00:00:23.280]  那麼我今天就來做一個比較簡單的
[00:00:23.280 --> 00:00:25.800]  就是我今天要做的題目就是
[00:00:25.800 --> 00:00:30.220]  就是講一些比較簡單的題目
[00:00:30.220 --> 00:00:32.960]  就是講一些比較簡單的題目
[00:00:32.960 --> 00:00:34.960]  就是講一些比較簡單的題目
[00:00:34.960 --> 00:00:36.960]  就是講一些比較簡單的題目
[00:00:36.960 --> 00:00:38.960]  就是講一些比較簡單的題目
[00:00:38.960 --> 00:00:40.960]  就是講一些比較簡單的題目
[00:00:40.960 --> 00:00:42.960]  就是講一些比較簡單的題目
[00:00:42.960 --> 00:00:44.960]  就是講一些比較簡單的題目
[00:00:44.960 --> 00:00:46.960]  就是講一些比較簡單的題目
[00:00:46.960 --> 00:00:48.960]  就是講一些比較簡單的題目
[00:00:48.960 --> 00:00:50.960]  就是講一些比較簡單的題目
[00:00:50.960 --> 00:00:52.960]  就是講一些比較簡單的題目
[00:00:52.960 --> 00:00:54.960]  就是講一些比較簡單的題目
[00:00:54.960 --> 00:00:57.960]  都可以考考你們 或者溫習一下
[00:00:57.960 --> 00:01:01.680]  不用怕的 不會有陰濕的題目
[00:01:01.680 --> 00:01:03.680]  如果我們剛才讀呢 我年輕的時候呢
[00:01:03.680 --> 00:01:06.960]  你看我樣子好像很老成 持重
[00:01:06.960 --> 00:01:08.960]  但是我年輕的時候都很古靈精怪的
[00:01:08.960 --> 00:01:11.960]  如果你說 各人不要單顧自己的事
[00:01:11.960 --> 00:01:12.960]  要顧別人的事呢
[00:01:12.960 --> 00:01:14.960]  我經常都和那些看電視的朋友開玩笑的
[00:01:14.960 --> 00:01:16.960]  所以那些人就很八卦
[00:01:16.960 --> 00:01:20.960]  個個都問他 這個兒子娶了媳婦沒有?
[00:01:20.960 --> 00:01:22.960]  抱孫沒有?聽到他又走了
[00:01:22.960 --> 00:01:25.960]  就是這樣 接著下面一句就是
[00:01:25.960 --> 00:01:28.960]  各人看別人比自己強 又很適合用的
[00:01:28.960 --> 00:01:31.960]  就是什麼時候用呢?牧師叫你做事的時候就用
[00:01:31.960 --> 00:01:34.960]  找我?不行 找他吧 他彈琴好一點
[00:01:34.960 --> 00:01:37.960]  不行 他招呼好一點 人和善一點
[00:01:37.960 --> 00:01:41.960]  聖經教我的 我不可以太沙塵的 就是這樣
[00:01:41.960 --> 00:01:43.960]  不過我覺得是笑歸笑
[00:01:43.960 --> 00:01:47.960]  如果我們詳細地看一看這段經文的時候呢
[00:01:47.960 --> 00:01:49.960]  它教了一件事給我們
[00:01:49.960 --> 00:01:54.960]  是和我們香港的文化很有關係的
[00:01:54.960 --> 00:01:57.960]  和我們在香港生活 特別是年輕人開始
[00:01:57.960 --> 00:02:01.960]  年長的可能已經差不多盡力的時間已經過了
[00:02:01.960 --> 00:02:04.960]  但是年輕人要留心
[00:02:04.960 --> 00:02:09.960]  如果你看這裡 從第二章 我們試一下
[00:02:09.960 --> 00:02:15.960]  從第二章第六節到第八節開始看 好不好?
[00:02:15.960 --> 00:02:17.960]  我們先看中間的一段
[00:02:17.960 --> 00:02:20.960]  我們很熟悉的 差不多會背的
[00:02:20.960 --> 00:02:23.960]  你們通常都是看和學本的
[00:02:23.960 --> 00:02:26.960]  或者你們有印了經文 和修本
[00:02:26.960 --> 00:02:29.960]  都差不多了 第六節
[00:02:29.960 --> 00:02:31.960]  它本有神的形象
[00:02:31.960 --> 00:02:35.960]  不以自己與神同等為強奪的
[00:02:35.960 --> 00:02:38.960]  你要記住 第六節到第八節
[00:02:38.960 --> 00:02:41.960]  這首好像詩歌一樣 有些人都說不是保羅寫的
[00:02:41.960 --> 00:02:43.960]  但是我們不要理他
[00:02:43.960 --> 00:02:46.960]  總之呢 它是由第六節到第八節
[00:02:46.960 --> 00:02:49.960]  它們是由最高的一級 一步一步的走的
[00:02:49.960 --> 00:02:51.960]  你留意一下
[00:02:51.960 --> 00:02:54.960]  本有與神同等 不以與神同等為強奪
[00:02:54.960 --> 00:02:56.960]  它原本是在上面最高的
[00:02:56.960 --> 00:03:00.960]  不過呢 它不強硬拿
[00:03:00.960 --> 00:03:02.960]  就是不強硬堅持自己
[00:03:02.960 --> 00:03:04.960]  就好像我們這樣 走去地鐵
[00:03:04.960 --> 00:03:06.960]  兩個人一起撲過去那個位置
[00:03:06.960 --> 00:03:08.960]  一人坐一半屁股
[00:03:08.960 --> 00:03:10.960]  你說我堅持是我先坐的
[00:03:10.960 --> 00:03:12.960]  它是不堅持的
[00:03:12.960 --> 00:03:15.960]  它不以與神同等為強奪
[00:03:15.960 --> 00:03:18.960]  反倒是怎樣呢 反倒是虛己
[00:03:18.960 --> 00:03:20.960]  怎樣叫虛己呢
[00:03:20.960 --> 00:03:24.960]  上課的知不知道怎樣叫虛己
[00:03:24.960 --> 00:03:26.960]  記不記得
[00:03:26.960 --> 00:03:29.960]  很難明白的 因為很多神學家都寫了很多
