
[00:00:00.000 --> 00:00:07.200]  我剛剛講完了《新明記》
[00:00:07.200 --> 00:00:10.000]  又未開始下一個系列
[00:00:10.000 --> 00:00:11.200]  就是《馬太福音》
[00:00:11.200 --> 00:00:13.800]  當中有些時間
[00:00:13.800 --> 00:00:16.600]  又是給我講一些我平時不會講的道
[00:00:16.600 --> 00:00:18.800]  這一次我是要講
[00:00:18.800 --> 00:00:22.800]  《日月星宿都傳揚基督的舊恩》
[00:00:22.800 --> 00:00:26.600]  為什麼會講這麼奇怪的一篇道呢?
[00:00:26.600 --> 00:00:31.800]  就是我在收拾我以前做工的文件的時候
[00:00:31.800 --> 00:00:37.800]  找到有很多關於外太空、宇宙的圖片
[00:00:37.800 --> 00:00:40.600]  我跟大家都講過
[00:00:40.600 --> 00:00:45.800]  我以前人生上半場是做外太空
[00:00:45.800 --> 00:00:53.800]  用紅外光來探測外太空和地球的工作
[00:00:53.800 --> 00:00:56.200]  要用到紅外光的話
[00:00:56.200 --> 00:00:58.200]  就要用到低溫系統
[00:00:58.200 --> 00:01:00.800]  要用到冷卻系統
[00:01:00.800 --> 00:01:02.800]  我就是做這一行的
[00:01:02.800 --> 00:01:05.800]  你現在看到這個圖片是Splitzer
[00:01:05.800 --> 00:01:11.600]  一隻人造衛星所拍攝的很多外太空的圖片
[00:01:11.600 --> 00:01:17.200]  這隻Splitzer的冷卻系統就是我設計的
[00:01:17.200 --> 00:01:20.000]  其實冷卻系統都很重要的
[00:01:20.000 --> 00:01:22.000]  因為一個冷卻系統
[00:01:22.000 --> 00:01:28.800]  就是掌管著人造衛星的壽命有多長
[00:01:28.800 --> 00:01:31.200]  偵察期有多長
[00:01:31.200 --> 00:01:35.200]  如果冷卻系統設計得不好的時候
[00:01:35.200 --> 00:01:37.200]  偵察期就會短了
[00:01:37.200 --> 00:01:40.600]  像這隻Splitzer之前有兩隻人造衛星
[00:01:40.600 --> 00:01:42.200]  都是同樣的原理
[00:01:42.200 --> 00:01:44.400]  一隻是Iris,一隻是Kobe
[00:01:44.400 --> 00:01:50.200]  兩隻NASA本來要求的偵察期是一年
[00:01:50.200 --> 00:01:52.800]  但是到了十個月就壽終正寢
[00:01:52.800 --> 00:01:54.600]  就是玩完了
[00:01:54.600 --> 00:01:57.800]  因為不能夠維持這個溫度
[00:01:57.800 --> 00:02:04.400]  這個Splitzer我們看到是偵察期
[00:02:04.400 --> 00:02:08.400]  NASA的要求是兩年半
[00:02:08.400 --> 00:02:12.400]  比前面那兩隻還要是超出很多
[00:02:12.400 --> 00:02:15.800]  所以我相信也是原因為何Ball Aerospace
[00:02:15.800 --> 00:02:17.200]  在建造這隻的時候
[00:02:17.200 --> 00:02:22.200]  這隻人造衛星要去外面找顧問幫助他們
[00:02:22.200 --> 00:02:25.200]  相信NASA給他們的壓力也很大
[00:02:25.200 --> 00:02:30.200]  這隻Splitzer真真正正的偵察期
[00:02:30.200 --> 00:02:32.600]  是去到五年零九個月
[00:02:32.600 --> 00:02:35.600]  是超出了NASA的需要
[00:02:35.600 --> 00:02:39.200]  兩年一倍這麼多
[00:02:39.200 --> 00:02:41.400]  有人說大件事了
[00:02:41.400 --> 00:02:44.800]  牧師開始懷舊了
[00:02:44.800 --> 00:02:48.200]  我真的很喜歡我以前的工作
[00:02:48.200 --> 00:02:50.800]  但是我更喜歡的是什麼
[00:02:50.800 --> 00:02:56.200]  是能夠全時間來侍奉我們這位神
[00:02:56.200 --> 00:02:58.800]  我們看到這些外太空的圖片
[00:02:58.800 --> 00:03:02.600]  真是非常非常漂亮
[00:03:02.600 --> 00:03:06.200]  尤其是紅外光的這些外太空圖片
[00:03:06.200 --> 00:03:10.000]  真是很漂亮的顏色彩色很美麗
[00:03:10.000 --> 00:03:12.600]  令我想起一節經文
[00:03:12.600 --> 00:03:14.600]  你猜是哪一節經文呢
[00:03:14.600 --> 00:03:18.600]  是詩篇第十九篇第一節
[00:03:18.600 --> 00:03:24.000]  「諸天術說 神的榮耀 窮滄傳揚他的手段
[00:03:24.000 --> 00:03:26.800]  這日到那日發出言語
[00:03:26.800 --> 00:03:29.800]  這夜到那夜傳出知識
[00:03:29.800 --> 00:03:33.000]  無言無語也無聲音可聽
[00:03:33.000 --> 00:03:35.400]  他的量大通遍天下
[00:03:35.400 --> 00:03:39.000]  他的言語傳到地極」
[00:03:39.000 --> 00:03:43.000]  無言無語無聲可聽
[00:03:43.000 --> 00:03:46.000]  都能夠傳出神的榮耀
[00:03:46.000 --> 00:03:48.000]  傳出神的手段
[00:03:48.000 --> 00:03:53.400]  這節經文很多解經家都將它解作是創造
[00:03:53.400 --> 00:03:55.200]  我不會反對
[00:03:55.200 --> 00:03:57.600]  神的創造真是有他的榮耀
[00:03:57.600 --> 00:03:59.400]  真是有他的手段
[00:03:59.400 --> 00:04:01.600]  但是我相信有一樣東西是更重要的
[00:04:01.600 --> 00:04:02.800]  是什麼
[00:04:02.800 --> 00:04:05.400]  是耶穌基督的救恩
[00:04:05.400 --> 00:04:08.000]  在還沒創造任何東西之前
[00:04:08.000 --> 00:04:11.600]  神已經預備了這個救恩的工作
[00:04:11.600 --> 00:04:14.000]  所以我相信救恩是更加重要
[00:04:14.000 --> 00:04:17.600]  另外在聖經裡面任何的東西
[00:04:17.600 --> 00:04:20.600]  的重要性我們是怎樣來衡量
[00:04:20.600 --> 00:04:22.600]  就是篇幅有多大
[00:04:22.600 --> 00:04:25.000]  我們就知道有多重要
[00:04:25.000 --> 00:04:29.000]  創造的篇幅有多大
[00:04:29.000 --> 00:04:32.000]  《創世紀》一章
[00:04:32.000 --> 00:04:35.800]  你可以加上《約伯記》詩篇
[00:04:35.800 --> 00:04:39.200]  和《以賽亞書》有若干的經文
[00:04:39.200 --> 00:04:43.200]  甚至你加上《哥羅西書》有幾節的經文
[00:04:43.200 --> 00:04:45.000]  是這麼多的
[00:04:45.000 --> 00:04:49.000]  但是說到神的救恩
[00:04:49.000 --> 00:04:51.200]  這個篇幅有多大
[00:04:51.200 --> 00:04:55.200]  整部聖經都是有關神的救恩
[00:04:55.200 --> 00:04:59.800]  所以救恩的重要性是遠超過創造
[00:04:59.800 --> 00:05:02.000]  另外一點我們來看的就是
[00:05:02.000 --> 00:05:04.600]  神的代價
[00:05:04.600 --> 00:05:08.400]  創造對神來說的代價有多大
[00:05:08.400 --> 00:05:10.800]  在這裏詩篇33篇
[00:05:10.800 --> 00:05:11.800]  神怎樣說的
[00:05:11.800 --> 00:05:15.200]  說有就有 命立就立
[00:05:15.200 --> 00:05:17.400]  是用口來創造的
[00:05:17.400 --> 00:05:19.400]  說有就有
[00:05:19.400 --> 00:05:23.200]  那個代價好像不是這麼大
[00:05:23.200 --> 00:05:25.600]  但是救恩的代價
[00:05:25.600 --> 00:05:28.400]  祂是犧牲了祂的獨生子
[00:05:28.400 --> 00:05:32.000]  來到世上為我們釘十字架
[00:05:32.000 --> 00:05:38.000]  所以這個救恩是遠遠超過創造的重要性
[00:05:38.000 --> 00:05:40.400]  究竟福音是甚麼
[00:05:40.400 --> 00:05:44.800]  哥林多前書15章2-4節說得很清楚
[00:05:44.800 --> 00:05:47.200]  神是差派祂的獨生子
[00:05:47.200 --> 00:05:49.800]  道成肉身來到世上
[00:05:49.800 --> 00:05:55.000]  變成人出生在馬槽裏面
[00:05:55.000 --> 00:05:58.600]  長大了之後為你為我的罪釘十字架
[00:05:58.600 --> 00:06:02.600]  然後三天復活給我們有永生的盼望
[00:06:02.600 --> 00:06:05.400]  所以我們見到耶穌基督來到世上
[00:06:05.400 --> 00:06:07.800]  祂的生日 祂的誕生
[00:06:07.800 --> 00:06:10.400]  祂的死 祂的復活
[00:06:10.400 --> 00:06:14.400]  都是和救恩有很大的關係
[00:06:14.400 --> 00:06:19.200]  今天我們說從日月星宿來看救贖
[00:06:19.200 --> 00:06:22.000]  就是和耶穌基督的誕生
[00:06:22.000 --> 00:06:24.600]  和祂的死和祂的復活
[00:06:24.600 --> 00:06:27.400]  我們看看天上的日月星宿
[00:06:27.400 --> 00:06:31.200]  有甚麼記號來讓我們看得見
[00:06:31.200 --> 00:06:34.200]  為甚麼我會說
[00:06:34.200 --> 00:06:37.800]  祂的誕生 祂的死和復活都有記號呢
[00:06:37.800 --> 00:06:39.800]  在經文裏面有說
[00:06:39.800 --> 00:06:42.000]  《創世紀》一章14節
[00:06:42.000 --> 00:06:44.000]  就是我們今天讀的經文
[00:06:44.000 --> 00:06:45.400]  是說甚麼
