
[00:00:00.000 --> 00:00:02.440]  好 大家好 很久沒有來這裡
[00:00:02.440 --> 00:00:04.640]  不過我星期四晚上在這裡說的
[00:00:04.640 --> 00:00:07.480]  如果你有時聽EQ的話
[00:00:07.480 --> 00:00:10.160]  星期四晚上說結婚
[00:00:10.160 --> 00:00:13.040]  但結婚這個題目和抑鬱都很近的
[00:00:13.040 --> 00:00:15.440]  (笑)
[00:00:15.440 --> 00:00:18.040]  不知道為什麼你猜到笑
[00:00:18.040 --> 00:00:20.540]  抑鬱其實有一個共病
[00:00:20.540 --> 00:00:22.800]  這個病和另一個病是雙重的
[00:00:22.800 --> 00:00:24.280]  就是焦慮
[00:00:24.280 --> 00:00:26.840]  Anxiety 和 Depression
[00:00:26.840 --> 00:00:31.640]  我做這個服務工作已經是今年30年了
[00:00:31.640 --> 00:00:34.280]  這30年我看到一直在變的
[00:00:34.280 --> 00:00:38.840]  抑鬱症的地位現在是過了癌症
[00:00:38.840 --> 00:00:41.640]  頭號殺手再不是癌症
[00:00:41.640 --> 00:00:42.360]  是 Depression
[00:00:42.360 --> 00:00:45.640]  因為 Depression的人是平均
[00:00:45.640 --> 00:00:50.480]  每個有抑鬱的人都可能平均是自殺過一次
[00:00:50.480 --> 00:00:52.600]  所以你會說今天香港是
[00:00:52.600 --> 00:00:54.280]  你看報紙每天都有人自殺
[00:00:54.280 --> 00:00:57.360]  最近有個小朋友10歲都在吊頸死
[00:00:57.360 --> 00:00:59.360]  你看到就是
[00:00:59.360 --> 00:01:01.880]  我不知道你知不知道這個紀錄很高
[00:01:01.880 --> 00:01:06.200]  這次香港的紀錄就是看精神科
[00:01:06.200 --> 00:01:09.880]  是有焦慮程度的小朋友
[00:01:09.880 --> 00:01:12.840]  低降到現在竟然是2歲
[00:01:12.840 --> 00:01:15.080]  是2歲
[00:01:15.080 --> 00:01:17.080]  可能你說不相信
[00:01:17.080 --> 00:01:18.920]  是真的 是真的
[00:01:18.920 --> 00:01:20.920]  所以如果你今天聽完之後
[00:01:20.920 --> 00:01:23.680]  你覺得原來有這麼大的原因在裡面
[00:01:23.680 --> 00:01:24.960]  所以這個時代
[00:01:24.960 --> 00:01:26.320]  我想在香港
