
[00:00:00.000 --> 00:00:04.640]  多謝Steven的介紹
[00:00:04.640 --> 00:00:07.600]  也很開心見到這麼多弟兄姊妹
[00:00:07.600 --> 00:00:12.160]  感謝神給我機會在這裡跟大家宣講神的話
[00:00:12.160 --> 00:00:17.600]  看上去很多相熟的面孔
[00:00:17.600 --> 00:00:21.760]  我不是騙你的 我經常都很掛念你們
[00:00:21.760 --> 00:00:27.200]  在我人生當中有6年的時間
[00:00:27.200 --> 00:00:29.760]  在這裡我學到很多東西 認識了很多人
[00:00:29.760 --> 00:00:33.440]  認識了我自己
[00:00:33.440 --> 00:00:35.840]  我的女兒也花了很多時間在這裡
[00:00:35.840 --> 00:00:39.680]  直到讀完書就去讀大學
[00:00:39.680 --> 00:00:41.680]  是一段很重要的時間
[00:00:41.680 --> 00:00:45.200]  很感謝蘇師母請我回來
[00:00:45.200 --> 00:00:50.400]  可以宣講哥倫多後書的信息
[00:00:50.400 --> 00:00:54.160]  我現在是做明道社的 賣一點告白
[00:00:54.160 --> 00:00:58.880]  不會很多的 桌面擺了很多明道社的刊物
[00:00:58.880 --> 00:01:03.280]  如果你想知道我過了6年做了些什麼
[00:01:03.280 --> 00:01:06.880]  不用這裡的時間 你出去拿兩份看看
[00:01:06.880 --> 00:01:09.680]  是不同時期出的 你就知道我們做了些什麼
[00:01:09.680 --> 00:01:13.280]  我不介意拿一拿 比回收好
[00:01:13.280 --> 00:01:16.480]  燒了它 或者墊著電視機就不太好
[00:01:16.480 --> 00:01:20.240]  是很歡迎你拿的 如果有時間
[00:01:20.240 --> 00:01:23.280]  我可以跟大家聊天都可以
[00:01:23.280 --> 00:01:25.280]  但每次我在港台上的時候
[00:01:25.280 --> 00:01:27.280]  我就不敢講太多自己的東西
[00:01:27.280 --> 00:01:30.480]  因為這是講整個說話的時段
[00:01:30.480 --> 00:01:34.320]  我想跟大家開始看今天這段經文
[00:01:34.320 --> 00:01:36.320]  現在是不是轉了一些時間
[00:01:36.320 --> 00:01:38.320]  我們崇拜
[00:01:38.320 --> 00:01:41.360]  以前就是隨便說多久都可以的
[00:01:41.360 --> 00:01:48.000]  現在就有些限制
[00:01:48.000 --> 00:01:50.000]  半個小時左右
[00:01:50.000 --> 00:01:52.000]  五個字
[00:01:52.000 --> 00:01:54.000]  五個字
[00:01:54.720 --> 00:01:59.760]  OK 我繼續講到我要停為止
[00:01:59.760 --> 00:02:01.760]  我想跟大家說 我們中國人
[00:02:01.760 --> 00:02:06.160]  很多時候都跟有親戚朋友進了醫院
[00:02:06.160 --> 00:02:08.960]  或者是他家人有事
[00:02:08.960 --> 00:02:12.640]  我們都說買張卡寄給他
[00:02:12.640 --> 00:02:17.600]  那張卡可能寫著是主恩救勇
[00:02:17.600 --> 00:02:19.600]  神的恩典救你勇
[00:02:19.600 --> 00:02:21.600]  有些人很慘 我們說
[00:02:21.600 --> 00:02:24.720]  我祈禱神的恩典救你勇
[00:02:24.720 --> 00:02:26.720]  通常都是這樣安慰他
[00:02:26.720 --> 00:02:30.560]  你想想 當我們這樣安慰他的時候
[00:02:30.560 --> 00:02:33.280]  如果那個人是病的 有醫院的
[00:02:33.280 --> 00:02:35.280]  你是想他好還是想他不好的
[00:02:35.280 --> 00:02:37.280]  當然是想他好
[00:02:37.280 --> 00:02:41.280]  那你為什麼說主恩救勇
[00:02:41.280 --> 00:02:45.280]  聖經說主恩救勇就是治好他嗎
[00:02:45.280 --> 00:02:47.280]  你看看
[00:02:48.000 --> 00:02:52.800]  主恩救勇是第九節
[00:02:52.800 --> 00:02:57.200]  第九節之前 寶和差點進了醫院
[00:02:57.200 --> 00:03:00.240]  為者是我三次求過主
[00:03:00.240 --> 00:03:02.240]  叫這次離開我
[00:03:02.240 --> 00:03:04.240]  然後第九節才說
[00:03:04.240 --> 00:03:10.000]  他對我說我的恩典救你勇的
[00:03:10.000 --> 00:03:13.520]  我們現在的和學本看不到第九節前面還有一個字
[00:03:13.520 --> 00:03:15.520]  新的英文就看到了
[00:03:15.520 --> 00:03:17.520]  第九節是什麼
[00:03:17.520 --> 00:03:20.640]  第八節寶和求醫好他
[00:03:20.640 --> 00:03:22.640]  三次把這個刺拿走
[00:03:22.640 --> 00:03:24.640]  第九節開剝的字就是
[00:03:24.640 --> 00:03:26.640]  但是
[00:03:26.640 --> 00:03:28.640]  不過 但是
[00:03:28.640 --> 00:03:30.640]  唯獨
[00:03:30.640 --> 00:03:32.640]  主的答覆不是說醫好你
[00:03:32.640 --> 00:03:34.640]  是說我的恩典救你勇
[00:03:34.640 --> 00:03:36.640]  意思就是說
[00:03:36.640 --> 00:03:38.640]  不用醫好你
[00:03:38.640 --> 00:03:40.640]  我的恩典就比醫好你好
[00:03:40.640 --> 00:03:42.640]  就是這樣
[00:03:42.640 --> 00:03:44.640]  所以你說
[00:03:44.640 --> 00:03:46.640]  你日後第一天早上進醫院
[00:03:46.640 --> 00:03:48.640]  你跟他說主恩救你勇
[00:03:48.640 --> 00:03:50.640]  當然
[00:03:50.640 --> 00:03:52.640]  我不是要你不要這個金句
[00:03:52.640 --> 00:03:54.640]  不是這個意思
[00:03:54.640 --> 00:03:56.640]  不過我相信
