
[00:00:00.000 --> 00:00:02.000]  (何時開始?)
[00:00:02.000 --> 00:00:07.000]  等了16年才站到這個位置
[00:00:07.000 --> 00:00:09.000]  很辛苦的
[00:00:09.000 --> 00:00:14.000]  我在中神教了16年
[00:00:14.000 --> 00:00:17.000]  這個開學崇拜就是輪流
[00:00:17.000 --> 00:00:20.000]  老師按某些次序去排
[00:00:20.000 --> 00:00:23.000]  詳細情況你問院長
[00:00:23.000 --> 00:00:26.000]  總之排了16年
[00:00:26.000 --> 00:00:29.000]  到底開學崇拜是做些什麼的呢?
[00:00:29.000 --> 00:00:32.000]  其實我最初來中神的時候
[00:00:32.000 --> 00:00:35.000]  開學崇拜應該是給一個lecture
[00:00:35.000 --> 00:00:40.000]  即是老師的一些專長學養
[00:00:40.000 --> 00:00:43.000]  然後不知什麼時候
[00:00:43.000 --> 00:00:47.000]  開始變成一篇講道
[00:00:47.000 --> 00:00:49.000]  不過我又在想
[00:00:49.000 --> 00:00:52.000]  如果我今天又做《釋經講道》
[00:00:52.000 --> 00:00:57.000]  其實用我們政教部長李偲菁的說法
[00:00:57.000 --> 00:01:01.000]  其實我每個星期早上都去送外賣
[00:01:01.000 --> 00:01:06.000]  所以今天不想又做一個「時朝炒河」
[00:01:06.000 --> 00:01:09.000]  我通常喜歡在中神做一些
[00:01:09.000 --> 00:01:12.000]  在教會我沒有膽量做的事
[00:01:12.000 --> 00:01:14.000]  為什麼沒有膽量做?
[00:01:14.000 --> 00:01:15.000]  另一件事
[00:01:15.000 --> 00:01:19.000]  所以今天我又試做另一件事
[00:01:19.000 --> 00:01:21.000]  為什麼選這個題目呢?
[00:01:21.000 --> 00:01:24.000]  其實這個題目和香港最近發生的事
[00:01:24.000 --> 00:01:25.000]  都有些關係
[00:01:25.000 --> 00:01:28.000]  不過我不是為了香港最近發生的事
[00:01:28.000 --> 00:01:30.000]  而選這個題目的
[00:01:30.000 --> 00:01:32.000]  還有怎樣應用這個題目呢?
[00:01:32.000 --> 00:01:35.000]  就由你自己對號入座去決定
[00:01:35.000 --> 00:01:37.000]  我之所以選這個題目
[00:01:37.000 --> 00:01:40.000]  其實是因為我很喜歡這個故事
[00:01:40.000 --> 00:01:42.000]  其實我在《注人耳道》
[00:01:42.000 --> 00:01:43.000]  是否《注人耳道》
[00:01:43.000 --> 00:01:46.000]  那本書的sermon已經用過這個故事
[00:01:46.000 --> 00:01:48.000]  不過那次又很簡短
[00:01:48.000 --> 00:01:50.000]  這次就詳細一點跟你說
[00:01:50.000 --> 00:01:52.000]  我今天要說的故事
[00:01:52.000 --> 00:01:56.000]  就是來自這個人的一本書
[00:01:56.000 --> 00:01:58.000]  Simon Wiesenthal
[00:01:58.000 --> 00:02:03.000]  Simon Wiesenthal是一個猶太人
[00:02:03.000 --> 00:02:08.000]  他在集中營經過一段時間
[00:02:08.000 --> 00:02:12.000]  當二次世界大戰完結後
[00:02:12.000 --> 00:02:14.000]  他就成為一個Nazi Hunter
[00:02:14.000 --> 00:02:20.000]  即是他專門去捉那些藏在那裡的納粹黨人
[00:02:20.000 --> 00:02:23.000]  然後就把他們抓去繩之以法
[00:02:23.000 --> 00:02:28.000]  他在60年代就出了這本書
[00:02:28.000 --> 00:02:30.000]  叫《The Sunflower》
[00:02:30.000 --> 00:02:33.000]  你一會兒就會知道這本書叫《太陽花》
[00:02:33.000 --> 00:02:35.000]  這本書你未必看到
[00:02:35.000 --> 00:02:37.000]  不過副題就寫著
[00:02:37.000 --> 00:02:41.000]  On the Possibilities and Limits of Forgiveness
[00:02:41.000 --> 00:02:45.000]  即是說到底饒恕的可能
[00:02:45.000 --> 00:02:47.000]  和有沒有限制呢?
[00:02:47.000 --> 00:02:52.000]  他就在這本書裏面說了他自己的一個故事
[00:02:52.000 --> 00:02:55.000]  Simon Wiesenthal也是一個很重要的人
[00:02:55.000 --> 00:03:00.000]  其實他差點得到諾貝爾和平獎
[00:03:00.000 --> 00:03:02.000]  據內幕人士所說
[00:03:02.000 --> 00:03:05.000]  不過他最後輸給了Elie Wiesel
[00:03:05.000 --> 00:03:10.000]  不過也是一個很出名的猶太人
[00:03:10.000 --> 00:03:12.000]  經歷大屠殺的猶太人
[00:03:12.000 --> 00:03:16.000]  所以我今天跟大家分享的上半部
[00:03:16.000 --> 00:03:18.000]  就是講了他的故事
[00:03:18.000 --> 00:03:20.000]  這本書的下半部
[00:03:20.000 --> 00:03:24.000]  邀請了五十多個不同的人
[00:03:24.000 --> 00:03:26.000]  去回應他的故事
[00:03:26.000 --> 00:03:28.000]  基本上他講完故事後就問
[00:03:28.000 --> 00:03:30.000]  你會不會饒恕故事裏面的人呢?
[00:03:30.000 --> 00:03:33.000]  他請了五十多個人去回應
[00:03:33.000 --> 00:03:36.000]  我今天分享的下半部
[00:03:36.000 --> 00:03:38.000]  就會回應一下那些回應
[00:03:38.000 --> 00:03:42.000]  看看我如何去理解那些人的回應
[00:03:42.000 --> 00:03:44.000]  既然玩玩東西
[00:03:44.000 --> 00:03:46.000]  所以開始講故事
[00:03:46.000 --> 00:03:49.000]  我就假設我是Simon Wiesenthal
[00:03:49.000 --> 00:03:53.000]  我現在開始跟你講這個故事
[00:03:53.000 --> 00:04:00.000]  當那些德國人開始去抓猶太人的時候
[00:04:00.000 --> 00:04:01.000]  我也不例外
[00:04:01.000 --> 00:04:05.000]  我就被抓到一個集中營裏面
[00:04:05.000 --> 00:04:07.000]  不過在我這個集中營裏面
[00:04:07.000 --> 00:04:13.000]  我每一天都有機會出去一個醫院裏面
[00:04:13.000 --> 00:04:15.000]  來工作
[00:04:15.000 --> 00:04:17.000]  我工作的事情其實很簡單
[00:04:17.000 --> 00:04:20.000]  就是我把垃圾堆在一起
[00:04:20.000 --> 00:04:22.000]  然後運送到醫院外面
[00:04:22.000 --> 00:04:26.000]  我每一天早上就會離開集中營
[00:04:26.000 --> 00:04:30.000]  晚上工作完就回到集中營
[00:04:30.000 --> 00:04:33.000]  當我去到集中營的路上
[00:04:33.000 --> 00:04:36.000]  我都會看到一些Sunflower
[00:04:36.000 --> 00:04:38.000]  看到一些向日葵
[00:04:38.000 --> 00:04:40.000]  因為德國的士兵
[00:04:40.000 --> 00:04:45.000]  喜歡在他們每一個死了的士兵墳墓旁
[00:04:45.000 --> 00:04:48.000]  都種一朵向日葵
[00:04:48.000 --> 00:04:51.000]  當我每次經過那些向日葵的時候
[00:04:51.000 --> 00:04:54.000]  我很羨慕那些德國人的士兵
[00:04:54.000 --> 00:04:56.000]  我覺得那些向日葵
[00:04:56.000 --> 00:05:02.000]  就好像是埋在土地之下的德國士兵
[00:05:02.000 --> 00:05:04.000]  向著這個世界
[00:05:04.000 --> 00:05:07.000]  繼續展示著他的生命
[00:05:07.000 --> 00:05:09.000]  他雖然好像離開了這個世界
[00:05:09.000 --> 00:05:12.000]  又好像還沒有離開世界
[00:05:12.000 --> 00:05:16.000]  這個向日葵好像是一個死亡的世界
[00:05:16.000 --> 00:05:20.000]  和一個活人世界之間的橋樑
[00:05:20.000 --> 00:05:22.000]  所以我很羨慕那些德國士兵
[00:05:22.000 --> 00:05:25.000]  我想到假如有一天我死了
[00:05:25.000 --> 00:05:26.000]  也不用假如了
[00:05:26.000 --> 00:05:29.000]  我多數都會死在集中營
[00:05:29.000 --> 00:05:30.000]  我死了之後
[00:05:30.000 --> 00:05:33.000]  我就會葬在一個Masked Grave
[00:05:33.000 --> 00:05:37.000]  葬在一個很多人堆在的洞裏面
[00:05:37.000 --> 00:05:40.000]  不會有一朵花去紀念我
[00:05:40.000 --> 00:05:44.000]  我在想為甚麼那些德國人做了那麼多事
[00:05:44.000 --> 00:05:49.000]  依然有一朵向日葵去紀念他的死亡呢?
[00:05:49.000 --> 00:05:57.000]  有一天當我去這間醫院工作的時候
[00:05:57.000 --> 00:05:59.000]  其實這間本來不是醫院
[00:05:59.000 --> 00:06:02.000]  這間本來是我讀書的一間學校
