
[00:00:00.000 --> 00:00:03.560]  有兩個星期沒有在粵語堂講道
[00:00:03.560 --> 00:00:07.560]  兩個星期前我和我家人去了溫哥華
[00:00:07.560 --> 00:00:11.640]  一個短的旅程
[00:00:11.640 --> 00:00:15.440]  其實我在溫哥華也有和大家一起敬拜
[00:00:15.440 --> 00:00:17.040]  你說為什麼
[00:00:17.040 --> 00:00:22.280]  我在父親節的主日去了溫哥華
[00:00:22.280 --> 00:00:25.560]  有個叫做本納比華人播道會
[00:00:25.560 --> 00:00:27.080]  Bernard Bernadette
[00:00:27.080 --> 00:00:31.240]  本納比華人播道會Bernard Bernadette這個地方
[00:00:31.240 --> 00:00:34.160]  雖然沒有和大家實體一起敬拜
[00:00:34.160 --> 00:00:35.640]  但是在靈裡面
[00:00:35.640 --> 00:00:41.240]  我和大家一起來敬拜這位西方唯一的真神
[00:00:41.240 --> 00:00:45.560]  今天又會回到約書亞記
[00:00:45.560 --> 00:00:50.160]  約書亞記第十六章至二十二章
[00:00:50.160 --> 00:00:54.600]  講完了以色列人怎樣征服迦南之後
[00:00:54.600 --> 00:00:56.880]  現在是要講分地了
[00:00:56.880 --> 00:01:01.320]  在第十六至二十二章一共七章的經文
[00:01:01.320 --> 00:01:04.040]  其實今天的主題是要講到
[00:01:04.040 --> 00:01:08.680]  千萬不要違背神的誡命
[00:01:08.680 --> 00:01:11.480]  當我們違背神的誡命的時候
[00:01:11.480 --> 00:01:14.360]  就會導致有很多的試驗
[00:01:14.360 --> 00:01:16.480]  有很多的試探
[00:01:16.480 --> 00:01:20.520]  所以我們要謹守遵行神的誡命
[00:01:20.520 --> 00:01:24.400]  今天的經文在約書亞記的二十二章五節
[00:01:24.400 --> 00:01:29.640]  和事詩記的二章二十至二十三節
[00:01:29.640 --> 00:01:34.320]  其實約書亞記可以分為四個主要的部分
[00:01:34.320 --> 00:01:36.760]  第一個部分就是一個序言
[00:01:36.760 --> 00:01:41.240]  在第一章講約書亞記的介紹
[00:01:41.240 --> 00:01:46.280]  二至五章是講到以色列人怎樣進入迦南地
[00:01:46.280 --> 00:01:51.040]  六至十二章是講他們怎樣征服迦南
[00:01:51.040 --> 00:01:53.520]  而在十三至二十二章
[00:01:53.520 --> 00:01:55.440]  就是今天所要講的
[00:01:55.440 --> 00:01:58.280]  他們怎樣來分割迦南地
[00:01:58.280 --> 00:02:00.520]  分給十二支派
[00:02:00.520 --> 00:02:03.800]  其中我們見到十三章所講的
[00:02:03.800 --> 00:02:07.640]  是在約旦河東面有兩個半支派
[00:02:07.640 --> 00:02:12.400]  就是在樓邊迦德和馬拿西的半支派
[00:02:12.400 --> 00:02:14.360]  他們去到約旦河東面
[00:02:14.360 --> 00:02:17.680]  見到土地很肥沃很漂亮
[00:02:17.680 --> 00:02:19.560]  他們有很多的新畜
[00:02:19.560 --> 00:02:22.840]  他們就自己說我們一定要在這裡居住
[00:02:22.840 --> 00:02:28.960]  我們要將這些草原成為我們的土地
[00:02:28.960 --> 00:02:34.000]  所以他們就跟摩西說要居住在約旦河東面
[00:02:34.000 --> 00:02:38.320]  十四至十九章是講到其餘九個半支派
[00:02:38.320 --> 00:02:41.920]  在約旦河西面得到他們的封地
[00:02:41.920 --> 00:02:45.120]  其中十四十五章上次跟大家講了
[00:02:45.120 --> 00:02:49.360]  是講猶大支派主角就是迦南
[00:02:49.360 --> 00:02:52.080]  而十六章是講以法連支派
[00:02:52.080 --> 00:02:55.600]  十七章是馬拿西半支派
[00:02:55.600 --> 00:03:00.800]  很有趣馬拿西半支派在約旦河西面
