
[00:00:00.000 --> 00:00:02.000]  (字幕: 梁家鑫)
[00:00:03.000 --> 00:00:05.000]  弟兄姊妹平安
[00:00:05.000 --> 00:00:07.000]  圓主耶穌基督的恩惠
[00:00:07.000 --> 00:00:09.000]  常與你們同在
[00:00:09.000 --> 00:00:12.000]  我是在沙宣學的
[00:00:12.000 --> 00:00:16.000]  在沙田宣道會我們要回答一句
[00:00:16.000 --> 00:00:18.000]  也與你同在
[00:00:18.000 --> 00:00:20.000]  你們不是沙宣
[00:00:20.000 --> 00:00:25.000]  所以可以跟黎本正先生所教的就行了
[00:00:25.000 --> 00:00:30.000]  剛才我們讀過一段很熟的經文
[00:00:30.000 --> 00:00:33.000]  閉上眼都會說的
[00:00:33.000 --> 00:00:37.000]  好撒瑪利亞人的比喻
[00:00:37.000 --> 00:00:39.000]  誰沒有聽過?
[00:00:39.000 --> 00:00:41.000]  就算沒有上禮拜堂
[00:00:41.000 --> 00:00:43.000]  都聽過Good Samaritans
[00:00:43.000 --> 00:00:46.000]  撒瑪利亞是什麼?
[00:00:46.000 --> 00:00:49.000]  又跟聖經說的完全不同
[00:00:49.000 --> 00:00:52.000]  這裡不是說有一個人在耶利哥城
[00:00:52.000 --> 00:00:54.000]  耶路撒冷想自殺
[00:00:54.000 --> 00:00:56.000]  跳懸崖
[00:00:56.000 --> 00:00:58.000]  沒有啊,不關事
[00:00:58.000 --> 00:01:01.000]  好撒瑪利亞人的比喻
[00:01:01.000 --> 00:01:04.000]  是我們耳熟能詳的
[00:01:04.000 --> 00:01:08.000]  耶穌為什麼要說這個比喻?
[00:01:08.000 --> 00:01:11.000]  那你不看聖經
[00:01:11.000 --> 00:01:13.000]  你記不記得?
[00:01:13.000 --> 00:01:15.000]  不要只是被故事吸引了我們
[00:01:15.000 --> 00:01:17.000]  忘記了耶穌
[00:01:17.000 --> 00:01:19.000]  耶穌不是出來說故事的
[00:01:19.000 --> 00:01:24.000]  耶穌出來是被人問他一個問題
[00:01:24.000 --> 00:01:26.000]  聖經還說明
[00:01:26.000 --> 00:01:32.000]  這個律法師是要起來試探耶穌
[00:01:32.000 --> 00:01:34.000]  試探就應該是魔鬼做的
[00:01:34.000 --> 00:01:36.000]  人怎麼做得到呢?
[00:01:36.000 --> 00:01:39.000]  用英文說Test一下耶穌
[00:01:39.000 --> 00:01:42.000]  考一下他
[00:01:42.000 --> 00:01:43.000]  考什麼?
[00:01:43.000 --> 00:01:45.000]  這個律法師問夫子
[00:01:45.000 --> 00:01:49.000]  我該作什麼才可以承受永生?
[00:01:49.000 --> 00:01:51.000]  今天你和我也會回答的
[00:01:51.000 --> 00:01:53.000]  信耶穌得永生
[00:01:53.000 --> 00:01:55.000]  不是啊
[00:01:55.000 --> 00:01:58.000]  這裡耶穌跟他說律法寫的是什麼?
[00:01:58.000 --> 00:02:01.000]  你讀過的,你知道的
[00:02:01.000 --> 00:02:03.000]  他回答說
[00:02:03.000 --> 00:02:09.000]  你要盡心盡性盡力盡義愛主
[00:02:09.000 --> 00:02:13.000]  你的神又要愛倫謝
[00:02:13.000 --> 00:02:16.000]  如同自己
[00:02:16.000 --> 00:02:18.000]  耶穌就說
[00:02:18.000 --> 00:02:21.000]  對,你照著做
[00:02:21.000 --> 00:02:27.000]  這樣就必得永生
[00:02:27.000 --> 00:02:29.000]  然後路加就記載說
[00:02:29.000 --> 00:02:33.000]  那個人要顯明自己有理
[00:02:33.000 --> 00:02:35.000]  這句話我也不太懂
[00:02:35.000 --> 00:02:37.000]  為什麼叫顯明自己有理
[00:02:37.000 --> 00:02:39.000]  他沒有道理?不是啊
[00:02:39.000 --> 00:02:41.000]  他來問耶穌的問題而已
[00:02:41.000 --> 00:02:44.000]  可能是這個人為了要證明
