
[00:00:00.000 --> 00:00:05.000]  各位頂展姐妹你們好
[00:00:05.000 --> 00:00:11.000]  我相信我們聽到主席講的題目
[00:00:11.000 --> 00:00:16.000]  很可能有些年輕的頂展姐妹
[00:00:16.000 --> 00:00:19.000]  就覺得有沒有搞錯啊?
[00:00:19.000 --> 00:00:22.000]  年齡中年都不關我的事的
[00:00:22.000 --> 00:00:25.000]  是不是叫我來的人騙我?
[00:00:25.000 --> 00:00:32.000]  我們就會有些感覺好像是來錯了地方
[00:00:32.000 --> 00:00:41.000]  我相信如果我們不只是被名字規限了我們
[00:00:41.000 --> 00:00:45.000]  我們人都會經歷這樣的一個階段
[00:00:45.000 --> 00:00:49.000]  假如你是一個特別的令會回來
[00:00:49.000 --> 00:00:52.000]  可能你的靈魂還是很活潑的
[00:00:52.000 --> 00:00:56.000]  但如果在教會聚會一段時間
[00:00:56.000 --> 00:00:58.000]  譬如說三年五年
[00:00:58.000 --> 00:01:03.000]  你就真真正正很容易經歷到一種
[00:01:03.000 --> 00:01:06.000]  靈命進入中年的情形
[00:01:06.000 --> 00:01:10.000]  如果你說靈命進入中年是一回事
[00:01:10.000 --> 00:01:17.000]  那我可不可以引用一個心理學家
[00:01:17.000 --> 00:01:25.000]  他是Carl Jung,Sigmund Freud的學生
[00:01:25.000 --> 00:01:36.000]  他對生命的中年做了很多研究
[00:01:37.000 --> 00:01:47.000]  我嘗試用他描述的壯年和中年的分別
[00:01:47.000 --> 00:01:51.000]  然後將它移到我們今天做基督徒
[00:01:51.000 --> 00:01:54.000]  我們的情況有沒有相似的地方
[00:01:54.000 --> 00:02:04.000]  他說壯年的人,或者從青年到壯年
[00:02:05.000 --> 00:02:14.000]  你是一個離開學校開始找你的獨立身份的人
[00:02:14.000 --> 00:02:21.000]  開始很投入的專注幾件事
[00:02:21.000 --> 00:02:24.000]  你專注賺錢
[00:02:24.000 --> 00:02:29.000]  專注追求一個老婆或者追求一個老公
[00:02:30.000 --> 00:02:36.000]  組織你的家庭,生你的第一第二胎小孩
[00:02:36.000 --> 00:02:41.000]  然後你專注在置業買車
[00:02:41.000 --> 00:02:48.000]  他說所有這些其實就是我們盡了我們的努力
[00:02:48.000 --> 00:02:52.000]  剛剛我們做人找到自己的位置
[00:02:52.000 --> 00:02:58.000]  就是說你下班也不怕沒有地方去
[00:02:58.000 --> 00:03:01.000]  不用經常問老友今晚有什麼節目
[00:03:01.000 --> 00:03:03.000]  你的節目就回家
[00:03:03.000 --> 00:03:13.000]  你又不會像無主孤魂那樣吊著頭
[00:03:13.000 --> 00:03:15.000]  你又有個人所屬
[00:03:15.000 --> 00:03:24.000]  他說我們人是這樣進入了我們第一個階段的完成
[00:03:26.000 --> 00:03:28.000]  假如是第一個階段
[00:03:28.000 --> 00:03:32.000]  你找到第一桶金
[00:03:32.000 --> 00:03:36.000]  找到第一桶金的意思就是說
[00:03:36.000 --> 00:03:43.000]  你不用太憂心你的基本需要
[00:03:43.000 --> 00:03:49.000]  你可以比較找到自己的生活空間
[00:03:49.000 --> 00:03:54.000]  你要做生意,你有資本
[00:03:54.000 --> 00:03:57.000]  你要做投資,你也有資本
[00:03:57.000 --> 00:04:03.000]  甚至說2001年一開始不利就跌了一百多點
[00:04:03.000 --> 00:04:05.000]  你也不用太擔心
[00:04:05.000 --> 00:04:07.000]  因為你的錢不是孖展來的
[00:04:07.000 --> 00:04:10.000]  你是現金現貨地買
[00:04:10.000 --> 00:04:12.000]  你可以跟他搜的
[00:04:12.000 --> 00:04:14.000]  大家長相廝守,看誰夠老
[00:04:14.000 --> 00:04:23.000]  你就有你的本錢找到你的開始點
[00:04:23.000 --> 00:04:25.000]  但是很可惜
[00:04:25.000 --> 00:04:30.000]  很多人找到自己的開始點就失去了目標
[00:04:30.000 --> 00:04:41.000]  找到第一桶金就等於失去了下半生再為什麼努力的五期目標
[00:04:41.000 --> 00:04:47.000]  無論是30歲找到第一桶金
[00:04:47.000 --> 00:04:49.000]  或者40歲
[00:04:49.000 --> 00:04:51.000]  他就開始了他的中年
[00:04:51.000 --> 00:04:57.000]  他走完了他第一個階段的路
[00:04:57.000 --> 00:05:03.000]  現在因為第一個階段的目標達到
[00:05:03.000 --> 00:05:07.000]  又找不到第二個階段的目標
[00:05:07.000 --> 00:05:09.000]  他就等於沒有目標
[00:05:09.000 --> 00:05:17.000]  又再經歷開始走第一個階段那種無主孤人的感覺
[00:05:19.000 --> 00:05:24.000]  那個人就進入了中年的危機
[00:05:24.000 --> 00:05:33.000]  現在現代社會比昔日的社會容易快速找到第一桶金
[00:05:33.000 --> 00:05:42.000]  所以我們今天的現代人比以前的人更快開始我們的中年危機
[00:05:45.000 --> 00:05:47.000]  對於Carl Jung來說
[00:05:47.000 --> 00:05:51.000]  我們的中年危機過後
[00:05:51.000 --> 00:05:54.000]  如果那個人很快就找到目標
[00:05:54.000 --> 00:05:57.000]  那第二階段他努力的是什麼呢?
[00:05:57.000 --> 00:06:00.000]  你知道他說我們努力的是什麼嗎?
[00:06:00.000 --> 00:06:04.000]  他尋找一種身份
[00:06:04.000 --> 00:06:07.000]  尋找一種愛
[00:06:07.000 --> 00:06:14.000]  尋找一種接近名垂青古的成就
[00:06:15.000 --> 00:06:19.000]  他盼望他的名字能夠留下來
[00:06:19.000 --> 00:06:23.000]  他盼望他的工作能夠被後人紀念
[00:06:23.000 --> 00:06:30.000]  這個就是我們人努力的一個差不多全部的過程
[00:06:30.000 --> 00:06:33.000]  你完了第二個階段就差不多完了
[00:06:33.000 --> 00:06:38.000]  所以很多人年紀老就捐錢出來
[00:06:39.000 --> 00:06:42.000]  日孤書院為的是什麼呢?
[00:06:42.000 --> 00:06:45.000]  希望可以名垂青古
[00:06:45.000 --> 00:06:48.000]  希望後人記得有一個人叫做日孤
[00:06:48.000 --> 00:06:52.000]  就是這個意思
[00:06:52.000 --> 00:06:55.000]  因為他要尋求一種自我
[00:06:55.000 --> 00:06:58.000]  那種自我是可以持續的
[00:06:58.000 --> 00:07:04.000]  如果我們將Carl Jung這個分界線
[00:07:04.000 --> 00:07:07.000]  移入我們熟齡的成長路
[00:07:07.000 --> 00:07:10.000]  你會發覺很完美的
[00:07:10.000 --> 00:07:16.000]  原來我們一開始我們信仰的路
[00:07:16.000 --> 00:07:19.000]  我們就從什麼開始呢?
[00:07:19.000 --> 00:07:21.000]  可能是一個特別的聚會
[00:07:21.000 --> 00:07:24.000]  可能我們的得救
[00:07:24.000 --> 00:07:27.000]  我們在全方位的聚會
[00:07:27.000 --> 00:07:29.000]  我們決志信主
[00:07:29.000 --> 00:07:34.000]  然後我們就很容易有班弟兄姐妹愛我們
[00:07:34.000 --> 00:07:36.000]  就疼愛我們
[00:07:36.000 --> 00:07:38.000]  然後照顧我們的飲食器具
[00:07:38.000 --> 00:07:40.000]  很快我們就參加團計
[00:07:40.000 --> 00:07:41.000]  參加諸葛學
[00:07:41.000 --> 00:07:42.000]  參加這樣那樣
[00:07:42.000 --> 00:07:46.000]  然後我們在一個愛裡面
[00:07:46.000 --> 00:07:49.000]  來照顧長大
[00:07:49.000 --> 00:07:54.000]  然後長大可能還沒有學行
[00:07:54.000 --> 00:07:57.000]  搞東西要我們侍奉這樣侍奉那樣
[00:07:57.000 --> 00:07:59.000]  做這樣做那樣
[00:07:59.000 --> 00:08:02.000]  要我們首先當然是看一下秩序表
[00:08:02.000 --> 00:08:04.000]  然後看聖餐
[00:08:04.000 --> 00:08:07.000]  做一下這個主席那個主席
