
[00:00:00.000 --> 00:00:02.000]  提委教會神的家
[00:00:02.000 --> 00:00:04.000]  我們看看這本書
[00:00:04.000 --> 00:00:06.000]  保羅究竟用什麼方法
[00:00:06.000 --> 00:00:08.000]  真的能夠勸服貝利門
[00:00:08.000 --> 00:00:12.000]  如果不是用一些哲學理論的時候
[00:00:12.000 --> 00:00:15.000]  究竟用什麼方法去勸服貝利門
[00:00:15.000 --> 00:00:18.000]  去聽從保羅的話
[00:00:18.000 --> 00:00:20.000]  其中一個方法
[00:00:20.000 --> 00:00:22.000]  就是提及家庭的關係
[00:00:22.000 --> 00:00:25.000]  所以第一樣我們介紹的就是
[00:00:25.000 --> 00:00:28.000]  另類的關係或另類的家庭
[00:00:28.000 --> 00:00:30.000]  當時的家庭
[00:00:30.000 --> 00:00:32.000]  我們在講壇上討論過
[00:00:32.000 --> 00:00:35.000]  當時的家庭很明顯和今天有點不同
[00:00:35.000 --> 00:00:37.000]  奴隸是一個很重要的制度
[00:00:37.000 --> 00:00:40.000]  不單有奴隸的存在
[00:00:40.000 --> 00:00:43.000]  還有一個家主的存在
[00:00:43.000 --> 00:00:46.000]  今天也有家主的存在
[00:00:46.000 --> 00:00:48.000]  在今期的讀者文章裡
[00:00:48.000 --> 00:00:50.000]  有一個統計去問世界不同的國家
[00:00:50.000 --> 00:00:52.000]  究竟在每一個家裡
[00:00:52.000 --> 00:00:54.000]  當誰是主人
[00:00:54.000 --> 00:00:57.000]  當男還是女
[00:00:57.000 --> 00:00:59.000]  在中國發覺
[00:00:59.000 --> 00:01:03.000]  在中國最多是把自己的兒子當作主人
[00:01:03.000 --> 00:01:05.000]  所以我們可以想到
[00:01:05.000 --> 00:01:07.000]  主人的時候有不同的方法
[00:01:07.000 --> 00:01:09.000]  可能是丈夫或太太或兒子
[00:01:09.000 --> 00:01:11.000]  一定不會是奴隸
[00:01:11.000 --> 00:01:13.000]  一定不會是奴隸
[00:01:13.000 --> 00:01:15.000]  在當時的制度也一樣
[00:01:15.000 --> 00:01:18.000]  家主只有一個
[00:01:18.000 --> 00:01:20.000]  就是父親
[00:01:20.000 --> 00:01:22.000]  對家主來說
[00:01:22.000 --> 00:01:24.000]  所有其他的人
[00:01:24.000 --> 00:01:26.000]  都是他的產業
[00:01:26.000 --> 00:01:28.000]  所以太太是他的產業
[00:01:28.000 --> 00:01:30.000]  兒女是他的產業
[00:01:30.000 --> 00:01:32.000]  甚至奴隸是他的產業
[00:01:32.000 --> 00:01:34.000]  再加上房產是他的產業
[00:01:34.000 --> 00:01:36.000]  所以當時的哲學家亞歷斯多德
[00:01:36.000 --> 00:01:38.000]  在一篇文獻裡提及
[00:01:38.000 --> 00:01:40.000]  一個人特別是男性
[00:01:40.000 --> 00:01:42.000]  有四種不同的產業
[00:01:42.000 --> 00:01:46.000]  就是妻子、兒女、奴隸和房產
[00:01:46.000 --> 00:01:48.000]  所以對當時來說
[00:01:48.000 --> 00:01:50.000]  很明顯有一個主人存在
[00:01:50.000 --> 00:01:52.000]  主人就是家父
[00:01:52.000 --> 00:01:54.000]  一家之主
[00:01:54.000 --> 00:01:56.000]  父親是丈夫
[00:01:56.000 --> 00:01:58.000]  也是奴隸的主人
[00:01:58.000 --> 00:02:00.000]  在家主的制度下
[00:02:00.000 --> 00:02:04.000]  有太太、有兒女
[00:02:04.000 --> 00:02:06.000]  最低階層
[00:02:06.000 --> 00:02:08.000]  如果以人來說
[00:02:08.000 --> 00:02:10.000]  最低階層當然是奴隸
[00:02:10.000 --> 00:02:14.000]  奴隸沒有一個繼承的權柄
[00:02:14.000 --> 00:02:16.000]  不能繼承產業
[00:02:16.000 --> 00:02:18.000]  甚至奴隸生子的時候
[00:02:18.000 --> 00:02:20.000]  兒子也可以不屬於自己
[00:02:20.000 --> 00:02:22.000]  所以奴隸不能夠生子
[00:02:22.000 --> 00:02:24.000]  或者自己的兒子
[00:02:24.000 --> 00:02:28.000]  奴隸也不是任何一個人的兒子
[00:02:28.000 --> 00:02:30.000]  奴隸沒有父親兒子的關係
[00:02:30.000 --> 00:02:34.000]  奴隸是一個主人的奴僕
[00:02:34.000 --> 00:02:36.000]  就是這麼簡單
[00:02:36.000 --> 00:02:38.000]  在這種制度下
[00:02:38.000 --> 00:02:40.000]  我們看看《肥皇門書》
[00:02:40.000 --> 00:02:44.000]  發掘保羅挑戰這種家居的關係
[00:02:44.000 --> 00:02:46.000]  我們看看《肥皇門書》
[00:02:46.000 --> 00:02:48.000]  用這種眼光看
[00:02:48.000 --> 00:02:50.000]  看保羅如何去介紹多種的關係
[00:02:50.000 --> 00:02:52.000]  我們看第三節
[00:02:52.000 --> 00:02:54.000]  《肥皇門書》第三節
[00:02:54.000 --> 00:02:56.000]  願因為平安從神
[00:02:56.000 --> 00:02:58.000]  我們的父
[00:02:58.000 --> 00:03:00.000]  和主耶穌基督歸於你們
[00:03:00.000 --> 00:03:02.000]  一開始介紹的時候
[00:03:02.000 --> 00:03:04.000]  這些是我們慣用的字眼
[00:03:04.000 --> 00:03:08.000]  天父、主耶穌
[00:03:08.000 --> 00:03:12.000]  但當時不是這麼慣用的字眼
[00:03:12.000 --> 00:03:14.000]  就好像今天你在香港的時候
[00:03:14.000 --> 00:03:16.000]  你說我們親愛的父
[00:03:16.000 --> 00:03:18.000]  你不說主耶穌
[00:03:18.000 --> 00:03:20.000]  我是親愛的特首耶穌
[00:03:20.000 --> 00:03:22.000]  你一聽的時候會覺得很奇怪
[00:03:22.000 --> 00:03:24.000]  你一聽的時候會敏感
[00:03:24.000 --> 00:03:26.000]  因為在香港特首是代表某種人
[00:03:26.000 --> 00:03:28.000]  才叫特首
[00:03:28.000 --> 00:03:30.000]  在當時某種主才叫主
[00:03:30.000 --> 00:03:32.000]  不是無緣無故主耶穌
[00:03:32.000 --> 00:03:34.000]  就很普通的字眼
[00:03:34.000 --> 00:03:36.000]  一點都不普通
[00:03:36.000 --> 00:03:38.000]  在一個家庭裡
[00:03:38.000 --> 00:03:40.000]  一個家居、一個社會裡的主人
[00:03:40.000 --> 00:03:42.000]  我們叫他主
[00:03:42.000 --> 00:03:44.000]  父親也一樣
[00:03:44.000 --> 00:03:46.000]  天父為父親
[00:03:46.000 --> 00:03:48.000]  天父為父親
[00:03:48.000 --> 00:03:50.000]  不是Daddy這麼簡單
[00:03:50.000 --> 00:03:52.000]  而是家父的意思
