
[00:00:00.000 --> 00:00:05.000]  多謝師父讓我們聽到這段
[00:00:05.000 --> 00:00:06.560]  讓我們先同心同德
[00:00:06.560 --> 00:00:09.800]  也讓我們先清醒到這些 先同心禱告
[00:00:09.800 --> 00:00:12.200]  親愛的父神 多謝你
[00:00:12.200 --> 00:00:14.540]  讓我們能夠再次來到你的根前
[00:00:14.540 --> 00:00:16.240]  去聆聽你的話語
[00:00:16.240 --> 00:00:19.780]  讓你的獨生兒子耶穌基督的救恩
[00:00:19.780 --> 00:00:23.420]  怎樣在地上隨著聖靈的引導
[00:00:23.420 --> 00:00:29.560]  去活在一個忠信於主你的門徒身上
[00:00:29.560 --> 00:00:34.160]  和你他的見證 保羅 使徒保羅的見證
[00:00:34.160 --> 00:00:38.000]  能夠成為我們很好的一個學校的榜樣
[00:00:38.000 --> 00:00:40.600]  知道我們在這個地上怎樣活
[00:00:40.600 --> 00:00:43.240]  往一個什麼方向去走
[00:00:43.240 --> 00:00:45.440]  親愛的父神 多謝你
[00:00:45.440 --> 00:00:49.640]  再次讓我們有這樣的憂鬱
[00:00:49.640 --> 00:00:52.640]  使我們能夠來到你的根前
[00:00:52.640 --> 00:00:54.480]  再次聆聽你的話語
[00:00:54.480 --> 00:00:56.360]  使我們明白到
[00:00:56.360 --> 00:01:00.660]  你愛著耶穌基督他所成就的救恩
[00:01:00.660 --> 00:01:03.800]  人 屬於主你的人
[00:01:03.800 --> 00:01:09.000]  使徒 門徒 在地上隨著聖靈來活
[00:01:09.000 --> 00:01:10.900]  我們再次一切感謝
[00:01:10.900 --> 00:01:13.840]  讓我們好好掌握在當中的教訓
[00:01:13.840 --> 00:01:17.540]  使我們生命完全在主你的引導當中
[00:01:17.540 --> 00:01:19.640]  直奔到永恆當中
[00:01:19.640 --> 00:01:21.920]  我們禱告 通主耶穌的名臣
[00:01:21.920 --> 00:01:22.920]  Amen
[00:01:22.920 --> 00:01:27.600]  上一集或者上一堂的講道裏面
[00:01:27.600 --> 00:01:29.400]  我們講了第一部分
[00:01:29.400 --> 00:01:32.520]  怎樣去抵禦一些直接對信仰的衝擊
[00:01:32.520 --> 00:01:33.520]  第一講
[00:01:33.520 --> 00:01:35.840]  上一堂講到我們講的第一部分
[00:01:35.840 --> 00:01:38.240]  如何抵禦直接的信仰的衝擊
[00:01:38.240 --> 00:01:43.680]  就是首先怎樣去識破人那種的誣告的狀況
[00:01:43.680 --> 00:01:46.880]  怎樣識破人的誣告的一些狀況
[00:01:46.880 --> 00:01:48.880]  來到今天我們跟著去看一下
[00:01:48.880 --> 00:01:53.080]  保羅怎樣去回應這個直接的衝擊
[00:01:53.080 --> 00:01:57.760]  今天就看保羅怎樣回應
[00:01:57.760 --> 00:02:01.920]  其實在聖經裏面有很多這樣的學習
