
[00:00:00.000 --> 00:00:06.560]  剛才Jean老師解釋了Marketplace Alumni Club MAC
[00:00:06.560 --> 00:00:11.080]  不過他沒有解釋到前面還有六個字
[00:00:11.080 --> 00:00:15.880]  忠臣CGST
[00:00:15.880 --> 00:00:18.920]  我假設你應該很熟悉
[00:00:18.920 --> 00:00:22.720]  所以應該不用解釋
[00:00:22.720 --> 00:00:25.960]  不過我還想加一個footnote
[00:00:25.960 --> 00:00:36.400]  忠臣就是把中國神學研究院縮減了
[00:00:36.400 --> 00:00:40.160]  這是對的 因為到今天為止
[00:00:40.160 --> 00:00:45.640]  我們還有很多校友說不出全名正確
[00:00:45.640 --> 00:00:48.720]  我最近去一個教會
[00:00:48.720 --> 00:00:50.920]  那個不是我們校友
[00:00:50.920 --> 00:00:54.040]  介紹我是中國宣導神學院的院長
[00:00:54.040 --> 00:00:56.480]  他知道了 知道是誰了
[00:00:56.480 --> 00:00:58.840]  中國神學院的院長
[00:00:58.840 --> 00:01:00.840]  中國研究神學院的院長
[00:01:00.840 --> 00:01:02.840]  他講了四次都講不出來
[00:01:02.840 --> 00:01:05.440]  所以簡單點說就是忠臣
[00:01:05.440 --> 00:01:07.440]  好像江湖暗號
[00:01:07.440 --> 00:01:09.440]  你哪裡的 忠臣
[00:01:09.440 --> 00:01:18.320]  但我猜忠臣就撮要了中國神學院
[00:01:18.320 --> 00:01:20.320]  什麼是研究院
[00:01:21.040 --> 00:01:25.680]  CGST 忠臣就是C和T
[00:01:25.680 --> 00:01:27.680]  China Theology
[00:01:27.680 --> 00:01:30.160]  中間是Graduate School
[00:01:30.160 --> 00:01:36.880]  如果你是在美國加拿大讀大學的
[00:01:36.880 --> 00:01:39.760]  你就會明白什麼是研究院
[00:01:39.760 --> 00:01:42.240]  英國是沒有這東西的
[00:01:42.240 --> 00:01:45.240]  所以香港的學制
[00:01:45.240 --> 00:01:47.240]  過去殖民地
[00:01:47.240 --> 00:01:52.120]  我們是沒有Graduate School的概念
[00:01:52.120 --> 00:01:57.240]  Graduate就是我們行畢業禮的那個moment
[00:01:57.240 --> 00:01:59.240]  我們就是Graduate
[00:01:59.240 --> 00:02:05.480]  之前我們是在讀Undergraduate的課程
[00:02:05.480 --> 00:02:09.480]  之後我們讀Postgraduate
