
[00:00:00.000 --> 00:00:10.000]  我們今年上半年六次一齊來到打開馬拉基書
[00:00:10.000 --> 00:00:16.000]  三月我們進入到第三個段落
[00:00:16.000 --> 00:00:25.000]  馬拉基書第二章第十節到第十六節
[00:00:25.000 --> 00:00:31.000]  我給一個題目 我們如何更習
[00:00:31.000 --> 00:00:36.000]  我們先讀一次這段經文
[00:00:36.000 --> 00:00:41.000]  這是我的翻譯 慢慢讀不要心急
[00:00:41.000 --> 00:00:44.000]  因為和合本有很大的出入
[00:00:44.000 --> 00:00:51.000]  主要不只是斷句 也是對一些其中的字眼
[00:00:51.000 --> 00:00:54.000]  我們需要小心的 我們一齊來
[00:00:54.000 --> 00:01:00.000]  不是我們所有人都屬同一父親嗎?
[00:01:00.000 --> 00:01:05.000]  不是同一上帝創造我們嗎?
[00:01:05.000 --> 00:01:08.000]  為什麼我們要奸詐
[00:01:08.000 --> 00:01:15.000]  各人與他的弟兄褻瀆我們祖宗的承諾
[00:01:15.000 --> 00:01:17.000]  猶大奸詐
[00:01:17.000 --> 00:01:24.000]  在以色列並在耶路撒冷有可惡的事發生
[00:01:24.000 --> 00:01:29.000]  因為猶大褻瀆了上主的聖所
[00:01:29.000 --> 00:01:32.000]  這是他愛慕的
[00:01:32.000 --> 00:01:37.000]  但他卻取了愛邦上帝的女兒
[00:01:37.000 --> 00:01:41.000]  願上主剷除這樣的人
[00:01:41.000 --> 00:01:48.000]  他作者是既清醒又應對如流
[00:01:48.000 --> 00:01:51.000]  從哪國的眾象棚
[00:01:51.000 --> 00:01:56.000]  又把祭祀奉獻天庭的上主
[00:01:56.000 --> 00:01:59.000]  況且你們又重蹈覆轍
[00:01:59.000 --> 00:02:03.000]  眼淚遮蓋上主祭壇
[00:02:03.000 --> 00:02:07.000]  又哭泣又失淫
[00:02:07.000 --> 00:02:11.000]  以至不可能看到祭祀
[00:02:11.000 --> 00:02:16.000]  或從你們手裡獲得彼月
[00:02:16.000 --> 00:02:20.000]  你們卻說為了什麼?
[00:02:20.000 --> 00:02:28.000]  為了上主曾指正在你和你年輕時的妻
[00:02:28.000 --> 00:02:32.000]  你已奸詐對她
[00:02:32.000 --> 00:02:37.000]  她是你的伴侶和你性虐的妻
[00:02:37.000 --> 00:02:40.000]  不是只有一位做物主
[00:02:40.000 --> 00:02:44.000]  剩餘的靈也屬她嗎?
[00:02:44.000 --> 00:02:51.000]  這獨一的主要找尋什麼神的種子嗎?
[00:02:51.000 --> 00:02:55.000]  你們要謹守你們的靈
[00:02:55.000 --> 00:03:00.000]  不可以奸詐對你們年輕時的妻
[00:03:00.000 --> 00:03:07.000]  因為她憎恨出世上主以色列的神說
[00:03:07.000 --> 00:03:12.000]  又用強暴遮蓋她的衣服
[00:03:12.000 --> 00:03:15.000]  天庭的上主說
[00:03:15.000 --> 00:03:18.000]  你們要謹守你們的靈
[00:03:18.000 --> 00:03:22.000]  也不可奸詐
[00:03:22.000 --> 00:03:25.000]  讀完了
[00:03:25.000 --> 00:03:29.000]  其實仍然困難重重
[00:03:29.000 --> 00:03:31.000]  但你剛才讀的時候發覺
[00:03:31.000 --> 00:03:37.000]  這段經文無論如何也解決不了
[00:03:37.000 --> 00:03:43.000]  很多莫名其妙的句子
[00:03:43.000 --> 00:03:48.000]  不過講道不是要和你討論這些
