
[00:00:00.000 --> 00:00:05.000]  各位大兄姐妹 各位朋友
[00:00:05.000 --> 00:00:09.000]  歡迎大家參加我們三藩市播道會的網上崇拜
[00:00:09.000 --> 00:00:13.000]  我們繼續思想啟示錄的訊息
[00:00:13.000 --> 00:00:17.000]  今天我們去到26港 末世眼光
[00:00:17.000 --> 00:00:23.000]  經文是記載在啟示錄第11章14節至19節
[00:00:23.000 --> 00:00:27.000]  在開始的時候請我們同心低頭 我們同禱告
[00:00:27.000 --> 00:00:29.000]  慈悲人 我天父 我們滿心感謝你
[00:00:29.000 --> 00:00:32.000]  因為我們知道你仍然掌管宇宙一切
[00:00:32.000 --> 00:00:35.000]  你是我們的主 我們的神
[00:00:35.000 --> 00:00:41.000]  求你藉著你的話語去提醒 勸勉 安慰 督責我們
[00:00:41.000 --> 00:00:45.000]  以致我們能夠將你的話語活躍在我們的生命裏
[00:00:45.000 --> 00:00:50.000]  無論遇到什麼事 我們知道主是永遠在我們當中
[00:00:50.000 --> 00:00:55.000]  我們這樣的祈禱 那是奉耶穌基督的名求 阿們
[00:00:55.000 --> 00:01:02.000]  林清源是台灣一名作家 也是一個虔誠的佛教徒
[00:01:02.000 --> 00:01:08.000]  在他的《生命的龍捲風》中 曾經講過兩個非常有趣的故事
[00:01:08.000 --> 00:01:13.000]  第一個故事是《納克完成的靈藥》
[00:01:13.000 --> 00:01:19.000]  從前有一個國王 這個人的性子非常急
[00:01:19.000 --> 00:01:22.000]  對任何事情都不想等
[00:01:22.000 --> 00:01:26.000]  由於他位高權重 要風得風 要雨得雨
[00:01:26.000 --> 00:01:30.000]  幾乎所有事情都得如願以償
[00:01:30.000 --> 00:01:34.000]  有一天 皇后生了一個女兒
[00:01:34.000 --> 00:01:38.000]  誰知這個孩子經常哭哭啼啼
[00:01:38.000 --> 00:01:45.000]  國王感到非常心煩 看著這個孩子經常哭
[00:01:45.000 --> 00:01:50.000]  苦口苦面 念咒成為一團
[00:01:50.000 --> 00:01:53.000]  一點都不可愛 心裏這樣想
[00:01:53.000 --> 00:01:59.000]  如果公主能夠納克長大 變成一個亭亭玉立的少女
[00:01:59.000 --> 00:02:04.000]  那就好了 雖然她在理性上知道這個不可能
[00:02:04.000 --> 00:02:07.000]  但在感情上她就非常急
[00:02:07.000 --> 00:02:14.000]  她一想到要見這個女兒 長大成人
[00:02:14.000 --> 00:02:20.000]  還有一段漫長的歲月 她就急得難以等待
[00:02:20.000 --> 00:02:26.000]  她想想 我是一國之君 加上國內人才濟濟
[00:02:26.000 --> 00:02:30.000]  難道沒法見我女兒可以快高長大?
[00:02:30.000 --> 00:02:34.000]  這麼簡單的一件事 我做國王都做不到
[00:02:34.000 --> 00:02:36.000]  那還有什麼意思?
[00:02:36.000 --> 00:02:40.000]  於是下令所有大臣去到公眾
[00:02:40.000 --> 00:02:47.000]  公眾宣佈 有誰有良方妙藥 叫我女兒納克可以長大?
[00:02:47.000 --> 00:02:50.000]  那些臣子以為國王神經不正常
[00:02:50.000 --> 00:02:53.000]  世上哪有一個方法叫人立即長大?
[00:02:53.000 --> 00:02:59.000]  於是對國王說 我們雖然處理過不少國家的大事
[00:02:59.000 --> 00:03:04.000]  但從沒聽過可以叫嬰兒立即長大的方法
[00:03:04.000 --> 00:03:07.000]  國王聽到就非常生氣 對你說
[00:03:07.000 --> 00:03:10.000]  這些全部是飯桶 以致我們
[00:03:10.000 --> 00:03:13.000]  你想想我們全國的力量 這麼多人才
