
[00:00:00.000 --> 00:00:06.480]  我現在就講一下 今天我們有一個很好的新的節目來的
[00:00:06.480 --> 00:00:11.880]  就是「同路人」 今天我們有一個很好的新的節目來的
[00:00:11.880 --> 00:00:16.940]  就是「同路人」 今天我們有一個很好的新的節目來的
[00:00:16.940 --> 00:00:22.380]  就是「同路人」 今天我們有一個很好的新的節目來的
[00:00:22.380 --> 00:00:27.320]  就是「同路人」 今天我們有一個很好的新的節目來的
[00:00:27.320 --> 00:00:34.900]  他在外國讀神學 讀到最後一年
[00:00:34.900 --> 00:00:42.980]  他的媽媽病得很重 他跟他的老師說
[00:00:42.980 --> 00:00:48.980]  他說我想走了 我家掛得很緊要
[00:00:48.980 --> 00:00:53.980]  他很擔心他的老師不放他走
[00:00:53.980 --> 00:00:57.980]  因為用了很多心機教他這麼多年
[00:00:57.980 --> 00:01:02.620]  但是他講聖經說 人如果不照顧自己的親屬
[00:01:02.620 --> 00:01:06.380]  就比起未信的人都不如
[00:01:06.380 --> 00:01:10.220]  老師說 你怎麼知道我不放你走呢?
[00:01:10.220 --> 00:01:13.820]  你快點回香港吧
[00:01:13.820 --> 00:01:19.340]  老師最後說一句話 他說 你放心吧 我不怪你的
[00:01:19.340 --> 00:01:24.340]  因為我是你的僕人
[00:01:24.340 --> 00:01:31.980]  一個老師跟學生說 我是你的工人 僕人
[00:01:31.980 --> 00:01:36.620]  這個團友就流眼淚 他很感動
[00:01:36.620 --> 00:01:39.500]  他想不到他要尊敬的先生
[00:01:39.500 --> 00:01:46.020]  竟然自己稱呼是一個僕人
[00:01:46.020 --> 00:01:51.700]  在兩年前 我有一個團友在美國
[00:01:51.700 --> 00:01:57.020]  我們相隔了將近50年
[00:01:57.020 --> 00:02:01.340]  美國有一個男團友告訴我
[00:02:01.340 --> 00:02:04.460]  這個女團友陪媽媽回香港
[00:02:04.460 --> 00:02:12.380]  因為他們的爸爸去世了 想回他的祖屋去看看
[00:02:12.380 --> 00:02:15.700]  他叫我 你在香港不如招呼他們吧
[00:02:15.700 --> 00:02:18.540]  我最初都感覺到有點唐突
[00:02:18.540 --> 00:02:21.540]  因為沒有見了50年 我都不認得
[00:02:21.540 --> 00:02:25.780]  你知道女人的樣子差很遠的 差50年
[00:02:25.780 --> 00:02:29.900]  我憑什麼認得是他呢?他應該都不認得我
[00:02:29.900 --> 00:02:31.580]  但是我有什麼勇氣去呢?
[00:02:31.580 --> 00:02:37.140]  我就覺得大家都是以前的青年團契、少年團契認識
[00:02:37.140 --> 00:02:40.260]  見一見也無妨
[00:02:40.260 --> 00:02:43.900]  跟他媽媽見一次面之後
[00:02:43.900 --> 00:02:50.020]  發覺大家很近距離 說回幾十年前在堅島發生的事
[00:02:50.020 --> 00:02:57.540]  回家的時候看到《段聖經》在羅馬書16章13節
[00:02:57.540 --> 00:03:04.780]  它說:「又問在主蒙簡算的老夫和他母親案
[00:03:04.780 --> 00:03:10.260]  他的母親就是我的母親」
[00:03:10.260 --> 00:03:15.020]  這句話保羅向教友問安
[00:03:15.020 --> 00:03:18.940]  和向這個教友的媽媽說
[00:03:18.940 --> 00:03:23.540]  這個媽媽就是我的媽媽
[00:03:23.540 --> 00:03:26.260]  其實在聖經很多時候都說到
[00:03:26.260 --> 00:03:30.980]  基督徒應該對其他基督徒的家人
[00:03:30.980 --> 00:03:32.660]  好像自己的家人一樣
[00:03:32.660 --> 00:03:36.340]  但是說是這麼說 是不是這麼容易呢?
[00:03:36.340 --> 00:03:42.460]  我相信牧師或者教會童工最頭赤就是教會聚餐
[00:03:42.460 --> 00:03:45.020]  現在教會興隆買桌子
[00:03:45.020 --> 00:03:47.660]  因為如果買幾張票
[00:03:47.660 --> 00:03:51.060]  最難解決的問題就是那幾張和另外幾張
[00:03:51.060 --> 00:03:53.580]  和另外幾張很難合在一起
[00:03:53.580 --> 00:03:54.620]  因為每個人都說
[00:03:54.620 --> 00:03:58.940]  我又想和這個和那個 我們有七個 特了一個那些
[00:03:58.940 --> 00:04:02.140]  有很多人都很介意你和誰
[00:04:02.140 --> 00:04:06.500]  雖然是基督徒 雖然大家都是坐在這個群體裡面
[00:04:06.500 --> 00:04:10.820]  但是不太合得來的人不是很喜歡
[00:04:10.820 --> 00:04:12.140]  年輕人都是這樣
[00:04:12.140 --> 00:04:16.300]  我想做青年團契 夏令營
[00:04:16.300 --> 00:04:19.700]  最緊張的時候就不是聽講道 進營地
[00:04:19.700 --> 00:04:22.580]  是最緊張的就是打開那本營刊
[00:04:22.580 --> 00:04:25.900]  哎呀 我和他一組啊 這樣
[00:04:25.900 --> 00:04:29.100]  有開心的也有些人是很不開心
[00:04:29.100 --> 00:04:32.660]  因為有些人不喜歡某些人和他一起
[00:04:32.660 --> 00:04:35.500]  希望大家在教會都是一樣
[00:04:35.500 --> 00:04:37.540]  如果你去了洗手間
[00:04:37.540 --> 00:04:40.780]  有個人進來坐了你的位
[00:04:40.780 --> 00:04:42.940]  你不要說我坐開的
[00:04:42.940 --> 00:04:45.260]  但是教會每個人都是坐開就坐開的
[00:04:45.260 --> 00:04:49.540]  好像那個人賣了位置那樣
[00:04:49.540 --> 00:04:53.100]  你覺不覺得我們是和在一起
[00:04:53.100 --> 00:04:54.740]  是任何人都和在一起呢
[00:04:54.740 --> 00:04:59.340]  今天我們想試一下打破這個僵局可以這麼說
