
[00:00:00.000 --> 00:00:06.760]  今天我們也思想一段相當嚴厲的經文
[00:00:06.760 --> 00:00:08.580]  對神的敬畏
[00:00:08.580 --> 00:00:11.620]  1973年、1974年那兩年
[00:00:11.620 --> 00:00:14.180]  在我生命裏面發生了兩件事
[00:00:14.180 --> 00:00:17.800]  給我很深刻的反省
[00:00:17.800 --> 00:00:21.060]  一直到現在我都很難忘記
[00:00:21.060 --> 00:00:24.060]  我想開始講到之前跟大家分享
[00:00:24.060 --> 00:00:26.920]  第一件是關於我自己
[00:00:26.920 --> 00:00:31.740]  第二件是關於我身邊一個人
[00:00:31.740 --> 00:00:34.340]  先講我自己
[00:00:34.340 --> 00:00:39.280]  在1974年我自己在中文大學開始讀研究院
[00:00:39.280 --> 00:00:47.560]  也是當時的一個物理系的Tutor那些助教
[00:00:47.560 --> 00:00:51.360]  我那時候也是信了主幾年的時間
[00:00:51.360 --> 00:00:53.360]  很愛主、很熱心
[00:00:53.360 --> 00:00:55.360]  尤其是1973年
[00:00:55.360 --> 00:00:57.360]  講一些歷史可能你會知道
[00:00:57.360 --> 00:00:59.360]  有我差不多的年紀
[00:00:59.360 --> 00:01:05.360]  1973年就是中文大學的團契剛剛成立的時間
[00:01:05.360 --> 00:01:10.660]  三間本來分開的新亞聯合和崇基學院的團契都取消
[00:01:10.660 --> 00:01:12.660]  合併成為中文大學
[00:01:12.660 --> 00:01:18.200]  我就是第一屆中文大學團契的其中一個籌委
[00:01:18.200 --> 00:01:20.200]  我是做零修補
[00:01:20.200 --> 00:01:30.960]  負責第一年的全香港的福音學生的大專下令會的主席
[00:01:30.960 --> 00:01:32.960]  所以這些工作相當相當的多
[00:01:32.960 --> 00:01:34.960]  大家可以想像
[00:01:34.960 --> 00:01:36.960]  所以我忙到不得了
[00:01:36.960 --> 00:01:38.960]  我在教會有侍奉
[00:01:38.960 --> 00:01:40.960]  在大專團契有侍奉
[00:01:40.960 --> 00:01:43.960]  同時我在讀研究院寫我的碩士論文
[00:01:43.960 --> 00:01:45.960]  也做了Tutor
[00:01:45.960 --> 00:01:47.960]  這個是必須要的
[00:01:47.960 --> 00:01:49.960]  一定要做這個助教
[00:01:49.960 --> 00:01:53.960]  第一年我做助教
[00:01:53.960 --> 00:01:56.960]  然後我發覺原來要做助教
[00:01:56.960 --> 00:01:58.960]  有一樣東西是必須要做的
[00:01:58.960 --> 00:01:59.960]  沒有選擇的
[00:01:59.960 --> 00:02:04.960]  就是幫忙改這些考中文大學入學士的卷
[00:02:04.960 --> 00:02:09.960]  原來你們入中大那些卷是我們改的
[00:02:09.960 --> 00:02:12.960]  物理系當然是改物理學的卷
[00:02:12.960 --> 00:02:16.960]  長鷹偉大
[00:02:16.960 --> 00:02:18.960]  怎樣呢?流水作業的
[00:02:18.960 --> 00:02:23.960]  大家知道每年數以千萬計的學生都有考物理卷
[00:02:23.960 --> 00:02:27.960]  那些所有考中文大學物理卷就是我們改的
[00:02:27.960 --> 00:02:29.960]  每個人負責改一條
[00:02:29.960 --> 00:02:33.960]  就是坐在整個大會堂那裡
[00:02:33.960 --> 00:02:36.960]  所有的助教就圍著一圈
[00:02:36.960 --> 00:02:38.960]  每個人就負責一條
[00:02:38.960 --> 00:02:40.960]  於是就整個大學一堵
[00:02:40.960 --> 00:02:43.960]  拿來就好像流水作業那樣
[00:02:43.960 --> 00:02:44.960]  傳過去
[00:02:44.960 --> 00:02:45.960]  如果我舉例子
[00:02:45.960 --> 00:02:47.960]  我忘記我改第幾條
[00:02:47.960 --> 00:02:48.960]  例如我舉第五條
[00:02:48.960 --> 00:02:49.960]  我改第五條
[00:02:49.960 --> 00:02:51.960]  一到有第五條就傳給我
[00:02:51.960 --> 00:02:53.960]  我就改,改完就傳過去隔離
[00:02:53.960 --> 00:02:55.960]  沒有第五條就傳過去隔離
[00:02:55.960 --> 00:02:57.960]  就好像機器一樣不停地做
[00:02:57.960 --> 00:03:01.960]  數以千萬計的卷都不停地改
[00:03:01.960 --> 00:03:04.960]  我就很討厭這種工作
[00:03:04.960 --> 00:03:06.960]  第一,我這個人就很喜歡有變化
[00:03:06.960 --> 00:03:09.960]  改卷是最沒有變化的,沒有意思的
[00:03:09.960 --> 00:03:10.960]  當然是沒有薪水給
[00:03:10.960 --> 00:03:12.960]  因為你是工作的一部分
[00:03:12.960 --> 00:03:13.960]  不改又不行
[00:03:13.960 --> 00:03:15.960]  而且那時候我忙到不得了
[00:03:15.960 --> 00:03:18.960]  教會團契的事情,睡都睡不著
[00:03:18.960 --> 00:03:20.960]  那時候開會到那個地步
[00:03:20.960 --> 00:03:21.960]  花了半夜
[00:03:21.960 --> 00:03:23.960]  因為你知道將三個團契合併
[00:03:23.960 --> 00:03:24.960]  有很多人事的問題
[00:03:24.960 --> 00:03:26.960]  有很多安排的問題
[00:03:26.960 --> 00:03:28.960]  怎樣安排,很多很多的東西
[00:03:28.960 --> 00:03:30.960]  所以我很不喜歡那段時間
[00:03:30.960 --> 00:03:34.960]  所以每次我在那裡做改卷的時候
[00:03:34.960 --> 00:03:35.960]  我就加速完成
[00:03:35.960 --> 00:03:37.960]  我想是很快的
[00:03:37.960 --> 00:03:38.960]  一拿到卷,第五條
[00:03:38.960 --> 00:03:40.960]  有的,就改了
[00:03:40.960 --> 00:03:41.960]  隔離,就改了
[00:03:41.960 --> 00:03:42.960]  那很快
[00:03:42.960 --> 00:03:46.960]  果然我是全部人裡面改得最快的那個
[00:03:46.960 --> 00:03:48.960]  超速完成
[00:03:48.960 --> 00:03:50.960]  其他還沒改完,我已經快完了
[00:03:50.960 --> 00:03:52.960]  趕著去吃兩口飯
[00:03:52.960 --> 00:03:53.960]  接著就去開會
[00:03:53.960 --> 00:03:55.960]  接著開到半夜都不用睡覺
[00:03:55.960 --> 00:03:57.960]  因為團契的工作太多
[00:03:57.960 --> 00:03:59.960]  過了兩三個禮拜之後
[00:03:59.960 --> 00:04:02.960]  有一天我收到一張紙
[00:04:02.960 --> 00:04:06.960]  是我系主任叫我去他辦公室和他聊聊天
[00:04:06.960 --> 00:04:08.960]  我進去他的辦公室
[00:04:08.960 --> 00:04:11.960]  我還記得是主任坐在那裡
[00:04:11.960 --> 00:04:12.960]  是胖子
[00:04:12.960 --> 00:04:14.960]  現在退休了
[00:04:14.960 --> 00:04:15.960]  坐在那裡
[00:04:15.960 --> 00:04:18.960]  在旁邊就等了一疊這麼高的卷
[00:04:18.960 --> 00:04:20.960]  他坐下
[00:04:20.960 --> 00:04:22.960]  他說:溫偉耀
[00:04:22.960 --> 00:04:27.960]  這一疊卷都是由你負責改的部分
[00:04:27.960 --> 00:04:30.960]  他說:幸好
[00:04:30.960 --> 00:04:32.960]  我就找其他同事
[00:04:32.960 --> 00:04:34.960]  Spot check
[00:04:34.960 --> 00:04:35.960]  check一check
[00:04:35.960 --> 00:04:38.960]  改卷的質素如何
[00:04:38.960 --> 00:04:42.960]  起碼就發覺這一疊這麼多的卷
[00:04:42.960 --> 00:04:44.960]  你都是改錯的
[00:04:44.960 --> 00:04:48.960]  他說你改卷就不只是看答案
[00:04:48.960 --> 00:04:49.960]  你都知道的
[00:04:49.960 --> 00:04:51.960]  大學的他們讀
[00:04:51.960 --> 00:04:54.960]  可能這個學生他答這條題目的時候
[00:04:54.960 --> 00:04:57.960]  從頭到尾大部分他都對的
[00:04:57.960 --> 00:04:59.960]  不過到最後
[00:04:59.960 --> 00:05:00.960]  他可能計算
[00:05:00.960 --> 00:05:02.960]  當年沒有計算機
