
[00:00:00.000 --> 00:00:09.680]  1982年英國的威廉王子出生的時候
[00:00:09.680 --> 00:00:11.680]  很多人都很開心
[00:00:11.680 --> 00:00:18.880]  大家都來慶祝這位將來英國儲君的誕生
[00:00:18.880 --> 00:00:25.680]  很多國家送了不同的禮物去英國給這位王子
[00:00:25.680 --> 00:00:32.680]  相對之下,我們的耶穌基督,這位宇宙的創造者
[00:00:32.680 --> 00:00:38.680]  這位萬王之王,萬主之主,這位大位王位的繼承人
[00:00:38.680 --> 00:00:44.680]  當他出生的時候,是沒有得到這麼大的榮耀
[00:00:44.680 --> 00:00:50.680]  我們看到只有東方的博士去到馬槽
[00:00:50.680 --> 00:00:54.680]  帶了禮物,黃金、末藥
[00:00:54.680 --> 00:01:01.680]  和禹香來為這位新親王慶祝
[00:01:01.680 --> 00:01:04.680]  我們看到天使是布加音
[00:01:04.680 --> 00:01:11.680]  是牧羊人,以至牧羊人也能夠去到馬槽敬拜耶穌基督
[00:01:11.680 --> 00:01:15.680]  但除此以外,比較少人知道
[00:01:15.680 --> 00:01:21.680]  耶穌基督就是這樣謙卑的誕生在馬槽當中
[00:01:21.680 --> 00:01:28.680]  我們知道聖誕節,我們很多時候都忙著做很多事
[00:01:28.680 --> 00:01:33.680]  忙著買禮物,聖誕節是大家交換禮物的時候
[00:01:33.680 --> 00:01:35.680]  花很多心思去買禮物
[00:01:35.680 --> 00:01:42.680]  聖誕節我們又喜歡佈置燈飾、佈置聖誕樹
[00:01:42.680 --> 00:01:47.680]  聖誕節我們很多時候都會寄卡片出去給親朋戚友
[00:01:47.680 --> 00:01:51.680]  很多時候喜歡將我們一年所發生的事寫在這裏
[00:01:51.680 --> 00:01:54.680]  幅相上高,寄給親朋戚友
[00:01:54.680 --> 00:01:58.680]  讓他們知道過去一年我們的情形怎樣
[00:01:58.680 --> 00:02:03.680]  聖誕節我們很多時候為食的就會去吃聖誕大餐
[00:02:03.680 --> 00:02:06.680]  但聖誕節究竟是為了什麼?
[00:02:06.680 --> 00:02:11.680]  聖誕節的主題、主要的訊息是什麼?
[00:02:11.680 --> 00:02:20.680]  其實聖誕節最主要的訊息就是神造成肉身變成人來到我們當中
[00:02:20.680 --> 00:02:24.680]  剛才我們唱聖詩齊來崇拜
[00:02:24.680 --> 00:02:29.680]  大家也看過一節的剛才一段是唱出來的
[00:02:29.680 --> 00:02:33.680]  大災神在肉身顯現
[00:02:33.680 --> 00:02:37.680]  這個就是聖誕最重要的訊息
[00:02:37.680 --> 00:02:40.680]  在提摩太前書三章十六節說
[00:02:40.680 --> 00:02:45.680]  大災經前的奧秘神在肉身顯現
[00:02:45.680 --> 00:02:49.680]  這個就是剛才唱聖詩那裏引用的經文
[00:02:49.680 --> 00:02:55.680]  其實很多經文在聖經裏面三章十六節都是很有意思很重要的
[00:02:55.680 --> 00:02:58.680]  約翰福音三章十六節是說什麼?
[00:02:58.680 --> 00:03:03.680]  神愛世人甚至將他的獨生子賜給我們
[00:03:03.680 --> 00:03:06.680]  提摩太后書三章十六節
[00:03:06.680 --> 00:03:10.680]  全部聖經都是神所密使
[00:03:10.680 --> 00:03:13.680]  現在提摩太前書三章十六節說
[00:03:13.680 --> 00:03:17.680]  大災經前的奧秘神在肉身顯現
[00:03:17.680 --> 00:03:21.680]  這個就是聖誕節最重要的訊息
[00:03:21.680 --> 00:03:26.680]  很可惜猶太人就是為了神在肉身顯現
[00:03:26.680 --> 00:03:31.680]  而將耶穌基督釘上十字架
[00:03:31.680 --> 00:03:34.680]  當耶穌基督來到猶太人當中
[00:03:34.680 --> 00:03:39.680]  他們很認識耶穌基督應該是他們的尼塞亞
[00:03:39.680 --> 00:03:42.680]  因為他們讀舊約都讀過了
[00:03:42.680 --> 00:03:44.680]  在《撒加利亞書》九章九節說
[00:03:44.680 --> 00:03:51.680]  尼塞亞將會騎著盧驅子進入耶路撒冷城
[00:03:51.680 --> 00:03:57.680]  所以耶穌基督騎著盧驅子進入耶路撒冷城的時候
[00:03:57.680 --> 00:03:59.680]  那些猶太人都知道
[00:03:59.680 --> 00:04:03.680]  這位就是我們的救主大聲唱號三
[00:04:03.680 --> 00:04:07.680]  就是慶祝讚美這位救世主
[00:04:07.680 --> 00:04:12.680]  但是很可惜當耶穌基督跟他們說
[00:04:12.680 --> 00:04:15.680]  祂就是神的兒子 祂就是神的時候
[00:04:15.680 --> 00:04:17.680]  猶太人不能夠接受
[00:04:17.680 --> 00:04:21.680]  甚至將祂釘在十字架上
[00:04:21.680 --> 00:04:27.680]  但我們怎知道猶太人釘死耶穌基督
[00:04:27.680 --> 00:04:31.680]  真正的目的是祂說祂自己是神的兒子
[00:04:31.680 --> 00:04:34.680]  聖經有記載 約翰福音十九章七節
[00:04:34.680 --> 00:04:40.680]  當猶太人將耶穌基督帶到比拉多的面前
[00:04:40.680 --> 00:04:43.680]  叫他去審判耶穌基督
[00:04:43.680 --> 00:04:46.680]  猶太人和比拉多怎麼說
[00:04:46.680 --> 00:04:48.680]  猶太人是有律法的
[00:04:48.680 --> 00:04:51.680]  我們的律法照著我們的律法
[00:04:51.680 --> 00:04:53.680]  他是應該被處死
[00:04:53.680 --> 00:04:56.680]  因為他自稱是神的兒子
[00:04:56.680 --> 00:04:58.680]  說得很清楚
[00:04:58.680 --> 00:05:01.680]  但比拉多查來查去
[00:05:01.680 --> 00:05:04.680]  查完之後跟猶太人說
[00:05:04.680 --> 00:05:06.680]  我查不到什麼罪
[00:05:06.680 --> 00:05:10.680]  我希望可以釋放這位叫做耶穌基督
[00:05:10.680 --> 00:05:12.680]  猶太人就馬上怎麼說
[00:05:12.680 --> 00:05:15.680]  猶太人說如果你釋放他
[00:05:15.680 --> 00:05:18.680]  你就是背叛了該殺
[00:05:18.680 --> 00:05:21.680]  我們沒有別的王
[00:05:21.680 --> 00:05:24.680]  我們只有該殺王 該殺是我們的王
[00:05:24.680 --> 00:05:27.680]  而耶穌基督自稱為猶太人的王
[00:05:27.680 --> 00:05:29.680]  所以你一定要處死他
[00:05:29.680 --> 00:05:32.680]  否則你就背叛了該殺
[00:05:32.680 --> 00:05:33.680]  比拉多沒有辦法
[00:05:33.680 --> 00:05:38.680]  於是將耶穌基督判釘十字架
[00:05:38.680 --> 00:05:40.680]  釘十字架的時候
[00:05:40.680 --> 00:05:42.680]  你見到耶穌基督的十字架上
[00:05:42.680 --> 00:05:45.680]  有一個牌寫著猶太人的王
[00:05:45.680 --> 00:05:48.680]  看起來就好像是這個罪名
[00:05:48.680 --> 00:05:50.680]  要釘死他
[00:05:50.680 --> 00:05:54.680]  但真正的原因就是耶穌基督說自己是神
[00:05:54.680 --> 00:05:55.680]  是神的兒子
[00:05:55.680 --> 00:05:58.680]  甚至當耶穌基督被釘十字架的時候
[00:05:58.680 --> 00:06:01.680]  那些猶太人都不忘嘲笑他
[00:06:01.680 --> 00:06:04.680]  在馬太福音27章40節
[00:06:04.680 --> 00:06:06.680]  猶太人說如果你是神的兒子
[00:06:06.680 --> 00:06:09.680]  你就救自己跳下來
[00:06:09.680 --> 00:06:13.680]  可見這件事在猶太人的心中
[00:06:13.680 --> 00:06:15.680]  真是耿耿於懷
[00:06:15.680 --> 00:06:19.680]  但現在這個世界差不多
[00:06:19.680 --> 00:06:23.680]  很多人都否定耶穌基督是神
[00:06:23.680 --> 00:06:26.680]  否定耶穌基督是神的兒子
[00:06:26.680 --> 00:06:29.680]  有很多人雖然叫自己做基督徒
[00:06:29.680 --> 00:06:33.680]  但他們不相信耶穌基督是神
[00:06:33.680 --> 00:06:36.680]  有很多人甚至說耶穌基督是一個好人
[00:06:36.680 --> 00:06:38.680]  是一個好的老師
[00:06:38.680 --> 00:06:40.680]  是一個好的先知
[00:06:40.680 --> 00:06:42.680]  但他不是神
[00:06:42.680 --> 00:06:45.680]  我們見到當然猶太人就是這樣說
[00:06:45.680 --> 00:06:48.680]  猶太人不相信耶穌基督是神
[00:06:48.680 --> 00:06:52.680]  回教徒也不相信耶穌基督是神
[00:06:52.680 --> 00:06:55.680]  甚至耶和華見證人
[00:06:55.680 --> 00:06:59.680]  就是時事禮柏利門的見證人
[00:06:59.680 --> 00:07:02.680]  他都不相信耶穌基督是神
[00:07:02.680 --> 00:07:04.680]  或者神的兒子
[00:07:04.680 --> 00:07:07.680]  究竟耶穌基督是神的兒子
[00:07:07.680 --> 00:07:11.680]  和我們今天所說的同女懷孕有什麼關係
[00:07:11.680 --> 00:07:15.680]  同女懷孕究竟值不值得我們相信
[00:07:15.680 --> 00:07:19.680]  做基督徒是否一定要相信同女懷孕
[00:07:19.680 --> 00:07:25.680]  相信希望我們今天的分享能夠解答這些問題
[00:07:25.680 --> 00:07:30.680]  我們先看看同女懷孕的經文
[00:07:30.680 --> 00:07:32.680]  就是剛才讀過的
[00:07:32.680 --> 00:07:35.680]  在這裡語塞亞書七章十四節
[00:07:35.680 --> 00:07:39.680]  說必有同女懷孕起名叫做「二馬內尼」
[00:07:39.680 --> 00:07:43.680]  翻出來翻譯出來就是神與我們同在的意思
[00:07:43.680 --> 00:07:45.680]  在這裡一個多星期前
[00:07:45.680 --> 00:07:47.680]  在聖誕的聚餐
[00:07:47.680 --> 00:07:50.680]  我和大家分享另外一節的經文
[00:07:50.680 --> 00:07:52.680]  是九章六節
[00:07:52.680 --> 00:07:55.680]  是說出耶穌基督的名稱
[00:07:55.680 --> 00:07:57.680]  耶穌基督有五個名稱
[00:07:57.680 --> 00:08:03.680]  就是奇妙、賊事、全能的神、永在的父、和平的君
[00:08:03.680 --> 00:08:05.680]  和大家說過
[00:08:05.680 --> 00:08:10.680]  其實這些名稱表現出耶穌基督就是三位一體的神
[00:08:10.680 --> 00:08:13.680]  今天的經文是七章十四節
[00:08:13.680 --> 00:08:16.680]  但是背景和九章六節都是一樣
[00:08:16.680 --> 00:08:22.680]  都是當時以色列國和猶大國的一場戰爭
[00:08:22.680 --> 00:08:31.680]  我們知道以色列國在所羅門之後分為南國和北國
[00:08:31.680 --> 00:08:33.680]  北國有十個支派
[00:08:33.680 --> 00:08:35.680]  南國有兩個支派
[00:08:35.680 --> 00:08:37.680]  猶大和變雅文
[00:08:37.680 --> 00:08:40.680]  兩個國家應該是兄弟之邦
[00:08:40.680 --> 00:08:43.680]  但是很可惜兩個國家時時都打仗
[00:08:43.680 --> 00:08:50.680]  在主前七百多年亞述國在北邊日益強盛
[00:08:50.680 --> 00:08:54.680]  所以阿蘭國和以色列國聯手
[00:08:54.680 --> 00:08:57.680]  希望可以一起對付亞述國
[00:08:57.680 --> 00:09:02.680]  他們是先想著消滅猶大國
[00:09:02.680 --> 00:09:05.680]  然後才去聯手打亞述國
[00:09:05.680 --> 00:09:07.680]  因為猶大國在南邊
[00:09:07.680 --> 00:09:09.680]  亞述國在北邊
[00:09:09.680 --> 00:09:11.680]  如果打仗上來
[00:09:11.680 --> 00:09:13.680]  兩個腹背受敵
[00:09:13.680 --> 00:09:16.680]  猶大和亞述國一起打他們就不行了
[00:09:16.680 --> 00:09:20.680]  所以軍臨城下去打猶大國
[00:09:20.680 --> 00:09:28.680]  聖經說當阿蘭國和以色列國的兵來到城下的時候
[00:09:28.680 --> 00:09:30.680]  那些猶太人很害怕
[00:09:30.680 --> 00:09:36.680]  他們的心跳動就像樹林中的樹一樣被風吹得乒鈴反鈴
[00:09:36.680 --> 00:09:43.680]  於是神就派爾賽亞先知去和猶大國的王阿哈斯說
[00:09:43.680 --> 00:09:45.680]  你不用怕
[00:09:45.680 --> 00:09:52.680]  阿蘭國和以色列國兩個國家就像兩個冒煙的火把一樣
[00:09:52.680 --> 00:09:54.680]  什麼叫冒煙的火把
[00:09:54.680 --> 00:09:57.680]  大家有沒有看過被焚燒的火把
[00:09:57.680 --> 00:10:00.680]  燒到很大聲的時候沒有什麼煙
[00:10:00.680 --> 00:10:04.680]  但是就圍熄滅的時候就會冒很多煙出來
[00:10:04.680 --> 00:10:09.680]  意思就是說阿蘭國和以色列國很快就玩完
[00:10:09.680 --> 00:10:10.680]  不用怕
[00:10:10.680 --> 00:10:14.680]  於是爾賽亞先知和阿哈斯說
[00:10:14.680 --> 00:10:18.680]  你不如求神拿個兆頭來看看
[00:10:18.680 --> 00:10:23.680]  找個兆頭來證實這件事是真的
[00:10:23.680 --> 00:10:26.680]  阿哈斯王說我不求
[00:10:26.680 --> 00:10:29.680]  我不會去試探神
[00:10:29.680 --> 00:10:32.680]  聽起來好像阿哈斯是很淑女
[00:10:32.680 --> 00:10:33.680]  很神聖
[00:10:33.680 --> 00:10:36.680]  但是其實阿哈斯是全部靠人的智慧
[00:10:36.680 --> 00:10:41.680]  他希望和亞述國聯軍
[00:10:41.680 --> 00:10:44.680]  來反抗阿蘭國和以色列國
[00:10:44.680 --> 00:10:47.680]  所以他不需要求神拿個兆頭來看
[00:10:47.680 --> 00:10:49.680]  但是爾賽亞先知說
[00:10:49.680 --> 00:10:51.680]  你求也好不求也好
[00:10:51.680 --> 00:10:53.680]  我給你一個兆頭
[00:10:53.680 --> 00:10:56.680]  這個兆頭就是必有童女懷孕
[00:10:56.680 --> 00:10:58.680]  豈名爾曼愛尼
[00:10:58.680 --> 00:11:01.680]  當這個童女生出來的弟弟
[00:11:01.680 --> 00:11:05.680]  懂得分別善惡
[00:11:05.680 --> 00:11:14.680]  懂得棄惡為善的時候
[00:11:14.680 --> 00:11:18.680]  他就一定會吃蜂蜜和奶油
[00:11:18.680 --> 00:11:24.680]  那個時候你的遺困就會被解決
[00:11:24.680 --> 00:11:27.680]  一般的神學家都會說
[00:11:27.680 --> 00:11:30.680]  一個弟弟棄惡從善的時候
[00:11:30.680 --> 00:11:33.680]  差不多兩歲
[00:11:33.680 --> 00:11:37.680]  但是我們的經驗是怎樣
[00:11:37.680 --> 00:11:43.680]  弟弟兩歲是棄惡從善還是棄善從惡
[00:11:43.680 --> 00:11:46.680]  兩歲是terrible two
[00:11:46.680 --> 00:11:49.680]  有自己的意思
[00:11:49.680 --> 00:11:52.680]  你第一件事跟他說就說NO
[00:11:52.680 --> 00:11:54.680]  有自己的意思
[00:11:54.680 --> 00:11:58.680]  你小時候給他吃什麼他都吃
[00:11:58.680 --> 00:12:03.680]  最多不喜歡就弄個怪樣出來
[00:12:03.680 --> 00:12:05.680]  或者是吐出來一點點
[00:12:05.680 --> 00:12:07.680]  到兩歲的時候怎樣
[00:12:07.680 --> 00:12:11.680]  我不喜歡吃這個我喜歡吃那個
[00:12:11.680 --> 00:12:13.680]  懂得揀選
[00:12:13.680 --> 00:12:16.680]  其實這裡的經文說棄惡從善
[00:12:16.680 --> 00:12:20.680]  不是說棄惡的行為從善的行為
[00:12:20.680 --> 00:12:25.680]  是棄惡不好的食物去拿些好的食物
[00:12:25.680 --> 00:12:30.680]  所以經文說他必會吃奶油和蜂蜜
[00:12:30.680 --> 00:12:32.680]  最喜歡吃奶油和蜂蜜
[00:12:32.680 --> 00:12:34.680]  其他東西你給他吃他不喜歡吃
[00:12:34.680 --> 00:12:37.680]  這個就是terrible two差不多兩歲
[00:12:37.680 --> 00:12:40.680]  所以經文說
[00:12:40.680 --> 00:12:45.680]  當同女懷孕生了一個兒子差不多兩歲的時候
[00:12:45.680 --> 00:12:48.680]  這個遺困就會被解決
[00:12:48.680 --> 00:12:53.680]  的確阿蘭國和以色列國在兩年之後
[00:12:53.680 --> 00:12:56.680]  就被亞述國打敗了
[00:12:56.680 --> 00:12:59.680]  幫猶太國解了困
[00:12:59.680 --> 00:13:01.680]  有人說咦
[00:13:01.680 --> 00:13:05.680]  猶太國棄暗投明是對的
[00:13:05.680 --> 00:13:08.680]  他去投靠亞述國
[00:13:08.680 --> 00:13:10.680]  其實不是的
[00:13:10.680 --> 00:13:13.680]  如果他真的跟隨神
[00:13:13.680 --> 00:13:16.680]  一樣是會解困的
[00:13:16.680 --> 00:13:20.680]  但他就不會成為亞述國的附屬國
[00:13:20.680 --> 00:13:22.680]  或者是附庸國
[00:13:22.680 --> 00:13:24.680]  現在他投靠亞述國
[00:13:24.680 --> 00:13:28.680]  變成了亞述國的附庸國和附屬國
[00:13:28.680 --> 00:13:32.680]  我們看到這個兆頭是實現了
[00:13:32.680 --> 00:13:36.680]  其實這個預言是有雙重性質
