
[00:00:00.000 --> 00:00:09.000]  要明白耶穌所講的殺種的比喻,
[00:00:09.000 --> 00:00:18.000]  我們可能先要拿開兩個難阻我們的困難。
[00:00:18.000 --> 00:00:23.000]  第一個困難,當我們讀《馬太福音》十三章,
[00:00:23.000 --> 00:00:28.000]  耶穌講這個比喻,耶穌解釋這個比喻,
[00:00:28.000 --> 00:00:38.000]  中間那一段,我不知道剛才你讀的時候有沒有皺眉頭,
[00:00:38.000 --> 00:00:44.000]  耶穌好像很黑心,故意講一些話令人不明白,
[00:00:44.000 --> 00:00:48.000]  恐怕他們會迴轉,變得意似。
[00:00:48.000 --> 00:00:54.000]  一般我們討論《馬太福音》十三章殺種的比喻,
[00:00:54.000 --> 00:01:00.000]  我們當中間那段聖經是透明的,我們不碰它。
[00:01:00.000 --> 00:01:05.000]  我們講完前面,我們講完後面,中間就側側過了,
[00:01:05.000 --> 00:01:08.000]  卸掉它,當看不到。
[00:01:08.000 --> 00:01:14.000]  其實中間這一段,沒錯,會是一個難阻,
[00:01:14.000 --> 00:01:17.000]  不過亦是一條鎖匙,
[00:01:17.000 --> 00:01:28.000]  是幫助我們可以打開耶穌講比喻的原因和目的。
[00:01:28.000 --> 00:01:35.000]  殺種的比喻三卷福音書都有記載,
[00:01:35.000 --> 00:01:38.000]  《馬太》是最詳細的,十三章,
[00:01:38.000 --> 00:01:41.000]  《馬可福音》是第四章,
[00:01:41.000 --> 00:01:48.000]  耶穌講天國的比喻,在《馬太福音》是第一個,
[00:01:48.000 --> 00:01:55.000]  在《馬可福音》是耶穌講所有的比喻的第一個殺種的比喻。
[00:01:55.000 --> 00:01:59.000]  《路加福音》第八章都有記載,
[00:01:59.000 --> 00:02:02.000]  不過很特別的地方就是,
[00:02:02.000 --> 00:02:14.000]  《馬太》、《馬可福音》在中間的部分的確都有引用耶穌講到為何要用比喻的時候,
[00:02:14.000 --> 00:02:20.000]  就約《以賽亞書》那幾節很難明白的話。
[00:02:20.000 --> 00:02:26.000]  《路加福音》醫生記載耶穌講殺種的比喻,
[00:02:26.000 --> 00:02:31.000]  都有提及門徒走來問耶穌為何講比喻。
[00:02:31.000 --> 00:02:35.000]  耶穌就一句說話回答了門徒,
[00:02:35.000 --> 00:02:44.000]  但《路加》就省略了引用《以賽亞書》的典故。
[00:02:44.000 --> 00:02:49.000]  《路加》是忘記了?不是的。
[00:02:49.000 --> 00:02:54.000]  《路加》醫生寫福音書,他講明提厄菲羅大人,
[00:02:54.000 --> 00:02:56.000]  有很多人寫了耶穌的傳記,
[00:02:56.000 --> 00:02:59.000]  不過我看完之後總覺得味道不太好,
[00:02:59.000 --> 00:03:04.000]  所以我從頭開始做資料搜集,
[00:03:04.000 --> 00:03:12.000]  這樣按著次序將耶穌的生平言行教訓記錄下來。
[00:03:12.000 --> 00:03:15.000]  《路加》是特別小心的一個,
[00:03:15.000 --> 00:03:23.000]  他不可能漏了中間引用《以賽亞書》的這一段說話。
