
[00:00:00.000 --> 00:00:07.200]  今天和大家一起思想經文是全新的一本書卷
[00:00:07.200 --> 00:00:11.760]  是新約聖經的迦拉太書是保羅的書信
[00:00:11.760 --> 00:00:14.400]  今天和大家一起看的一個題目
[00:00:14.400 --> 00:00:18.320]  就是從身份認同漢語神的關係
[00:00:18.320 --> 00:00:22.720]  我們今天會看迦拉太書的第一章的第一和第二節
[00:00:22.720 --> 00:00:27.760]  如果大家都有聖經的話可以打開迦拉太書的第一章
[00:00:27.760 --> 00:00:32.800]  我們一起先看看這兩節的經文是說些什麼
[00:00:32.800 --> 00:00:37.680]  迦拉太書第一章第一到第二節
[00:00:37.680 --> 00:00:42.480]  作詩圖的保羅不是由於人也不是借著人
[00:00:42.480 --> 00:00:45.120]  乃是借著耶穌基督
[00:00:45.120 --> 00:00:48.480]  與叫他從死裡復活的父神
[00:00:48.480 --> 00:00:51.440]  和一切與我同在的眾弟兄
[00:00:51.440 --> 00:00:54.720]  寫信給迦拉太的各教會
[00:00:54.720 --> 00:00:59.440]  最近我們不時聽到一些新聞報導
[00:00:59.440 --> 00:01:04.320]  是講及關於身份認同的題目
[00:01:04.320 --> 00:01:06.720]  例如很多人經常聽到
[00:01:06.720 --> 00:01:10.720]  究竟我們作為一個加拿大人
[00:01:10.720 --> 00:01:14.000]  我們的身份認同有多高呢?
[00:01:14.000 --> 00:01:20.400]  又或者我們對自己認為自己是屬於某一種族裔
[00:01:20.400 --> 00:01:23.200]  我們的認同又有多高呢?
[00:01:23.200 --> 00:01:26.640]  原來在不同的身份認同上面
[00:01:26.640 --> 00:01:29.680]  就會有很不一樣的反應
[00:01:29.680 --> 00:01:32.640]  和有很不一樣的人生發展
[00:01:32.640 --> 00:01:38.800]  甚至可能會衍生出很多不同的甚至激烈的行動
[00:01:38.800 --> 00:01:42.720]  例如最近的一個多月裡我們看到
[00:01:42.720 --> 00:01:45.920]  有不同的一些因為族裔的問題
[00:01:45.920 --> 00:01:48.640]  而產生很多的集體的示威
[00:01:48.640 --> 00:01:53.280]  甚至一些抗爭的活動蔓延在全世界裡
[00:01:53.280 --> 00:01:57.680]  所以身份認同是一個非常重要的題目
[00:01:57.680 --> 00:02:01.040]  也是很值得我們去仔細的思想
[00:02:01.040 --> 00:02:04.400]  其實身份認同不單只是一個
[00:02:04.400 --> 00:02:06.560]  我們在今天生活的上面
[00:02:06.560 --> 00:02:10.080]  或者是生活作為一個公民的上面的認同
[00:02:10.080 --> 00:02:15.200]  而且甚至是在一個屬靈的界別裡
[00:02:15.200 --> 00:02:18.720]  也有一個很重要的影響力
[00:02:18.720 --> 00:02:22.880]  今天我們不會在這裡進行一些什麼政治課題的討論
[00:02:22.880 --> 00:02:27.360]  因為實質上我們要花很多的時間集中去討論一下
[00:02:27.360 --> 00:02:32.160]  究竟我們怎樣作為一個已經聲稱是神國的子民
[00:02:32.160 --> 00:02:36.400]  我們怎樣對我們作為這個神國的子民的身份
[00:02:36.400 --> 00:02:38.400]  有怎樣一樣的認同
[00:02:38.400 --> 00:02:41.520]  或者我們的認同程度有多高呢?
[00:02:41.520 --> 00:02:44.160]  我們需要有更多的時間在這裡討論
[00:02:44.160 --> 00:02:51.200]  所以我們盡量花一些時間在這段聖經裡去思想這個題目
[00:02:51.200 --> 00:02:56.720]  說真的,我們在今天對於上帝作為我們主的神
[00:02:56.720 --> 00:03:00.880]  這個身份或者我們和神
[00:03:00.880 --> 00:03:04.640]  他怎樣的一個在永恆生命上的互動關係
[00:03:04.640 --> 00:03:08.880]  其實是我們很多時候有一些半信半疑
[00:03:08.880 --> 00:03:13.280]  或者是我們會覺得有些地方我們仍然沒有好好掌握
[00:03:13.280 --> 00:03:18.560]  而今天我們所看的仕途保羅在迦太太書記裡面
[00:03:18.560 --> 00:03:23.440]  一開始就將這個這麼重要的身份認同的問題
[00:03:23.440 --> 00:03:25.440]  拋了出來給我們看
[00:03:25.440 --> 00:03:32.400]  我們將會預備將迦太太書接下來分為三十多堂的講道
[00:03:32.400 --> 00:03:35.360]  和大家一起去細心去看一下
[00:03:35.360 --> 00:03:37.920]  保羅在這整卷書裡面
[00:03:37.920 --> 00:03:42.160]  怎樣幫助我們去作一個真是合神心意的子民
