
[00:00:00.000 --> 00:00:14.600]  大象牧師 時間很快 其實是頭尾兩個星期 但第三次來到這裡
[00:00:14.600 --> 00:00:21.180]  今天會多些時間和大家看聖經 上次提過了
[00:00:21.180 --> 00:00:36.060]  題目就是啟示錄的訊息會和大家跑啟示錄22章跑一次 說到底只抽啟示錄的主題出來講是不行的
[00:00:36.060 --> 00:00:47.400]  啟示錄的經文整體都要跑一次 筆記就很簡單 這次的筆記我們只看第八頁的大綱
[00:00:47.400 --> 00:00:56.960]  大綱就是訊息本身的結構在大綱表達出來 但我們當然不會每一項都看大綱
[00:00:56.960 --> 00:01:09.080]  而是我們會在經文裡面 一眼看著大綱 一眼看著經文跑一次來看
[00:01:09.080 --> 00:01:26.960]  我自己就覺得啟示錄本身的難讀其實是表面現象 意思就是說裡面的符號 象徵符號 意象
[00:01:26.960 --> 00:01:38.760]  星星月亮太陽 怪獸 數字 曆法 令我們覺得 再加上是使用舊約的頻率
[00:01:38.760 --> 00:01:47.200]  所以令我們覺得很難讀 不知道他想說什麼 通常我現在來了就現在來
[00:01:47.200 --> 00:01:56.160]  他又不說現在來 騎著馬來 到底是什麼意思呢 馬是什麼呢 到底一回什麼事呢
[00:01:56.160 --> 00:02:06.480]  這些用了象徵符號就令我們覺得他不是直說的 他好像繞個彎用另一個手法表達出來
[00:02:06.480 --> 00:02:23.400]  但是我覺得如果我們能夠透過這些語言 仍然在啟示錄裡面 最主要的到底發生了什麼事
[00:02:23.400 --> 00:02:38.240]  我們上一次讀過啟示錄第一章 發現啟示錄不單止有語言 將必要快成的事透過意象和語言
[00:02:38.240 --> 00:02:54.320]  藉著上帝的使者 曉喻他的眾僕人 不單止是這樣 在第二章說約翰將上帝的道和耶穌基督的見證都見證出來
[00:02:54.320 --> 00:03:05.080]  而且第三章說念者書上語言 聽見又遵守 其中所記載的都有福 聽見又遵守
[00:03:05.080 --> 00:03:19.040]  你會發覺啟示錄不單止是一大堆的意象 而是有教導的 有直述 直接說到底發生了什麼一回事的內容
[00:03:19.040 --> 00:03:29.800]  我們就看那些內容 將整個啟示錄砌成一個故事 而我相信啟示錄本身就是一個故事
[00:03:29.800 --> 00:03:39.480]  我們所謂砌就不需要刻意地堆砌 例如禮橫節曲 咬著咬著 我就不覺得需要這樣
[00:03:39.480 --> 00:03:48.760]  我們讀的時候只要注意某些事情 整體來說故事已經由頭到尾鋪陳出來
[00:03:48.760 --> 00:03:56.920]  而且這個故事 原來啟示錄就是在講這件事 藉著這個故事在講這件事
[00:03:56.920 --> 00:04:09.520]  這個故事我們發現原來是對當時第一世紀末的信徒 亞細亞的七教會和當時的地區教會面對的問題是很合理的
[00:04:09.520 --> 00:04:22.760]  是直接就真是主耶穌的啟示 上帝給他 叫他曉喻 仆人眾先知的
[00:04:22.760 --> 00:04:32.280]  是真是一語中的 主的說話是針對著教會面對的狀況
[00:04:32.280 --> 00:04:42.680]  針對著教會自己信徒的心態 和他們需要知道的東西 他們需要注意的東西而寫成的
[00:04:42.680 --> 00:04:47.560]  最重要我們讀聖經就是能夠make sense out of 聖經
[00:04:47.560 --> 00:04:54.520]  起碼我們說我明白為什麼啟示錄對當時的信徒會make sense
[00:04:54.520 --> 00:05:01.440]  然後我們就問既然對當時的信徒make sense 原因就是這樣
[00:05:01.440 --> 00:05:06.080]  我們就看回頭 今天對我們又make什麼sense呢
[00:05:06.080 --> 00:05:10.760]  對當時的信徒是make什麼sense呢 今天對我們又make什麼sense呢
[00:05:10.760 --> 00:05:22.680]  我們先明白了對當時的信徒make什麼sense 然後再問起21世紀的亞洲的香港現在的情況的信徒又make什麼sense呢
[00:05:22.680 --> 00:05:25.600]  我們先一起祈禱
[00:05:25.600 --> 00:05:32.480]  天父我們感恩你讓我們很快來到一個週末
[00:05:32.480 --> 00:05:37.160]  我們在週末 可能明天也有大型節目要上班的
[00:05:37.160 --> 00:05:42.280]  但我們仍然進入一個週期的結束
[00:05:42.280 --> 00:05:50.320]  能夠有時間有空間在主日的時候或者是禮拜六的時候來到你面前敬拜你
[00:05:50.320 --> 00:05:59.080]  我們也將今晚的時間仰望交託 讓我們下班後 可能還沒吃飯也好 吃了飯也好
[00:05:59.080 --> 00:06:05.680]  能夠一起讀啟示錄的時候 你與我們同在 你也再一次地開啟他們的眼睛
[00:06:05.680 --> 00:06:11.000]  讓我們讀的時候 即使看不到約翰對自己看見的實質的異象
[00:06:11.000 --> 00:06:21.080]  但仍然能夠明白約翰所見到異象的本身的意義 讓我們在這個世代裏面
[00:06:21.080 --> 00:06:28.760]  在這個地方 在我們自己所處的位置當中 能夠成就你在我們心中的旨意
[00:06:28.760 --> 00:06:34.560]  能夠成為你自己是無瑕疵的兒女
[00:06:34.560 --> 00:06:39.520]  求天父今晚與我們同在 奉主命求 誠心所願
[00:06:39.520 --> 00:06:47.520]  好 我們先來看看大綱 因為大綱裏面提到一些特徵
[00:06:47.520 --> 00:06:55.280]  就是我的看法 我對啟示錄的看法和多少研究啟示錄的學者
[00:06:55.280 --> 00:07:03.480]  或者是啟示錄的主色家有些地方不同 所以我先指出我與其他人有什麼不同
[00:07:03.480 --> 00:07:10.000]  然後我才說啟示錄的故事 大家以後可以看啟示錄
[00:07:10.000 --> 00:07:15.440]  或者看其他的主色書 即使中文也有很多有關啟示錄的主色書
[00:07:15.440 --> 00:07:17.720]  你可以做一個對比 你自己看啟示錄的時候
[00:07:17.720 --> 00:07:26.560]  然後看看到底是誰的分析立場比較合理
[00:07:26.560 --> 00:07:31.480]  第八頁 大綱通常是一些很悶的東西
[00:07:31.480 --> 00:07:37.440]  其實我看悉經書也不想看大綱 但你還是要看大綱
[00:07:37.440 --> 00:07:44.720]  因為大綱是用一個很濃縮的方式告訴你作者如何理解卷書
[00:07:44.720 --> 00:07:49.640]  所以每本悉經書作者都會將卷書的大綱先列出來
[00:07:49.640 --> 00:07:54.240]  通常在前頭悼論結束的時候就會將大綱列出來
[00:07:54.240 --> 00:07:58.560]  而大綱其實是在交代他對整本書的認識
[00:07:58.560 --> 00:08:00.600]  這個大綱就是交代我對整本書的認識
[00:08:00.600 --> 00:08:09.080]  首先就是一章一至八節 這個標準的卷手語上款
[00:08:09.080 --> 00:08:15.400]  我們說寫信的上款 就是寫信人、收信人、文安
[00:08:15.400 --> 00:08:20.600]  基督徒的書信 保羅加上祝福的
[00:08:20.600 --> 00:08:25.640]  或者是一個對上帝的重讚 其實保羅很流行的
[00:08:25.640 --> 00:08:31.960]  在以弗所書、古羅西書都會加上對上帝的重讚的上款
[00:08:31.960 --> 00:08:35.280]  除了寫信人、收信人和寫信的目的之外
[00:08:35.280 --> 00:08:40.040]  這是第一章頭 既然是封信有上款
[00:08:40.040 --> 00:08:43.280]  那麼下款就跳到二十二章
[00:08:43.280 --> 00:08:47.880]  最後的兩行 二十二章六至二十節和二十二章二十一節
[00:08:47.880 --> 00:08:51.200]  二十二章二十一節當然就是最後的卷尾語
[00:08:51.200 --> 00:08:53.000]  主人我願你來
[00:08:53.000 --> 00:08:57.960]  但是二十二章六至二十節基本上就是他結束的時候所說的
[00:08:57.960 --> 00:09:01.920]  就是說上面之前我寫的東西都是真的
[00:09:01.920 --> 00:09:08.040]  可以說他不寫這部分都可以 寫得出來當然是真的
[00:09:08.040 --> 00:09:12.560]  難道你寫出來的東西又是存心騙人嗎?
[00:09:12.560 --> 00:09:17.200]  但是他這個很鄭重的說 因為是見證的
[00:09:17.200 --> 00:09:22.880]  這個是他自己見過、經歷過 然後寫成文字
[00:09:22.880 --> 00:09:26.280]  所以這個就是見證人自己的聲明和警告
[00:09:26.280 --> 00:09:31.640]  由於這個是他的見證 就不容許別人加其他東西
[00:09:31.640 --> 00:09:33.600]  或者減其他東西
[00:09:33.600 --> 00:09:37.280]  這個有一點像法庭的見證人一樣
[00:09:37.280 --> 00:09:41.800]  The truth, the whole truth, and nothing but the truth
[00:09:41.800 --> 00:09:49.160]  是真實 是整個真相
