
[00:00:00.000 --> 00:00:03.760]  我現在就在香港的大學 香港的大學
[00:00:03.760 --> 00:00:05.760]  我現在就在香港的大學
[00:00:05.760 --> 00:00:07.760]  我現在就在香港的大學
[00:00:07.760 --> 00:00:09.760]  我現在就在香港的大學
[00:00:09.760 --> 00:00:11.760]  我現在就在香港的大學
[00:00:11.760 --> 00:00:13.760]  我現在就在香港的大學
[00:00:13.760 --> 00:00:15.760]  我現在就在香港的大學
[00:00:15.760 --> 00:00:17.760]  我現在就在香港的大學
[00:00:17.760 --> 00:00:19.760]  我現在就在香港的大學
[00:00:19.760 --> 00:00:21.760]  我現在就在香港的大學
[00:00:21.760 --> 00:00:23.760]  我現在就在香港的大學
[00:00:23.760 --> 00:00:25.760]  我現在就在香港的大學
[00:00:25.760 --> 00:00:27.760]  我現在就在香港的大學
[00:00:27.760 --> 00:00:29.760]  我現在就在香港的大學
[00:00:29.760 --> 00:00:31.760]  但是無論如何
[00:00:31.760 --> 00:00:33.760]  但是無論如何
[00:00:33.760 --> 00:00:35.760]  半小時很值得你聽一下
[00:00:35.760 --> 00:00:37.760]  你怎樣可以找到一個真正的朋友呢
[00:00:37.760 --> 00:00:39.760]  以前我們讀心理學的時候
[00:00:39.760 --> 00:00:41.760]  世界上第一級
[00:00:41.760 --> 00:00:43.760]  教友情叫Sentiment
[00:00:43.760 --> 00:00:45.760]  Sentiment的理論就說
[00:00:45.760 --> 00:00:47.760]  朋友就是一個人價值的總和
[00:00:47.760 --> 00:00:49.760]  朋友就是一個人價值的總和
[00:00:49.760 --> 00:00:51.760]  就叫朋友
[00:00:51.760 --> 00:00:53.760]  譬如我舉個例子 我最好的那五個朋友
[00:00:53.760 --> 00:00:55.760]  有一個就很灰鞋的
[00:00:55.760 --> 00:00:57.760]  有一個就很灰鞋的
[00:00:57.760 --> 00:00:59.760]  他年輕的時候也是穿著灰色的鞋子
[00:00:59.760 --> 00:01:01.760]  他年輕的時候也是穿著灰色的鞋子
[00:01:01.760 --> 00:01:03.760]  是一個很有趣的人
[00:01:03.760 --> 00:01:05.760]  他成功到
[00:01:05.760 --> 00:01:07.760]  香港差不多是第一的牙醫
[00:01:07.760 --> 00:01:09.760]  香港差不多是第一的牙醫
[00:01:09.760 --> 00:01:11.760]  你不預約四個月是看不到他的
[00:01:11.760 --> 00:01:13.760]  因為客人是很喜歡他的
[00:01:13.760 --> 00:01:15.760]  因為客人是很喜歡他的
[00:01:15.760 --> 00:01:17.760]  他也很灰鞋 因為他翻開你的嘴
[00:01:17.760 --> 00:01:19.760]  不停地說話 你就回答不到他
[00:01:19.760 --> 00:01:21.760]  他就演講很開心的
[00:01:21.760 --> 00:01:23.760]  他就演講很開心的
[00:01:23.760 --> 00:01:25.760]  很有趣 我從來沒有光顧他
[00:01:25.760 --> 00:01:27.760]  但是每次和他吃晚飯
[00:01:27.760 --> 00:01:29.760]  都是很開心的
[00:01:29.760 --> 00:01:31.760]  一個很灰鞋的人 這個我第一個好朋友
[00:01:31.760 --> 00:01:33.760]  第二個好朋友就是
[00:01:33.760 --> 00:01:35.760]  一個很思想型的人
[00:01:35.760 --> 00:01:37.760]  他在聯合國
[00:01:37.760 --> 00:01:39.760]  派來香港
[00:01:39.760 --> 00:01:41.760]  負責研究中藥的抗癌的專家
[00:01:41.760 --> 00:01:43.760]  負責研究中藥的抗癌的專家
[00:01:43.760 --> 00:01:45.760]  我小時候認識他的時候
[00:01:45.760 --> 00:01:47.760]  我讀中五 他在大學一年級
[00:01:47.760 --> 00:01:49.760]  他帶我去中大的宿舍
[00:01:49.760 --> 00:01:51.760]  看他讀書
[00:01:51.760 --> 00:01:53.760]  他就坐在蚊帳裏面
[00:01:53.760 --> 00:01:55.760]  打坐在裏面 不動的
[00:01:55.760 --> 00:01:57.760]  到吃午飯的時候
[00:01:57.760 --> 00:01:59.760]  我就問我朋友 是不是死了
[00:01:59.760 --> 00:02:01.760]  就是這麼久沒有動過
[00:02:01.760 --> 00:02:03.760]  在蚊帳裏面打坐
[00:02:03.760 --> 00:02:05.760]  這樣讀書的
[00:02:05.760 --> 00:02:07.760]  一個這麼靜心的人
[00:02:07.760 --> 00:02:09.760]  我永遠都很難忘 後來我有機會再讀
[00:02:09.760 --> 00:02:11.760]  研究院的時候 每一次我
[00:02:11.760 --> 00:02:13.760]  考試很辛苦 我就想起他
[00:02:13.760 --> 00:02:15.760]  上身上身 學他
[00:02:15.760 --> 00:02:17.760]  所以我也有能力
[00:02:17.760 --> 00:02:19.760]  戴著頭不動的 因為我見過
[00:02:19.760 --> 00:02:21.760]  一個這樣的人 所以有時候說
[00:02:21.760 --> 00:02:23.760]  如果一個人好 影響你一生
[00:02:23.760 --> 00:02:25.760]  你模仿得多少
[00:02:25.760 --> 00:02:27.760]  這個是我另一個好朋友 他退休了
[00:02:27.760 --> 00:02:29.760]  第三個好朋友
[00:02:29.760 --> 00:02:31.760]  就是一個傳道人
[00:02:31.760 --> 00:02:33.760]  很值得一想
[00:02:33.760 --> 00:02:35.760]  他為了讀神學 他賣了他
[00:02:35.760 --> 00:02:37.760]  那間西貢的房子
[00:02:37.760 --> 00:02:39.760]  一直這麼多年來
[00:02:39.760 --> 00:02:41.760]  又要照顧兒子
[00:02:41.760 --> 00:02:43.760]  又要養老婆 養外家
[00:02:43.760 --> 00:02:45.760]  但是他從來都不憂慮
[00:02:45.760 --> 00:02:47.760]  他的金錢
[00:02:47.760 --> 00:02:49.760]  最近他轉工
[00:02:49.760 --> 00:02:51.760]  還沒找到工作
[00:02:51.760 --> 00:02:53.760]  就跟我聊天 我很佩服他
[00:02:53.760 --> 00:02:55.760]  他是一個完全不憂慮明天的人
[00:02:55.760 --> 00:02:57.760]  這個是我很喜歡的人
[00:02:57.760 --> 00:02:59.760]  很值得一想 他每一次帶我的同事
[00:02:59.760 --> 00:03:01.760]  去西貢釣魚
[00:03:01.760 --> 00:03:03.760]  他就
[00:03:03.760 --> 00:03:05.760]  帶我們去歷險 我跟他最近
[00:03:05.760 --> 00:03:07.760]  這幾年去過獅子山
[00:03:07.760 --> 00:03:09.760]  上去獅子山最頂的
[00:03:09.760 --> 00:03:11.760]  口的那個位置
[00:03:11.760 --> 00:03:13.760]  他帶我們走
[00:03:13.760 --> 00:03:15.760]  是一個很樂意幫助人的人
[00:03:15.760 --> 00:03:17.760]  這個是我好朋友
[00:03:17.760 --> 00:03:19.760]  他是一個很值得一想的人
[00:03:19.760 --> 00:03:21.760]  剛才說了 很幽默
[00:03:21.760 --> 00:03:23.760]  很有智慧型
[00:03:23.760 --> 00:03:25.760]  很值得一想
[00:03:25.760 --> 00:03:27.760]  還有一個呢 就是一個心理輔導專家
[00:03:27.760 --> 00:03:29.760]  他很厲害
[00:03:29.760 --> 00:03:31.760]  他是我的
[00:03:31.760 --> 00:03:33.760]  下屬來的
[00:03:33.760 --> 00:03:35.760]  後來他就幫我搞了
[00:03:35.760 --> 00:03:37.760]  聯校領袖訓練營 如果這裡的女孩子
[00:03:37.760 --> 00:03:39.760]  讀天主教學校呢
[00:03:39.760 --> 00:03:41.760]  都有機會參加我的營
[00:03:41.760 --> 00:03:43.760]  叫做聯校領袖訓練營
[00:03:43.760 --> 00:03:45.760]  在香港我做了18年了
[00:03:45.760 --> 00:03:47.760]  在Ken Olson的學校
[00:03:47.760 --> 00:03:49.760]  St. Mary's
[00:03:49.760 --> 00:03:51.760]  Sacred Heart
[00:03:51.760 --> 00:03:53.760]  聖方濟各
[00:03:53.760 --> 00:03:55.760]  Holy Family
[00:03:55.760 --> 00:03:57.760]  那些學校
[00:03:57.760 --> 00:03:59.760]  每一次我講talk的時候
[00:03:59.760 --> 00:04:01.760]  我講43句在中大
[00:04:01.760 --> 00:04:03.760]  做了18年
[00:04:03.760 --> 00:04:05.760]  他就負責彈結他
[00:04:05.760 --> 00:04:07.760]  當我沒戲的時候 他就上
[00:04:07.760 --> 00:04:09.760]  我就躲在
[00:04:09.760 --> 00:04:11.760]  那塊板後面喝水
[00:04:11.760 --> 00:04:13.760]  幫了我十幾年
[00:04:13.760 --> 00:04:15.760]  當時的中大
[00:04:15.760 --> 00:04:17.760]  沒有現在那麼現代化的
[00:04:17.760 --> 00:04:19.760]  我講都是這樣講的
[00:04:19.760 --> 00:04:21.760]  沒有咪的
[00:04:21.760 --> 00:04:23.760]  對著一百多人 講四天
[00:04:23.760 --> 00:04:25.760]  沒有咪的
[00:04:25.760 --> 00:04:27.760]  他們全部坐在地上
[00:04:27.760 --> 00:04:29.760]  坐了43天 整盤錄的女孩子都是這樣
