
[00:00:00.000 --> 00:00:07.680]  整個三藩市有85萬人口
[00:00:07.680 --> 00:00:13.560]  最近的統計,85萬人口
[00:00:13.560 --> 00:00:19.200]  Chinatown即是唐人埠,你估下有多少人口
[00:00:19.200 --> 00:00:30.720]  10萬,佔了全三藩市的1%人口
[00:00:30.720 --> 00:00:33.280]  就在這附近
[00:00:33.280 --> 00:00:37.120]  住的密度
[00:00:37.120 --> 00:00:43.760]  三藩市的密度,每一方英里是18128人住
[00:00:43.760 --> 00:00:46.320]  整個三藩市來計
[00:00:46.320 --> 00:00:54.000]  密度每一方英里約18000人
[00:00:54.000 --> 00:00:57.320]  唐人埠的密度是多少
[00:00:57.320 --> 00:01:00.400]  是34089人
[00:01:00.400 --> 00:01:05.520]  比三藩市多一倍
[00:01:05.520 --> 00:01:07.560]  人口的年齡
[00:01:07.560 --> 00:01:11.160]  三藩市屬於年青人口
[00:01:11.160 --> 00:01:13.720]  平均年歲38歲
[00:01:13.720 --> 00:01:18.080]  唐人埠的平均年性,你看周圍就知道了
[00:01:18.080 --> 00:01:22.160]  是多少?你估下
[00:01:22.160 --> 00:01:26.280]  未必那麼厲害,47歲
[00:01:26.280 --> 00:01:30.880]  但在唐人埠住的當中,超過65歲的
[00:01:30.880 --> 00:01:33.680]  有30%的人
[00:01:33.680 --> 00:01:35.240]  即是說
[00:01:35.240 --> 00:01:40.360]  65歲即是當作退休
[00:01:40.360 --> 00:01:46.000]  10個人當中有3個人退休,所以花園角那麼多人
[00:01:46.000 --> 00:01:48.560]  即是說
[00:01:48.560 --> 00:01:50.080]  你看一看
[00:01:50.080 --> 00:01:55.200]  在今日我們教會居住的地方
[00:01:55.200 --> 00:01:58.800]  阿羅幾乎都是
[00:01:58.800 --> 00:02:01.080]  無法無天
[00:02:01.080 --> 00:02:04.440]  無天的意思是每天躲在家裡看不到天
[00:02:04.440 --> 00:02:07.000]  無法意思就像我這樣
[00:02:07.000 --> 00:02:10.120]  所姓無幾,三無
[00:02:10.120 --> 00:02:13.440]  但從另一個角度去看
[00:02:13.440 --> 00:02:19.840]  在65歲以上或在我們教會都是
[00:02:19.840 --> 00:02:23.160]  有兩批金明人士
[00:02:23.160 --> 00:02:24.960]  第一批
[00:02:24.960 --> 00:02:27.800]  就是三隻腳走路
[00:02:27.800 --> 00:02:31.120]  一個拐杖戳一下
[00:02:31.120 --> 00:02:32.640]  另外一批
[00:02:32.640 --> 00:02:34.440]  是生生萬萬的
[00:02:34.440 --> 00:02:37.000]  那些叫剛剛退休人士
[00:02:37.000 --> 00:02:41.400]  唐人埠很多很多這樣的人
[00:02:41.400 --> 00:02:43.640]  整個三藩市
