
[00:00:00.000 --> 00:00:02.000]  慈悲的天父多謝你
[00:00:02.000 --> 00:00:05.000]  讓我們能夠再次打開你的說話
[00:00:05.000 --> 00:00:12.000]  去看、讀、思想並且領受
[00:00:12.000 --> 00:00:16.000]  藉著你愛子耶穌基督在地上的工作
[00:00:16.000 --> 00:00:19.000]  讓我們作出一個怎樣的信徒
[00:00:19.000 --> 00:00:22.000]  花盡多少的心思意念
[00:00:22.000 --> 00:00:25.000]  在此再求聖靈帶領我們
[00:00:26.000 --> 00:00:30.000]  保佑我們同樣蒙受主的教導
[00:00:30.000 --> 00:00:34.000]  在這個時代裏面
[00:00:34.000 --> 00:00:39.000]  作一個真正的信徒
[00:00:39.000 --> 00:00:44.000]  而不是一個虛有其名、掛名的基督徒
[00:00:44.000 --> 00:00:48.000]  求你的幫助、求你的帶領
[00:00:48.000 --> 00:00:50.000]  我們同心同意
[00:00:50.000 --> 00:00:53.000]  奉教主耶穌基督的名字而祈禱
[00:00:53.000 --> 00:00:56.000]  奉教主耶穌基督的名字而祈禱
[00:00:56.000 --> 00:00:57.000]  多謝
[00:00:57.000 --> 00:01:01.000]  世界盃又來了
[00:01:01.000 --> 00:01:04.000]  我查過了
[00:01:04.000 --> 00:01:10.000]  今年從11月21日至12月18日
[00:01:10.000 --> 00:01:15.000]  這個時間會在中東一個地方
[00:01:15.000 --> 00:01:17.000]  叫做卡塔爾舉行
[00:01:17.000 --> 00:01:20.000]  我很喜歡看足球
[00:01:20.000 --> 00:01:22.000]  不知道大家喜不喜歡
[00:01:22.000 --> 00:01:25.000]  什麼球賽、什麼球類
[00:01:25.000 --> 00:01:26.000]  其實我都很有興趣
[00:01:26.000 --> 00:01:28.000]  看足球我特別有興趣
[00:01:28.000 --> 00:01:34.000]  因為尤其是每一次準備整個隊伍進球那一刻
[00:01:34.000 --> 00:01:37.000]  那種興奮的程度
[00:01:37.000 --> 00:01:40.000]  差不多好像自己下場打的感覺一樣
[00:01:40.000 --> 00:01:44.000]  但其中一樣東西看足球比賽
[00:01:44.000 --> 00:01:46.000]  真的特別引人入勝
[00:01:46.000 --> 00:01:50.000]  或者特別讓人感到樂趣無窮的地方
[00:01:50.000 --> 00:01:54.000]  就是每當你看到一個球員
[00:01:54.000 --> 00:01:59.000]  單刀匹馬帶著足球不斷踢
[00:01:59.000 --> 00:02:00.000]  推前的時候
[00:02:00.000 --> 00:02:04.000]  並且面對前面一個空門的情況
[00:02:04.000 --> 00:02:06.000]  竟然去到這一刻
[00:02:06.000 --> 00:02:08.000]  這個球員盡力一踢
[00:02:08.000 --> 00:02:11.000]  一個球就飛上半空
[00:02:11.000 --> 00:02:18.000]  當然對於那些不支持球員的勇敢來算
[00:02:18.000 --> 00:02:20.000]  當然是大快人心
[00:02:20.000 --> 00:02:23.000]  說:好東西啊!又射失了
[00:02:23.000 --> 00:02:26.000]  我記得我年輕的時候
[00:02:26.000 --> 00:02:29.000]  和我爸爸去看賀歲波的時候
[00:02:29.000 --> 00:02:31.000]  就是有這樣的情況
[00:02:31.000 --> 00:02:33.000]  面對空門的球員
[00:02:33.000 --> 00:02:36.000]  面對一個完全沒有人守的龍門
[00:02:36.000 --> 00:02:37.000]  竟然一踢踢出去
[00:02:37.000 --> 00:02:39.000]  哇!大後方啊!
[00:02:39.000 --> 00:02:43.000]  然後全場的觀眾就說
[00:02:43.000 --> 00:02:46.000]  哦!又踢了
[00:02:46.000 --> 00:02:50.000]  但如果射門的人射成這樣的隊伍
[00:02:50.000 --> 00:02:53.000]  是你所支持的球隊的話
[00:02:53.000 --> 00:02:55.000]  在這一刻你就會很失望
[00:02:55.000 --> 00:02:56.000]  很痛惜
