
[00:00:00.000 --> 00:00:04.600]  各位電影節目你們好
[00:00:04.600 --> 00:00:05.900]  各位朋友你們好
[00:00:05.900 --> 00:00:09.400]  歡迎大家參加我們三藩市播道會
[00:00:09.400 --> 00:00:11.000]  網上崇拜
[00:00:11.000 --> 00:00:14.080]  我們一直來思想哈佛屋書的信息
[00:00:14.080 --> 00:00:15.880]  今天去到最後一講
[00:00:15.880 --> 00:00:19.720]  是哈佛屋書第三章三節至十九節
[00:00:19.720 --> 00:00:22.280]  從恐懼到相信
[00:00:22.280 --> 00:00:27.900]  中國人有一句成語叫做非自非苦
[00:00:27.900 --> 00:00:30.700]  這句話是出自《詩經》
[00:00:30.700 --> 00:00:33.200]  匪者非也
[00:00:33.200 --> 00:00:36.000]  自者只是犀牛
[00:00:36.000 --> 00:00:38.000]  這句話的意思
[00:00:38.000 --> 00:00:39.700]  我們又不是犀牛
[00:00:39.700 --> 00:00:41.700]  我們又不是老虎
[00:00:41.700 --> 00:00:44.900]  究竟這個成語是什麼意思呢
[00:00:44.900 --> 00:00:47.200]  原來《詩經》下面還有一句
[00:00:47.200 --> 00:00:49.200]  非自非苦
[00:00:49.200 --> 00:00:50.900]  率皮抗野
[00:00:50.900 --> 00:00:53.400]  意思是我們又不是犀牛
[00:00:53.400 --> 00:00:55.400]  我們又不是老虎
[00:00:55.400 --> 00:00:57.200]  我們都不是野獸
[00:00:57.200 --> 00:01:01.500]  為什麼我們要在這個抗野之中流蕩
[00:01:01.500 --> 00:01:03.200]  居無定所
[00:01:03.200 --> 00:01:05.800]  好像禽獸一樣呢
[00:01:05.800 --> 00:01:08.000]  本來《詩經》是這一句話
[00:01:08.000 --> 00:01:10.100]  形容那些打仗的軍人
[00:01:10.100 --> 00:01:11.700]  離鄉別長
[00:01:11.700 --> 00:01:13.600]  到處遊蕩
[00:01:13.600 --> 00:01:15.700]  好像野獸一樣
[00:01:15.700 --> 00:01:18.000]  非常淒慘
[00:01:18.000 --> 00:01:21.300]  事實上這句話之所以出名
[00:01:21.300 --> 00:01:25.200]  就是因為和孔子一個故事有關
[00:01:25.200 --> 00:01:27.800]  當孔夫子帶領他的弟子
[00:01:27.800 --> 00:01:30.000]  住在塞國的時候
[00:01:30.000 --> 00:01:33.200]  楚超王派人請孔子到楚國
[00:01:33.200 --> 00:01:36.600]  企圖招攬他到楚國當幕僚
[00:01:36.600 --> 00:01:39.600]  那時候楚國是一個大國
[00:01:39.600 --> 00:01:42.400]  塞國和陳國是小國
[00:01:42.400 --> 00:01:45.200]  都是受制於楚國的
[00:01:45.200 --> 00:01:47.400]  這兩個大臣
[00:01:47.400 --> 00:01:50.900]  就知道孔子的思想和治國的理念
[00:01:50.900 --> 00:01:53.000]  和他們很不同
[00:01:53.000 --> 00:01:56.000]  如果孔子得到楚王的重視
[00:01:56.000 --> 00:01:57.800]  對他們是極之不利
[00:01:57.800 --> 00:01:59.900]  於是就派兵將孔子
[00:01:59.900 --> 00:02:02.800]  困在陳塞之間的抗野
[00:02:02.800 --> 00:02:07.100]  他們被困在陳塞的山區
[00:02:07.100 --> 00:02:08.500]  又被困
[00:02:08.500 --> 00:02:09.800]  又走不了
[00:02:09.800 --> 00:02:11.000]  又斷糧
[00:02:11.000 --> 00:02:12.300]  非常肚餓
[00:02:12.300 --> 00:02:14.600]  不少學生因此而病倒
[00:02:14.600 --> 00:02:16.900]  那些學生開始有些怨氣
[00:02:16.900 --> 00:02:18.900]  非常不滿
[00:02:18.900 --> 00:02:21.200]  孔子知道他的弟子的怨氣
[00:02:21.200 --> 00:02:25.200]  於是找了他三個最讚賞的學生
[00:02:25.200 --> 00:02:28.200]  每個人都問他同一個問題
[00:02:28.200 --> 00:02:29.700]  孔子說:施經說:
[00:02:29.700 --> 00:02:31.400]  非治非苦
[00:02:31.400 --> 00:02:33.300]  戍彼抗野
[00:02:33.300 --> 00:02:34.600]  我們又不是野獸
[00:02:34.600 --> 00:02:35.600]  又不是壞人
[00:02:35.600 --> 00:02:37.800]  為什麼好像那些禽獸一般
[00:02:37.800 --> 00:02:40.000]  被困在陳塞呢?
[00:02:40.000 --> 00:02:42.600]  這是不是說明給我們聽
[00:02:42.600 --> 00:02:46.800]  我自己和我的學說出了問題
[00:02:46.800 --> 00:02:50.000]  以至淪落到如此的地步呢?
[00:02:50.000 --> 00:02:52.000]  首先回答他是指路
[00:02:52.000 --> 00:02:54.500]  指路是一個性格率直
[00:02:54.500 --> 00:02:56.200]  有正義感的人
[00:02:56.200 --> 00:02:58.900]  他對孔子說
[00:02:58.900 --> 00:03:01.900]  陳塞大臣這樣對老師
[00:03:01.900 --> 00:03:05.000]  是我覺得憤憤不平
[00:03:05.000 --> 00:03:06.400]  他說:夫子
[00:03:06.400 --> 00:03:09.200]  你不應該受這些待遇
[00:03:09.200 --> 00:03:13.300]  老師你雖然是一個有人意道德的人
[00:03:13.300 --> 00:03:15.200]  但人家就不信你
[00:03:15.200 --> 00:03:17.200]  你雖然是有大智慧
[00:03:17.200 --> 00:03:19.400]  但人家就不用你
[00:03:19.400 --> 00:03:21.200]  你曾經教我們說
[00:03:21.200 --> 00:03:23.600]  為善者天報已福
[00:03:23.600 --> 00:03:26.800]  為不善者天報已禍
[00:03:26.800 --> 00:03:30.200]  老師你是質即得懷疑
[00:03:30.200 --> 00:03:31.900]  應該有好報
[00:03:31.900 --> 00:03:34.000]  我都不知道上天搞什麼
[00:03:34.000 --> 00:03:36.700]  讓你和我們有這樣的待遇
[00:03:36.700 --> 00:03:39.000]  我的氣真是不順了
[00:03:39.000 --> 00:03:41.000]  孔子回答他
[00:03:41.000 --> 00:03:44.000]  為什麼人者一定要受人信任呢?
[00:03:44.000 --> 00:03:46.400]  你看看伯夷、苏齊
[00:03:46.400 --> 00:03:48.000]  他們都是人者
[00:03:48.000 --> 00:03:51.300]  他們豈不是餓死於首陽山?
