
[00:00:00.000 --> 00:00:13.000]  今天和大家一起思想的經文是從加拉太書的第三章第15節至第18節
[00:00:13.000 --> 00:00:17.000]  如果大家弟兄姊妹有聖經的也可以一起打開
[00:00:17.000 --> 00:00:26.000]  今天和大家一起分享的經文的講道題目是約不能改變的本質
[00:00:26.000 --> 00:00:32.000]  讓我們一起再次打開加拉太書第15至18節
[00:00:32.000 --> 00:00:34.000]  讓我們一起打開主的說話
[00:00:34.000 --> 00:00:38.000]  我會先為大家讀出和合本的版本
[00:00:38.000 --> 00:00:43.000]  加拉太書第15至18節
[00:00:43.000 --> 00:00:47.000]  弟兄們,我且照著人的常話說
[00:00:47.000 --> 00:00:52.000]  雖然是人的文約若已經立定了
[00:00:52.000 --> 00:00:56.000]  但我沒有能廢棄或加增的
[00:00:56.000 --> 00:01:01.000]  所應許的原是向阿伯拉罕和他子孫說的
[00:01:01.000 --> 00:01:06.000]  上帝並不是說眾子孫指著許多人
[00:01:06.000 --> 00:01:12.000]  乃是說你那一個子孫指著一個人就是基督
[00:01:12.000 --> 00:01:15.000]  我是這麼說
[00:01:15.000 --> 00:01:22.000]  上帝預先所立的約不能被那430年後的律法廢掉
[00:01:22.000 --> 00:01:25.000]  叫應許歸於去空
[00:01:25.000 --> 00:01:27.000]  因為承受產業
[00:01:27.000 --> 00:01:31.000]  若本乎律法就不本乎應許
[00:01:31.000 --> 00:01:36.000]  但上帝是憑著應許把產業賜給阿伯拉罕
[00:01:36.000 --> 00:01:40.000]  約,covenant,或者testament
[00:01:40.000 --> 00:01:45.000]  這個字在原文聖經叫dea fece
[00:01:45.000 --> 00:01:49.000]  對於基督徒來說應該不是一個很陌生的字眼
[00:01:49.000 --> 00:01:52.000]  因為最起碼每一個基督徒都知道
[00:01:52.000 --> 00:01:59.000]  我們所讀的聖經是由新約和舊約的兩部分而組成的
[00:01:59.000 --> 00:02:02.000]  但是約這個觀念
[00:02:02.000 --> 00:02:05.000]  你不要以為只有基督徒才知道是什麼
[00:02:05.000 --> 00:02:09.000]  其實約在這個不信的世界裡
[00:02:09.000 --> 00:02:12.000]  其實也有很多人都廣為人知的事
[00:02:12.000 --> 00:02:16.000]  只不過在這個約的主題裡
[00:02:16.000 --> 00:02:21.000]  就產生了很多不同類型的約的版本
[00:02:21.000 --> 00:02:26.000]  譬如我們去買房子或者買車的時候
[00:02:26.000 --> 00:02:31.000]  在交易之前我們需要簽一份合約
[00:02:31.000 --> 00:02:36.000]  而這個合約裡就訂明了很多的條件
[00:02:36.000 --> 00:02:40.000]  例如價錢、買什麼車、買什麼房子
[00:02:40.000 --> 00:02:44.000]  另外約也可以有另一種衍生出來的
[00:02:44.000 --> 00:02:47.000]  就是很多人在在生的時候已經做的
[00:02:47.000 --> 00:02:49.000]  稱之為遺囑
[00:02:49.000 --> 00:02:52.000]  很多人在在生的時候已經訂立了遺囑
[00:02:52.000 --> 00:02:57.000]  所以約這個字眼也可以翻譯為testament
[00:02:57.000 --> 00:03:00.000]  講到一個人的最後的遺囑
[00:03:00.000 --> 00:03:03.000]  而遺囑這個字眼
[00:03:03.000 --> 00:03:09.000]  也可以講到一個人最後的定定所有的意願
[00:03:09.000 --> 00:03:13.000]  但是如果當我們問到到底什麼叫做約呢?
[00:03:13.000 --> 00:03:16.000]  我們只看到這些文件
[00:03:16.000 --> 00:03:19.000]  但是約本身的意義
[00:03:19.000 --> 00:03:22.000]  我們好像知道又好像不是太清楚
[00:03:22.000 --> 00:03:25.000]  因為很多人簽了約之後
[00:03:25.000 --> 00:03:29.000]  其實都認為約只不過是一個文件
[00:03:29.000 --> 00:03:33.000]  甚至簽了之後不喜歡的時候
[00:03:33.000 --> 00:03:35.000]  可以將這個約扔掉
[00:03:35.000 --> 00:03:37.000]  甚至稱之為歷史文件
[00:03:37.000 --> 00:03:40.000]  可以不理,視約無睹一樣
[00:03:40.000 --> 00:03:42.000]  甚至有些人簽了約
[00:03:42.000 --> 00:03:45.000]  甚至約是我們推毀的
[00:03:45.000 --> 00:03:46.000]  推翻的
[00:03:46.000 --> 00:03:49.000]  但是如果當我們仔細去看
[00:03:49.000 --> 00:03:52.000]  在希臘文裡面所講到約
[00:03:52.000 --> 00:03:55.000]  而非歧這個字眼
[00:03:55.000 --> 00:04:01.000]  其實是講到一個雙方訂定的約束
[00:04:01.000 --> 00:04:06.000]  原來是對納約雙方的一個約束
[00:04:06.000 --> 00:04:08.000]  而怎樣約束呢?
[00:04:08.000 --> 00:04:12.000]  不是說大家無厘頭找些東西約束自己
[00:04:12.000 --> 00:04:16.000]  而是原來在雙方的一個共識之下
[00:04:16.000 --> 00:04:18.000]  為了大家要達到一個目的
[00:04:18.000 --> 00:04:20.000]  或者有一個決定
[00:04:20.000 --> 00:04:23.000]  而於是乎大家就訂立一個約
[00:04:23.000 --> 00:04:26.000]  是一個目標大家要履行
[00:04:26.000 --> 00:04:29.000]  並且要履行到底
