
[00:00:00.000 --> 00:00:08.320]  不能忘記 只能回味 這是往事
[00:00:08.320 --> 00:00:15.320]  有些事情我們藏在心底 成為不能說的秘密
[00:00:15.320 --> 00:00:19.320]  只要自己知道 這是心事
[00:00:19.320 --> 00:00:23.720]  終有一天我們將我們的往事
[00:00:23.720 --> 00:00:27.320]  將我們的心事說出來
[00:00:27.320 --> 00:00:32.320]  或者寫出來 就成為我們的故事
[00:00:32.320 --> 00:00:36.320]  今天我將一段很特別的經文
[00:00:36.320 --> 00:00:40.320]  包含了很多的往事
[00:00:40.320 --> 00:00:44.320]  也包含了一個人埋在心裡的心事
[00:00:44.320 --> 00:00:47.320]  而透過呼音書寫出來
[00:00:47.320 --> 00:00:52.320]  成為一個很重要的聖經的福音故事
[00:00:52.320 --> 00:00:56.320]  基督相信聖經是神的密士
[00:00:56.320 --> 00:01:00.320]  甚至聖經的編排也有神的旨意
[00:01:00.320 --> 00:01:03.320]  福音書四卷 最後一卷是甚麼?
[00:01:03.320 --> 00:01:05.320]  約翰福音
[00:01:05.320 --> 00:01:09.320]  所以約翰福音是福音書最後一卷書
[00:01:09.320 --> 00:01:13.320]  或者說是福音書的一個總結
[00:01:13.320 --> 00:01:16.320]  根據聖經學者的分析
[00:01:16.320 --> 00:01:19.320]  或者單從這個語意上的分析
[00:01:19.320 --> 00:01:24.320]  約翰福音應該是寫到20章就寫完了
[00:01:24.320 --> 00:01:29.320]  你看看20章的最後一節是怎樣說的?
[00:01:29.320 --> 00:01:34.320]  但記者這是叫你們信耶穌是甚麼是高督
[00:01:34.320 --> 00:01:37.320]  這個語氣是一個總結語
[00:01:37.320 --> 00:01:42.320]  我記得的東西就是叫你們要知道耶穌是誰...
[00:01:42.320 --> 00:01:49.320]  所以約翰21章應該是約翰最後加上去
[00:01:49.320 --> 00:01:52.320]  但作為福音書的總結
[00:01:52.320 --> 00:01:57.320]  最後加上去的一張書一定是非常非常重要
[00:01:57.320 --> 00:01:59.320]  或者可以這樣說
[00:01:59.320 --> 00:02:03.320]  如果沒有了約翰21章的記載
[00:02:03.320 --> 00:02:09.320]  聖經福音的故事可能要改寫
[00:02:09.320 --> 00:02:13.320]  教會的故事都可能要改寫
[00:02:13.320 --> 00:02:17.320]  因為當中有一個很重要的人物叫彼得
[00:02:17.320 --> 00:02:19.320]  彼得有沒有這麼重要呢?
[00:02:19.320 --> 00:02:21.320]  耶穌很看重彼得
[00:02:21.320 --> 00:02:25.320]  跟彼得說:你就是教會的盆石
[00:02:25.320 --> 00:02:29.320]  如果沒有了約翰21章
[00:02:29.320 --> 00:02:34.320]  這個盆石將會石沉大海
[00:02:34.320 --> 00:02:40.320]  因為當時彼得已經是意志消沉
[00:02:40.320 --> 00:02:46.320]  所以我們看約翰21章其實有三個很重要的信息
[00:02:46.320 --> 00:02:50.320]  今天我只能夠說一個半
[00:02:50.320 --> 00:02:52.320]  因為一說第一個
[00:02:52.320 --> 00:02:55.320]  那個認主的過程已經是很詳細
[00:02:55.320 --> 00:02:58.320]  但認主的過程是怎樣呢?
[00:02:58.320 --> 00:03:02.320]  是要勾起他們的往事
[00:03:02.320 --> 00:03:04.320]  似乎將歷史重演
[00:03:04.320 --> 00:03:09.320]  就似乎將三年前耶穌怎樣呼喚那些打魚佬
[00:03:09.320 --> 00:03:11.320]  整個歷史重演
[00:03:11.320 --> 00:03:16.320]  為甚麼呢? 要勾起他們的往事
[00:03:16.320 --> 00:03:18.320]  勾起的往事
[00:03:18.320 --> 00:03:24.320]  大部分就是15到17就說愛主
[00:03:24.320 --> 00:03:26.320]  認主愛主
[00:03:26.320 --> 00:03:30.320]  而18到23就跟從主
[00:03:30.320 --> 00:03:32.320]  跟從主
[00:03:32.320 --> 00:03:35.320]  很特別 你熟悉聖經就知道
[00:03:35.320 --> 00:03:38.320]  他們是否曾經很堅決
[00:03:38.320 --> 00:03:42.320]  拋下了漁船去跟從主呢?
[00:03:42.320 --> 00:03:44.320]  是否記得那句很經典的
[00:03:44.320 --> 00:03:46.320]  耶穌所說的來跟從我
[00:03:46.320 --> 00:03:49.320]  我叫得人如得魚一樣
[00:03:49.320 --> 00:03:52.320]  於是他們毅然放下了他們的漁船
[00:03:52.320 --> 00:03:54.320]  跟隨耶穌
[00:03:54.320 --> 00:03:57.320]  這些畫像不是很久以前
[00:03:57.320 --> 00:03:59.320]  是三年前的事
[00:03:59.320 --> 00:04:03.320]  為甚麼三年之後發覺歷史重演呢?
[00:04:03.320 --> 00:04:11.320]  因為就跟耶穌在十字架上的寫生取義說起
[00:04:11.320 --> 00:04:18.320]  所以當時整個城市陷於白色恐怖當中
[00:04:18.320 --> 00:04:23.320]  所有人都有一種樹倒湖酸散的感覺
[00:04:23.320 --> 00:04:26.320]  而這幾個跟隨耶穌的打魚佬去哪裏呢?
[00:04:26.320 --> 00:04:31.320]  從操故業回到打魚
[00:04:31.320 --> 00:04:36.320]  耶穌就在海邊再次向他們顯現
[00:04:36.320 --> 00:04:39.320]  如果我們看這段認主的過程
[00:04:39.320 --> 00:04:42.320]  就可以看到一個很特別的情況
[00:04:42.320 --> 00:04:48.320]  這情況是耶穌和彼得的深情對話
[00:04:48.320 --> 00:04:53.320]  深情對話就要勾起彼得的往事
[00:04:53.320 --> 00:05:00.320]  要將彼得埋藏在心裏的那種愧疚、恐懼、失落
[00:05:00.320 --> 00:05:04.320]  消沉的意思是要再次填點
[00:05:04.320 --> 00:05:08.320]  於是因為有了深視往事的交織
[00:05:08.320 --> 00:05:13.320]  於是福音的故事就可以延續下去
[00:05:13.320 --> 00:05:18.320]  在這個過程當中耶穌是重覆問了三個問題
[00:05:18.320 --> 00:05:20.320]  重覆問的
[00:05:20.320 --> 00:05:24.320]  有些人說:很像很沉悶
[00:05:24.320 --> 00:05:27.320]  耶穌說的很簡單直接
[00:05:27.320 --> 00:05:31.320]  耶穌和彼得之間的師徒關係是最密切的
[00:05:31.320 --> 00:05:37.320]  在十二頁師徒當中彼得和約翰是最了解耶穌的
[00:05:37.320 --> 00:05:39.320]  為何要問三次呢?
[00:05:39.320 --> 00:05:41.320]  第一句就問:他們吃了早飯
[00:05:41.320 --> 00:05:43.320]  早飯是誰準備的?
[00:05:43.320 --> 00:05:44.320]  耶穌是他準備的
[00:05:44.320 --> 00:05:48.320]  耶穌對西門彼得說:
[00:05:48.320 --> 00:05:50.320]  約翰的兒子西門
[00:05:50.320 --> 00:05:56.320]  你愛我比這些更甚麼?
[00:05:56.320 --> 00:05:58.320]  甚麼是這些呢?
[00:05:58.320 --> 00:06:00.320]  如果大家從小教會長大
[00:06:00.320 --> 00:06:04.320]  我相信許牧師也說過這段經文
[00:06:04.320 --> 00:06:07.320]  我聽過不同的教學同工也說過這段經文
[00:06:07.320 --> 00:06:10.320]  十個八角的講題一樣
[00:06:10.320 --> 00:06:14.320]  你愛我比這些更甚麼?
[00:06:14.320 --> 00:06:16.320]  是對信徒的一個挑戰
[00:06:16.320 --> 00:06:17.320]  很大的挑戰
[00:06:17.320 --> 00:06:18.320]  傳道人
[00:06:18.320 --> 00:06:21.320]  你愛我比這些更甚麼?
[00:06:21.320 --> 00:06:24.320]  我們很不了解甚麼是這些呢?
[00:06:24.320 --> 00:06:26.320]  很抽象的
[00:06:26.320 --> 00:06:28.320]  其實有三個解釋
[00:06:28.320 --> 00:06:30.320]  第一個
[00:06:30.320 --> 00:06:32.320]  眼前的事物
[00:06:32.320 --> 00:06:34.320]  包括甚麼?
[00:06:34.320 --> 00:06:36.320]  那些食物
[00:06:36.320 --> 00:06:40.320]  耶穌為他們準備的有魚有餅
[00:06:40.320 --> 00:06:43.320]  還有他們的生財工具
[00:06:43.320 --> 00:06:48.320]  賴以為生最有把握的就是那些漁船漁具
[00:06:48.320 --> 00:06:50.320]  途遇今天的情況
[00:06:50.320 --> 00:06:52.320]  可能就是你的資產
[00:06:52.320 --> 00:06:55.320]  你的本業的技能
[00:06:55.320 --> 00:07:01.320]  即是那些令你可以生活的世界上的東西
[00:07:01.320 --> 00:07:05.320]  你愛我比你所擁有的世界更甚
[00:07:05.320 --> 00:07:07.320]  這是海底的解釋
[00:07:07.320 --> 00:07:09.320]  第二個解釋就是
[00:07:09.320 --> 00:07:12.320]  你愛我比我愛你這班兄弟更甚
[00:07:12.320 --> 00:07:15.320]  這班兄弟很重要的
[00:07:15.320 --> 00:07:17.320]  出生入死的那班兄弟
[00:07:17.320 --> 00:07:20.320]  當然有些是真正的親兄弟
[00:07:20.320 --> 00:07:24.320]  你愛我比你愛這些人更甚
[00:07:24.320 --> 00:07:26.320]  第三個解釋
[00:07:26.320 --> 00:07:31.320]  你愛我比這些人愛我更甚
[00:07:31.320 --> 00:07:33.320]  可以有三重解釋
[00:07:33.320 --> 00:07:39.320]  所以這是挑起很多的往事
[00:07:39.320 --> 00:07:41.320]  彼得有些惡言
[00:07:41.320 --> 00:07:43.320]  他很自然地回答了
[00:07:43.320 --> 00:07:46.320]  你知道我愛你
[00:07:46.320 --> 00:07:47.320]  他第一個問題
[00:07:47.320 --> 00:07:49.320]  他不知道還有兩個問題
[00:07:49.320 --> 00:07:51.320]  你知道我愛你
[00:07:51.320 --> 00:07:52.320]  你太了解我了
[00:07:52.320 --> 00:07:54.320]  你知道我愛你
[00:07:54.320 --> 00:07:56.320]  但耶穌沒有和他爭論
[00:07:56.320 --> 00:07:58.320]  沒有和他爭論
[00:07:58.320 --> 00:08:00.320]  即是說你用熱帶管
[00:08:00.320 --> 00:08:05.320]  你去餵養我的羊
[00:08:05.320 --> 00:08:07.320]  接著問第二個問題
