
[00:00:00.000 --> 00:00:06.000]  你看到上次的題目是講拘謹
[00:00:06.000 --> 00:00:12.000]  今次的題目是講冷淡或冷漠
[00:00:12.000 --> 00:00:16.000]  而下一次就更嚴重
[00:00:16.000 --> 00:00:18.000]  是講迴避
[00:00:18.000 --> 00:00:21.000]  迴避即是他不只對你冷淡
[00:00:21.000 --> 00:00:23.000]  見到你在那裏他便會離開
[00:00:23.000 --> 00:00:26.000]  最後那次是記仇
[00:00:26.000 --> 00:00:31.000]  你去到哪裏他都會記住你做得不好的事
[00:00:31.000 --> 00:00:36.000]  其實我有意將這四個題目分成四個級數
[00:00:36.000 --> 00:00:38.000]  越來越難搞
[00:00:38.000 --> 00:00:42.000]  所以今天難搞過上星期的情況
[00:00:42.000 --> 00:00:43.000]  上星期是拘謹
[00:00:43.000 --> 00:00:45.000]  你覺得他人固執
[00:00:45.000 --> 00:00:46.000]  有沒有得救呢
[00:00:46.000 --> 00:00:48.000]  關係好像不動一樣
[00:00:48.000 --> 00:00:49.000]  但今天講到冷漠
[00:00:49.000 --> 00:00:51.000]  直接給你看他的樣子
[00:00:51.000 --> 00:00:53.000]  令你很難受
[00:00:53.000 --> 00:00:57.000]  上次離開後有個朋友跟我說
[00:00:57.000 --> 00:01:00.000]  他回家練習老婆罵的時候
[00:01:00.000 --> 00:01:03.000]  他就說我知道你很愛我
[00:01:03.000 --> 00:01:05.000]  他覺得很好
[00:01:05.000 --> 00:01:08.000]  你教了我這個方法
[00:01:08.000 --> 00:01:13.000]  其實他的老婆聽完之後怎樣我就不知道
[00:01:13.000 --> 00:01:16.000]  我只知道他自己改變了
[00:01:16.000 --> 00:01:19.000]  因為他聽別人罵他
[00:01:19.000 --> 00:01:21.000]  聽成別人愛他
[00:01:21.000 --> 00:01:23.000]  他當成這樣的時候
[00:01:23.000 --> 00:01:27.000]  他首先當老婆跟他很好
[00:01:27.000 --> 00:01:31.000]  自然影響到他對老婆的態度不同了
[00:01:31.000 --> 00:01:34.000]  因為通常被人罵完之後都是討厭他
[00:01:34.000 --> 00:01:38.000]  想馬上想想拿他厲害一點的罵他
[00:01:38.000 --> 00:01:42.000]  你忘記了反攻
[00:01:42.000 --> 00:01:44.000]  還覺得他是自己人
[00:01:44.000 --> 00:01:45.000]  就不同了
[00:01:45.000 --> 00:01:46.000]  今天難了
[00:01:46.000 --> 00:01:49.000]  為何有些人這麼容易冷漠
[00:01:49.000 --> 00:01:51.000]  我今天講完之後
[00:01:51.000 --> 00:01:54.000]  再過一星期我就去三藩市
[00:01:54.000 --> 00:01:56.000]  很多時候去三藩市
[00:01:56.000 --> 00:01:58.000]  很多華人都說
[00:01:58.000 --> 00:02:00.000]  他來了美國之後
[00:02:00.000 --> 00:02:03.000]  一家人各有各的興趣
[00:02:03.000 --> 00:02:06.000]  子女一定不和父母玩
[00:02:06.000 --> 00:02:09.000]  太太就找太太團
[00:02:09.000 --> 00:02:11.000]  老公就上班
[00:02:11.000 --> 00:02:13.000]  我記得有個家庭接待過我
[00:02:13.000 --> 00:02:17.000]  他說全靠招呼我在那裏住
[00:02:17.000 --> 00:02:19.000]  他們13年去了美國
[00:02:19.000 --> 00:02:23.000]  第一次兩夫妻吃早餐
[00:02:23.000 --> 00:02:25.000]  13年
[00:02:25.000 --> 00:02:28.000]  原因是他做飲食業
[00:02:28.000 --> 00:02:31.000]  早上4點左右就開車上班
[00:02:31.000 --> 00:02:33.000]  太太就在睡覺
[00:02:33.000 --> 00:02:38.000]  原來捱到年初一還上班
[00:02:38.000 --> 00:02:43.000]  我都未知道原來我們兩夫妻一起吃早餐
[00:02:43.000 --> 00:02:46.000]  可以這麼開心
[00:02:46.000 --> 00:02:48.000]  所以我們幸福
[00:02:48.000 --> 00:02:50.000]  剛才你都吃了全包宴
[00:02:50.000 --> 00:02:52.000]  希望你日後多點來這裏
[00:02:52.000 --> 00:02:55.000]  這個早餐會值得搞下去
[00:02:55.000 --> 00:02:57.000]  冷漠是甚麼呢
[00:02:57.000 --> 00:02:58.000]  冷漠有四個表現
[00:02:58.000 --> 00:03:00.000]  一個表現在太太一個表現在丈夫
[00:03:00.000 --> 00:03:03.000]  有時講講研究報告
[00:03:03.000 --> 00:03:05.000]  你都數數手指
[00:03:05.000 --> 00:03:07.000]  我有多少宗呢
[00:03:07.000 --> 00:03:09.000]  第一宗的冷漠
[00:03:09.000 --> 00:03:14.000]  就是同親的丈夫離開香港
[00:03:14.000 --> 00:03:16.000]  假設去了公幹
[00:03:16.000 --> 00:03:19.000]  回大陸或東南亞
[00:03:19.000 --> 00:03:24.000]  太太再想起丈夫
[00:03:24.000 --> 00:03:27.000]  就會出冷漠的反應
[00:03:27.000 --> 00:03:32.000]  經常想著他不見我還開心
[00:03:32.000 --> 00:03:34.000]  所以跟著會說
[00:03:34.000 --> 00:03:38.000]  我看我和他都不是很合得來
[00:03:38.000 --> 00:03:42.000]  否則他沒理由找工作有這麼遠去做
[00:03:42.000 --> 00:03:44.000]  事實上這件事是錯的
[00:03:44.000 --> 00:03:49.000]  當時她鼓勵丈夫在事業發展
[00:03:49.000 --> 00:03:52.000]  開始看多些闊的世界
[00:03:52.000 --> 00:03:54.000]  可能有很多發展
[00:03:54.000 --> 00:03:56.000]  但跟著就不是這樣說
[00:03:56.000 --> 00:03:57.000]  跟著她想起
[00:03:57.000 --> 00:04:02.000]  其實他離開是否喜歡工作比我更多呢
[00:04:02.000 --> 00:04:03.000]  最後就是
[00:04:03.000 --> 00:04:05.000]  根本上她不想見我
[00:04:05.000 --> 00:04:07.000]  所以她去這麼久
[00:04:07.000 --> 00:04:09.000]  情緒突然間
[00:04:09.000 --> 00:04:11.000]  本來沒甚麼
[00:04:11.000 --> 00:04:14.000]  想起他我都很灰心
[00:04:14.000 --> 00:04:16.000]  第二個原因就是
[00:04:16.000 --> 00:04:18.000]  當太太懷孕的時候
[00:04:18.000 --> 00:04:20.000]  是出現冷漠的
[00:04:20.000 --> 00:04:23.000]  她可能會發現到
[00:04:23.000 --> 00:04:30.000]  有一天丈夫喜歡的孩子比她多
[00:04:30.000 --> 00:04:32.000]  這個害怕是很自然的
[00:04:32.000 --> 00:04:33.000]  很正常的
[00:04:33.000 --> 00:04:37.000]  但很容易就發現自己不重要
[00:04:37.000 --> 00:04:40.000]  於是如果聽到
[00:04:40.000 --> 00:04:43.000]  太太和丈夫很開心
[00:04:43.000 --> 00:04:45.000]  見到自己生了一個十元小孩
[00:04:45.000 --> 00:04:47.000]  就覺得自己被人佔便宜
[00:04:47.000 --> 00:04:49.000]  利用了我生的小孩
[00:04:49.000 --> 00:04:52.000]  其實他們這家人都不喜歡我
[00:04:52.000 --> 00:04:54.000]  所以今晚很重要
[00:04:54.000 --> 00:04:58.000]  母親節是丈夫悔改的意思
[00:04:58.000 --> 00:05:00.000]  希望你吃得開心一點
[00:05:00.000 --> 00:05:01.000]  第三個冷漠就是
[00:05:01.000 --> 00:05:06.000]  當太太發現自己像有癌症
