
[00:00:00.000 --> 00:00:02.000]  各位領事會平安
[00:00:02.000 --> 00:00:06.000]  大家知道九月份是教會的猜傳月
[00:00:06.000 --> 00:00:11.000]  我們很想彼此面臨一起關心宣教猜傳的事情
[00:00:11.000 --> 00:00:15.000]  大家知道在我們自己的教會北宣家
[00:00:15.000 --> 00:00:19.000]  開始的時候是一群宣教士幫助我們
[00:00:19.000 --> 00:00:22.000]  讓教會能夠建立起來
[00:00:22.000 --> 00:00:26.000]  正因為有人願意離開他們的國家
[00:00:26.000 --> 00:00:28.000]  來到中國、來到香港
[00:00:28.000 --> 00:00:32.000]  今天你和我才會領受福音的好處
[00:00:32.000 --> 00:00:35.000]  所以很多時候想回這些歷史的時候
[00:00:35.000 --> 00:00:39.000]  我們就清楚知道我們應當延續
[00:00:39.000 --> 00:00:42.000]  正比我們宣教的負擔
[00:00:42.000 --> 00:00:46.000]  在香港很多時候你發覺能夠聽到福音的事
[00:00:46.000 --> 00:00:49.000]  買到一本聖經是非常容易的
[00:00:49.000 --> 00:00:53.000]  但你會留意到在這個世界有很多很多的人
[00:00:53.000 --> 00:00:56.000]  他們真的沒有機會去聽到福音
[00:00:56.000 --> 00:01:01.000]  他們真的沒有機會去聽到耶穌這個名字
[00:01:01.000 --> 00:01:04.000]  我在今天的《木屆心聲》特別提及
[00:01:04.000 --> 00:01:07.000]  有一些人甚至一聽到耶穌的時候
[00:01:07.000 --> 00:01:09.000]  以為是一個地方來的
[00:01:09.000 --> 00:01:12.000]  如果說我們愛神
[00:01:12.000 --> 00:01:16.000]  我們必然會關心神所關心的事情
[00:01:16.000 --> 00:01:18.000]  去貼近他的心
[00:01:18.000 --> 00:01:21.000]  因為他的心是在猜傳的事上面
[00:01:21.000 --> 00:01:23.000]  所以在這個月份
[00:01:23.000 --> 00:01:26.000]  不單是教會每一年都這樣做
[00:01:26.000 --> 00:01:31.000]  而是我們真的需要去更加留心神對我們的心意
[00:01:31.000 --> 00:01:35.000]  也靠著神在前線、在後方
[00:01:35.000 --> 00:01:37.000]  按著神給我們的感動
[00:01:37.000 --> 00:01:40.000]  一起來參與投身在猜傳的事上面
[00:01:40.000 --> 00:01:43.000]  所以請弟兄姊妹祈禱
[00:01:43.000 --> 00:01:46.000]  星期五、星期六是猜傳的陪靈會
[00:01:46.000 --> 00:01:48.000]  你回來一起在神的面前
[00:01:48.000 --> 00:01:50.000]  等候他給我們的引導
[00:01:50.000 --> 00:01:55.000]  也知道如何更好在宣教的事上面服侍著
[00:01:55.000 --> 00:01:58.000]  我們今天再思想回到前書的經文
[00:01:58.000 --> 00:02:00.000]  我們大家再一次重新討論
[00:02:00.000 --> 00:02:02.000]  再讓望著
[00:02:02.000 --> 00:02:04.000]  主,我們感謝你
[00:02:04.000 --> 00:02:07.000]  私恩的上帝
[00:02:07.000 --> 00:02:11.000]  你插起你的愛子耶穌基督來到我們中間
[00:02:11.000 --> 00:02:13.000]  因此我們深刻知道
[00:02:13.000 --> 00:02:17.000]  你不會留下任務的好處不似給我們
[00:02:17.000 --> 00:02:21.000]  主,當你接受父親的猜遣的時候
[00:02:21.000 --> 00:02:23.000]  來到我們中間你又吩咐我們
[00:02:23.000 --> 00:02:25.000]  你說父親如何猜遣你
[00:02:25.000 --> 00:02:27.000]  你都照樣猜遣我們
[00:02:27.000 --> 00:02:31.000]  主,我們今天在世上蒙恩得救
[00:02:31.000 --> 00:02:33.000]  領受你給我們生命的保守
[00:02:33.000 --> 00:02:36.000]  主,但是你何等的盼望
[00:02:36.000 --> 00:02:39.000]  我們能夠接受你給我們的猜遣
