
[00:00:00.000 --> 00:00:06.320]  大家好 今天跟大家讀的經文是C篇56篇
[00:00:06.320 --> 00:00:10.080]  有聖經的我們可以打開
[00:00:10.080 --> 00:00:11.840]  C篇56篇
[00:00:11.840 --> 00:00:15.280]  這篇是大衛的詩篇 有標題的
[00:00:15.280 --> 00:00:19.200]  標題就是「菲律賓人在迦特捉住了大衛」
[00:00:19.200 --> 00:00:23.840]  「那時候他就作了這首金詩《交與靈長》」
[00:00:23.840 --> 00:00:26.640]  調子是用遠方無聲格
[00:00:26.640 --> 00:00:28.640]  請聽我讀出
[00:00:28.640 --> 00:00:35.600]  「神下求你憐憫我,因為人要把我吞了,終日攻擊欺壓我。」
[00:00:35.600 --> 00:00:40.960]  「我的仇敵終日要把我吞了,恩請驕傲攻擊我的人甚多。」
[00:00:40.960 --> 00:00:49.440]  「我懼怕的時候要倚靠你,我倚靠上帝,我要讚美他的話,我倚靠上帝必不懼怕。」
[00:00:49.440 --> 00:00:52.320]  「血氣之輩能把我怎麼樣呢?」
[00:00:52.320 --> 00:00:57.920]  「他們終日顛倒我的話,他們一切的心思都是要害我。」
[00:00:57.920 --> 00:01:03.680]  「他們聚集埋伏窺探我的腳中,要等候害我的命。」
[00:01:03.680 --> 00:01:07.120]  「他們豈能因罪孽逃脫呢?」
[00:01:07.120 --> 00:01:13.280]  「神下求你在路中使萬民墮落,我幾次流離你都記數。」
[00:01:13.280 --> 00:01:19.440]  「求你把我眼淚裝在你的皮袋裡,這不都記在你冊子上嗎?」
[00:01:19.440 --> 00:01:24.000]  「我呼求的日子,我的仇敵都要轉身退後。」
[00:01:24.000 --> 00:01:27.680]  「上帝幫助我,這是我所知道的。」
[00:01:27.680 --> 00:01:34.240]  「我倚靠上帝,我要讚美他的話,我倚靠耶和華,我要讚美他的話。」
[00:01:34.240 --> 00:01:39.520]  「我倚靠上帝必不懼怕,人能把我怎麼樣呢?」
[00:01:39.520 --> 00:01:46.640]  「上帝呀,我向你所許的願在我身上,我要將感謝祭獻給你。」
[00:01:46.640 --> 00:01:51.440]  「因為你救我的命脫離死亡,你豈不是救護我的腳不跌倒。」
[00:01:51.440 --> 00:01:55.920]  「使我在生命光中,行在上帝面前嗎?」
[00:01:55.920 --> 00:01:57.920]  「我們一起祈禱。」
[00:01:57.920 --> 00:02:06.400]  天父上帝我們知道在我們的生命當中,
[00:02:06.400 --> 00:02:12.000]  由我們小時候成長到我們成年人,到將來的進入,
[00:02:12.000 --> 00:02:15.200]  是中年、老年,你都是我們的上帝,
[00:02:15.200 --> 00:02:20.320]  是經歷不同的階段的挑戰,
[00:02:20.320 --> 00:02:22.320]  我們小時候要學很多東西,
[00:02:22.320 --> 00:02:27.440]  是不懂事,要接觸很多,要累積經驗,要吃很多虧,
[00:02:27.440 --> 00:02:31.600]  也接受過很多人的幫助、拖帶,
[00:02:31.600 --> 00:02:35.920]  面對很多不同的挑戰的時候,
[00:02:35.920 --> 00:02:40.480]  我們嘗試去克服,嘗試去勝任。
[00:02:40.480 --> 00:02:46.640]  來到這個階段,我們深信你仍然要帶我們前行,
[00:02:46.640 --> 00:02:53.040]  在我們的生命當中,我們行在你的面光當中,
[00:02:53.040 --> 00:02:55.440]  行在你的眼目的面前,
[00:02:55.440 --> 00:02:57.440]  你與我們同在,
[00:02:57.440 --> 00:03:00.480]  你叫我們行在活人的道路上,
[00:03:00.480 --> 00:03:03.760]  不偏離你自己話語的左右。
[00:03:03.760 --> 00:03:07.760]  我們今天來到你面前敬拜你的時候,
[00:03:07.760 --> 00:03:11.360]  就向你重申一次,
[00:03:11.360 --> 00:03:14.960]  我們說你是我們的上帝,
[00:03:14.960 --> 00:03:19.120]  正因為你是我們的上帝,我們必不懼怕。
[00:03:19.120 --> 00:03:21.760]  正因為你是上帝,你是我們的上帝,
[00:03:21.760 --> 00:03:26.240]  我們前面的道路就有盼望。
[00:03:26.240 --> 00:03:27.600]  求天父誰聽,
[00:03:27.600 --> 00:03:29.600]  願納我們在你面前敬拜,
[00:03:29.600 --> 00:03:31.600]  奉救主耶穌基督名求。
[00:03:31.600 --> 00:03:33.600]  阿們。
[00:03:33.600 --> 00:03:41.200]  題目就是「你怕,我還怕」,
[00:03:41.200 --> 00:03:46.080]  「我還怕」後面應該有個感嘆號的。
[00:03:46.080 --> 00:03:53.120]  我不知道大家在你的有生之年,
[00:03:53.120 --> 00:03:57.040]  過去,早期第一堂比較年輕,
[00:03:57.040 --> 00:04:00.320]  第二堂可能是年長一點,
[00:04:00.320 --> 00:04:04.320]  在過去的十多年,二十多年,三十多年當中,
[00:04:04.320 --> 00:04:07.360]  在你記憶當中,
[00:04:07.360 --> 00:04:12.160]  有什麼事情,有什麼階段,有什麼日子,
[00:04:12.160 --> 00:04:14.160]  你發覺回想起來,
[00:04:14.160 --> 00:04:16.720]  你還是怕,你不想想,
[00:04:16.720 --> 00:04:19.200]  或者不想面對那段日子,
[00:04:19.200 --> 00:04:21.840]  最好在你記憶中抹掉那段,
[00:04:21.840 --> 00:04:23.840]  可能你也抹掉了,
[00:04:23.840 --> 00:04:25.840]  因為我們心理學家告訴我們,
[00:04:25.840 --> 00:04:27.840]  往往過去的傷痕,
[00:04:27.840 --> 00:04:29.840]  對我們有創傷,
[00:04:29.840 --> 00:04:31.840]  對我們生命有影響,
[00:04:31.840 --> 00:04:33.840]  但是記憶找不回,
[00:04:33.840 --> 00:04:36.640]  很多時候我們想記,記不回,
[00:04:36.640 --> 00:04:38.640]  我們把它壓抑了,
[00:04:38.640 --> 00:04:40.640]  壓抑了,
