
[00:00:00.000 --> 00:00:09.360]  請教第四講猶太到希臘文化中的基督論
[00:00:09.360 --> 00:00:19.840]  今天我們會從歷史神學的角度去看聖經的基督論
[00:00:19.840 --> 00:00:21.600]  特別是新約的基督論
[00:00:21.600 --> 00:00:26.160]  這個題目好像很熟悉
[00:00:26.160 --> 00:00:28.800]  但我想你可能還沒這樣想過
[00:00:28.800 --> 00:00:31.680]  不一定保證你覺得很新鮮
[00:00:31.680 --> 00:00:33.920]  但我相信是好的
[00:00:33.920 --> 00:00:36.320]  因為我們在舊恩論中花時間講聖經
[00:00:36.320 --> 00:00:38.480]  基督論一定要花時間講聖經
[00:00:38.480 --> 00:00:44.160]  然後才進入到哲學性和我們直接關顧的問題
[00:00:44.160 --> 00:00:46.160]  否則我們講完基督論
[00:00:46.160 --> 00:00:48.960]  聖經裏面怎樣講我們都沒講過
[00:00:48.960 --> 00:00:52.080]  我相信就不負責任了
[00:00:52.080 --> 00:00:54.560]  但另一方面大家很熟悉
[00:00:54.560 --> 00:00:56.560]  聖經裏面怎樣講耶穌
[00:00:56.560 --> 00:00:59.440]  我就想了一個特別的方法
[00:00:59.440 --> 00:01:02.960]  從歷史神學的角度去看聖經
[00:01:02.960 --> 00:01:06.480]  聖經裏面也有時間和地理文化背景的轉變
[00:01:06.480 --> 00:01:10.800]  我看到聖經裏面也有歷史神學
[00:01:10.800 --> 00:01:13.440]  所以今天同時講聖經神學
[00:01:13.440 --> 00:01:14.800]  也講歷史神學
[00:01:14.800 --> 00:01:18.080]  這是我系統神學裏面的起始點
[00:01:18.080 --> 00:01:20.880]  這是我今天嘗試去做的
[00:01:20.880 --> 00:01:24.880]  希望帶給大家不同的角度去看一些你很熟悉的東西
[00:01:24.880 --> 00:01:26.880]  例如《楊仁方案》第一章
[00:01:26.880 --> 00:01:28.240]  大家都很熟悉的
[00:01:28.240 --> 00:01:31.600]  但我可能你沒有從這樣的角度去了解過
[00:01:31.600 --> 00:01:32.880]  《楊仁方案》第一章也不一定
[00:01:32.880 --> 00:01:34.880]  我一起先祈禱開始
[00:01:34.880 --> 00:01:36.880]  主耶穌我們感謝祢
[00:01:36.880 --> 00:01:40.880]  我們承認祢自己所帶來的救恩
[00:01:40.880 --> 00:01:42.880]  甚至祢自己的道成肉身
[00:01:42.880 --> 00:01:46.880]  仍然存留在我們的理智上很多不能了解的地方
[00:01:46.880 --> 00:01:48.880]  主我們承認我們有限
[00:01:48.880 --> 00:01:50.880]  我們承認我們的不足
[00:01:50.880 --> 00:01:52.880]  神啊其實我們已經需要感謝祢
[00:01:52.880 --> 00:01:54.880]  因為我們活在這個二十世紀的時代
[00:01:54.880 --> 00:01:58.880]  我們有過去差不多近二千年這麼多聰明的人
[00:01:58.880 --> 00:02:00.880]  去努力耕耘已經留給我們很多的基礎
[00:02:00.880 --> 00:02:02.880]  今天我們去了解祢
[00:02:02.880 --> 00:02:04.880]  了解真理的時候容易很多
[00:02:04.880 --> 00:02:06.880]  我們感謝祢
[00:02:06.880 --> 00:02:08.880]  求主讓我們仍然存有一個謙卑的心
[00:02:08.880 --> 00:02:10.880]  知道有一些關於你自己的真理和奧秘
[00:02:10.880 --> 00:02:14.880]  是人類永遠都不能了解的
[00:02:14.880 --> 00:02:16.880]  讓我們的心在你面前
[00:02:16.880 --> 00:02:18.880]  印象我們所不能了解的
[00:02:18.880 --> 00:02:20.880]  所產生的感覺和反應
