
[00:00:00.000 --> 00:00:02.840]  因為我看著那段聖經
[00:00:02.840 --> 00:00:05.340]  說到第二章第三章的時候
[00:00:05.340 --> 00:00:07.080]  雖然我不會慢慢讀
[00:00:07.080 --> 00:00:08.840]  但你也有少許印象
[00:00:08.840 --> 00:00:12.580]  究竟那個聖經有些什麼內容在裡面
[00:00:12.580 --> 00:00:14.340]  撒加利亞書不難找的
[00:00:14.340 --> 00:00:16.680]  就是舊約差不多最後那裡
[00:00:16.680 --> 00:00:19.480]  舊約最後那裡
[00:00:19.480 --> 00:00:20.880]  因為撒加利亞書有很多章
[00:00:20.880 --> 00:00:22.880]  所以中間一揭的時候
[00:00:22.880 --> 00:00:24.280]  就不會很快揭過
[00:00:24.280 --> 00:00:25.480]  有些只有兩章
[00:00:25.480 --> 00:00:26.880]  一下就過了你找不到
[00:00:26.880 --> 00:00:30.080]  撒加利亞書是尾二那一卷聖經
[00:00:30.080 --> 00:00:31.280]  在舊約裡面
[00:00:31.280 --> 00:00:33.480]  最後那個就是馬拉基書
[00:00:33.480 --> 00:00:34.680]  之前就是撒加利亞書
[00:00:34.680 --> 00:00:35.280]  找到了嗎?
[00:00:35.280 --> 00:00:37.880]  好,我們大家一起打開撒加利亞書第一章
[00:00:37.880 --> 00:00:41.680]  我們試一下做少許研究的功課
[00:00:41.680 --> 00:00:46.280]  然後我們才看看這些說話
[00:00:46.280 --> 00:00:47.480]  對於今天你和我
[00:00:47.480 --> 00:00:50.280]  尤其是2014年我們每一個人的靈明
[00:00:50.280 --> 00:00:51.880]  有些什麼意思
[00:00:51.880 --> 00:00:55.080]  好,我們開始了
[00:00:55.080 --> 00:00:59.080]  我們在1月的時候已經和大家說過
[00:00:59.080 --> 00:01:02.080]  撒加利亞書第一個的意象
[00:01:02.080 --> 00:01:03.680]  那你說我上一次沒有來
[00:01:03.680 --> 00:01:04.880]  或者我今天才新來
[00:01:04.880 --> 00:01:05.880]  不要緊
[00:01:05.880 --> 00:01:07.080]  不一定需要
[00:01:07.080 --> 00:01:08.880]  我會交代少許
[00:01:08.880 --> 00:01:10.880]  然後我們才繼續說下去
[00:01:10.880 --> 00:01:12.080]  所以你不要擔心
[00:01:12.080 --> 00:01:13.680]  如果你聽過的
[00:01:13.680 --> 00:01:15.480]  你就會更加深刻印象了
[00:01:15.480 --> 00:01:18.880]  好,你看到我畫了一個圖給大家
[00:01:18.880 --> 00:01:19.280]  看到嗎?
[00:01:19.280 --> 00:01:22.080]  那個大綱裡面就是這個圖
[00:01:22.080 --> 00:01:23.680]  畫得不是很漂亮
[00:01:23.680 --> 00:01:24.880]  不過不要緊
[00:01:24.880 --> 00:01:27.080]  夠用就可以了
[00:01:27.080 --> 00:01:32.080]  你看到這八個的意象
[00:01:32.080 --> 00:01:34.280]  就有一個對稱性的
[00:01:34.280 --> 00:01:38.680]  1,2,3,4,5就是最核心的
[00:01:38.680 --> 00:01:40.480]  有6,7,8
[00:01:40.480 --> 00:01:44.280]  所以我將它畫成一個U形
[00:01:44.280 --> 00:01:46.280]  一個對稱的U形
[00:01:46.280 --> 00:01:51.880]  第一和第二個就比較短一點的
[00:01:51.880 --> 00:01:53.480]  第一章裡面有兩個
[00:01:53.480 --> 00:01:56.280]  第三個意象我括著二字
[00:01:56.280 --> 00:01:57.480]  就是第二章整章
[00:01:57.480 --> 00:01:59.080]  我懶得寫第幾節到第幾節
[00:01:59.080 --> 00:02:00.080]  大家明白了嗎?
