
[00:00:00.000 --> 00:00:04.000]  我們今早一齊研究《士大恆傳》第十六章
[00:00:04.000 --> 00:00:07.500]  我們一齊打開聖經新約《士大恆傳》第十六章
[00:00:07.500 --> 00:00:10.000]  就是剛才我們所讀的那段聖經
[00:00:10.000 --> 00:00:14.000]  如果是唐用的聖經是新約的148頁
[00:00:14.000 --> 00:00:19.500]  148頁我們一齊今早研究《士大恆傳》第十六章
[00:00:19.500 --> 00:00:23.500]  《士大恆傳》第十六章
[00:00:25.500 --> 00:00:31.500]  今天我們會用兩個角度焦點來了解這段聖經
[00:00:31.500 --> 00:00:36.500]  首先我們要看看究竟神的計劃奇妙
[00:00:36.500 --> 00:00:40.500]  和他怎樣出人意表的部署
[00:00:40.500 --> 00:00:42.500]  成就了人想都沒想過
[00:00:42.500 --> 00:00:46.500]  包括保羅自己都沒想過更大的事
[00:00:46.500 --> 00:00:48.500]  另外當然我們要看看人
[00:00:48.500 --> 00:00:49.500]  好像保羅一樣
[00:00:49.500 --> 00:00:53.500]  怎樣去配合神這個奇妙的計劃
[00:00:53.500 --> 00:00:56.500]  以至這個奇妙的計劃可以完成
[00:00:56.500 --> 00:00:59.500]  這個就是我們今天看這段聖經的焦點
[00:00:59.500 --> 00:01:02.500]  我們剛才讀了那兩段的聖經
[00:01:02.500 --> 00:01:05.500]  記載了兩個人的信主歸信
[00:01:05.500 --> 00:01:08.500]  一個就是被鬼附的一個女人
[00:01:08.500 --> 00:01:10.500]  那個巫術的女人
[00:01:10.500 --> 00:01:16.500]  保羅將她心裏的鬼驅了出來
[00:01:16.500 --> 00:01:18.500]  然後她就歸信主了
[00:01:18.500 --> 00:01:22.500]  第二個就是在監獄裏面的玉卒
[00:01:22.500 --> 00:01:25.500]  因為保羅的傳道
[00:01:25.500 --> 00:01:28.500]  後來她全家都得救
[00:01:28.500 --> 00:01:30.500]  這個是記載了兩件事
[00:01:30.500 --> 00:01:33.500]  其實在同一個城市
[00:01:33.500 --> 00:01:36.500]  聖經記載了三個人信主
[00:01:36.500 --> 00:01:38.500]  就是三個信主的經歷
[00:01:38.500 --> 00:01:41.500]  就是這個女人之前還有一個
[00:01:41.500 --> 00:01:44.500]  所以打開聖經你就會看到了
[00:01:44.500 --> 00:01:46.500]  今天不只是讀這兩段的
[00:01:46.500 --> 00:01:49.500]  之前的由第13至15節那裏
[00:01:49.500 --> 00:01:51.500]  記載了另外一個女人
[00:01:51.500 --> 00:01:54.500]  就叫做女底亞的Lydia
[00:01:54.500 --> 00:01:57.500]  Lydia就很多姐妹都叫Lydia
[00:01:57.500 --> 00:01:59.500]  女底亞信主
[00:01:59.500 --> 00:02:03.500]  所以這三個就是我們今天要研究的
[00:02:03.500 --> 00:02:07.500]  三個人都同屬一個的城市裏面
[00:02:07.500 --> 00:02:09.500]  保羅帶他們信主
[00:02:09.500 --> 00:02:13.500]  而這個城市就叫做菲律比了
[00:02:13.500 --> 00:02:14.500]  你看看第12節
[00:02:14.500 --> 00:02:16.500]  是菲律比這個城
[00:02:16.500 --> 00:02:17.500]  這個城有什麼特別呢
