
[00:00:00.000 --> 00:00:09.400]  鄭重早晨 剛才讀的尤大書是很嚴厲的
[00:00:09.400 --> 00:00:15.240]  提到有人偷偷地收教會
[00:00:15.240 --> 00:00:18.080]  不承認耶穌基督是神
[00:00:18.080 --> 00:00:26.120]  並且有隨從私慾 信從逆性情慾
[00:00:26.120 --> 00:00:29.240]  即同性戀等等
[00:00:29.240 --> 00:00:31.240]  原來當時已經有
[00:00:31.240 --> 00:00:34.360]  當時羅馬和希臘都很流行
[00:00:34.360 --> 00:00:36.240]  聖經這麼嚴厲
[00:00:36.240 --> 00:00:41.200]  就是為我這次講道作為引子
[00:00:41.200 --> 00:00:43.200]  這篇道是很沉重的
[00:00:43.200 --> 00:00:47.600]  名存實亡的教會 撒迪
[00:00:47.600 --> 00:00:49.200]  要我講這篇道的時候
[00:00:49.200 --> 00:00:50.800]  我預備的時候
[00:00:50.800 --> 00:00:55.400]  究竟上帝跟我們說什麼呢?
[00:00:55.400 --> 00:01:03.240]  「聖經中的教會使者說:哪有神的七靈和七個星的這樣說?
[00:01:03.240 --> 00:01:08.200]  我知道你的行為就是名義上你是活的
[00:01:08.200 --> 00:01:10.200]  實際上你是死的
[00:01:10.200 --> 00:01:15.000]  你要警醒 堅固那些剩下快要死的
[00:01:15.000 --> 00:01:21.200]  因為我發現你的行為在我神面前沒有一樣是完全的
[00:01:21.200 --> 00:01:25.200]  所以要記得你所領受和聽見的
[00:01:25.200 --> 00:01:28.200]  要遵守並要悔改
[00:01:28.200 --> 00:01:32.200]  你要不警醒 我必如賊一樣來到
[00:01:32.200 --> 00:01:36.200]  何時來到你那裡 你絕不會知道
[00:01:36.200 --> 00:01:43.200]  然而在撒迪你還有幾位是未曾污穢自己衣服的
[00:01:43.200 --> 00:01:46.200]  他們會穿白衣與我同行
[00:01:46.200 --> 00:01:49.200]  因為他們是陪穿的
[00:01:49.200 --> 00:01:52.200]  得聖的必這樣穿白衣
[00:01:52.200 --> 00:01:56.200]  我也不從生命冊上逃去他的微
[00:01:56.200 --> 00:02:03.200]  我要在我父面前和我父的重視者面前宣認他的微
[00:02:03.200 --> 00:02:09.200]  凡有耳朵的都應當聽聖靈向宗教會所說的話」
[00:02:09.200 --> 00:02:13.200]  一個教會被稱為名存實亡
[00:02:13.200 --> 00:02:15.200]  在行為上沒有一樣是完美
[00:02:15.200 --> 00:02:17.200]  哇!真的很可怕
[00:02:17.200 --> 00:02:22.200]  我前幾天去了中國做一個培訓工作
[00:02:22.200 --> 00:02:28.200]  發現那邊的教會與聖經所說的剛剛相反
[00:02:28.200 --> 00:02:34.200]  坐了五個小時高鐵再加上一小時的車輛接送
[00:02:34.200 --> 00:02:42.200]  去到那個地方有四十多個全職的牧者和工
[00:02:42.200 --> 00:02:45.200]  不過大部分是女性的牧者
[00:02:45.200 --> 00:02:48.200]  三十個是女性 十多個是男性
[00:02:48.200 --> 00:02:52.200]  所以國內的姐妹都很厲害
[00:02:52.200 --> 00:02:57.200]  做了培訓工作後問我
[00:02:57.200 --> 00:03:01.200]  為何找這麼老的人進去呢?
[00:03:01.200 --> 00:03:05.200]  他說因為他們讀了神學沒有機會再進修
[00:03:05.200 --> 00:03:08.200]  他們很勤力地去侍奉
[00:03:08.200 --> 00:03:13.200]  很希望有機會成長一些新的東西
[00:03:13.200 --> 00:03:16.200]  有些讀了三年神學 有些讀了四年
[00:03:16.200 --> 00:03:18.200]  畢業後都沒有機會進修
[00:03:18.200 --> 00:03:21.200]  在教會裏面一直做
[00:03:21.200 --> 00:03:24.200]  其實那個教會有很多人
[00:03:24.200 --> 00:03:27.200]  有二千多人的教會 很大
[00:03:27.200 --> 00:03:31.200]  兩堂崇拜 一堂千多人
[00:03:31.200 --> 00:03:36.200]  兩個全職的牧者和工
[00:03:36.200 --> 00:03:37.200]  其他全部是義工
[00:03:37.200 --> 00:03:41.200]  很辛苦 很忙 很辛苦
[00:03:41.200 --> 00:03:43.200]  其他同工都差不多了
[00:03:43.200 --> 00:03:49.200]  各區的監教會 他們都很辛苦
[00:03:49.200 --> 00:03:53.200]  在進修的時候很重視聖經
[00:03:53.200 --> 00:03:57.200]  很追求 看到他們
[00:03:57.200 --> 00:04:02.200]  我就說其實你可以訓練自己同工
[00:04:02.200 --> 00:04:04.200]  出去讀完書回來
[00:04:04.200 --> 00:04:08.200]  在神聖院做一些培訓
[00:04:08.200 --> 00:04:12.200]  早期他們都派了人出去讀書
[00:04:12.200 --> 00:04:15.200]  去美國或是新加坡
[00:04:15.200 --> 00:04:18.200]  但很可惜現實就是
[00:04:18.200 --> 00:04:21.200]  通常出了讀書的人都不回來
[00:04:21.200 --> 00:04:24.200]  我都不再問了
[00:04:24.200 --> 00:04:26.200]  如果神用得著的話
[00:04:26.200 --> 00:04:30.200]  我有能力 我都願意繼續幫他
[00:04:30.200 --> 00:04:32.200]  所以很快 我已經答應了
[00:04:32.200 --> 00:04:35.200]  明年這個時候再去一次
[00:04:35.200 --> 00:04:39.200]  明年主未回來 我又未死的話
[00:04:39.200 --> 00:04:43.200]  教會怎樣中心
[00:04:43.200 --> 00:04:47.200]  我記得一幅很奇怪的圖畫
[00:04:47.200 --> 00:04:54.200]  裡面不准十八歲以下的人進入宗教
[00:04:54.200 --> 00:04:55.200]  是不准的
[00:04:55.200 --> 00:04:58.200]  但我問為何教會要上這麼多年輕人呢
[00:04:58.200 --> 00:05:00.200]  活動上這麼多年輕人
[00:05:00.200 --> 00:05:04.200]  他說他們很關心少年
[00:05:04.200 --> 00:05:07.200]  所以他們在不違法的情況下
[00:05:07.200 --> 00:05:11.200]  提供活動給青少年人
[00:05:11.200 --> 00:05:17.200]  打球 籃球 網球等等
[00:05:17.200 --> 00:05:22.200]  還有音樂會給青年學生去玩
[00:05:22.200 --> 00:05:27.200]  但不准講聖經 也不准講道
[00:05:27.200 --> 00:05:29.200]  沒有任何東西
[00:05:29.200 --> 00:05:31.200]  不過在玩的過程中
[00:05:31.200 --> 00:05:33.200]  有很多宗教的元素
[00:05:33.200 --> 00:05:35.200]  例如他們幫我們唱歌
[00:05:35.200 --> 00:05:39.200]  音樂會裡有聖詩
[00:05:39.200 --> 00:05:42.200]  聖詩和普通的
[00:05:42.200 --> 00:05:46.200]  如果你不懂得分辨
[00:05:46.200 --> 00:05:48.200]  覺得歌曲都好聽的
[00:05:48.200 --> 00:05:51.200]  在活動裡 他們看到教會很關心他們
[00:05:51.200 --> 00:05:53.200]  到他們十八歲了
[00:05:53.200 --> 00:05:58.200]  他們對教會很好地反教會 反崇拜
[00:05:58.200 --> 00:06:01.200]  很多人 我覺得他們真的很用心
[00:06:01.200 --> 00:06:03.200]  當他們看到的時候
[00:06:03.200 --> 00:06:05.200]  覺得我們教會也很好
[00:06:05.200 --> 00:06:07.200]  我們教會也有方崇拜
[00:06:07.200 --> 00:06:10.200]  有社區 各種工作
[00:06:10.200 --> 00:06:13.200]  就是這樣 因為教會有神一道
[00:06:13.200 --> 00:06:15.200]  他們願意去見證
[00:06:15.200 --> 00:06:20.200]  用各種方法來講傳福音
[00:06:20.200 --> 00:06:22.200]  所以教會很興旺
[00:06:22.200 --> 00:06:25.200]  全國這麼多省裡
[00:06:25.200 --> 00:06:28.200]  這個省是基督徒最多的
[00:06:28.200 --> 00:06:32.200]  另一方面 當我預備到這裏的時候
[00:06:32.200 --> 00:06:35.200]  我發現原來在世界另一方面
[00:06:35.200 --> 00:06:38.200]  有些教會離開了神的道
[00:06:38.200 --> 00:06:39.200]  是很可惜的
[00:06:39.200 --> 00:06:41.200]  神給了很多恩典 很多福氣
[00:06:41.200 --> 00:06:43.200]  但離開了神的道
[00:06:43.200 --> 00:06:45.200]  所以我準備到這裏講的時候
[00:06:45.200 --> 00:06:47.200]  其實是很難過的
[00:06:47.200 --> 00:06:49.200]  名存實亡
[00:06:49.200 --> 00:06:51.200]  撒迪是一個什麼地方呢?
[00:06:51.200 --> 00:06:53.200]  你看地圖
[00:06:53.200 --> 00:06:54.200]  前面說過了
[00:06:54.200 --> 00:06:57.200]  以弗所 善美那 別加摩 推拉
[00:06:57.200 --> 00:06:59.200]  四個教會我講過了
[00:06:59.200 --> 00:07:00.200]  今天不重複
[00:07:00.200 --> 00:07:02.200]  第五個教會就是撒迪
[00:07:02.200 --> 00:07:04.200]  每個教會都不同
[00:07:04.200 --> 00:07:08.200]  撒迪就在一個高山上
[00:07:08.200 --> 00:07:11.200]  一個山上 三面都是懸崖峭壁
[00:07:11.200 --> 00:07:13.200]  你沒有辦法攻進去
[00:07:13.200 --> 00:07:16.200]  所以是一個很重要的軍事要寨
[00:07:16.200 --> 00:07:18.200]  它掌握了整個平原
[00:07:18.200 --> 00:07:20.200]  所以地位是很重要的
[00:07:20.200 --> 00:07:23.200]  而這個城市
[00:07:23.200 --> 00:07:26.200]  耶穌基督說要警醒
[00:07:26.200 --> 00:07:28.200]  因為這個城市不警醒
[00:07:28.200 --> 00:07:32.200]  曾經有兩次被滅亡
[00:07:32.200 --> 00:07:34.200]  其實在主前七世紀
[00:07:34.200 --> 00:07:38.200]  他們透過野金貴重金屬
[00:07:38.200 --> 00:07:41.200]  很有錢 很有勢力
[00:07:41.200 --> 00:07:45.200]  曾經有個希臘智者探訪說
[00:07:45.200 --> 00:07:49.200]  你不要以為這個城是固若金湯
[00:07:49.200 --> 00:07:52.200]  你一定要好好把守住
[00:07:52.200 --> 00:07:54.200]  否則一樣會滅亡
