
[00:00:00.000 --> 00:00:09.000]  各位姐妹早晨 今天繼續和大家思想十誡
[00:00:09.000 --> 00:00:13.000]  因為時間關係我今天只講兩誡
[00:00:13.000 --> 00:00:20.000]  第六誡不可殺人 第七誡不可姦淫
[00:00:20.000 --> 00:00:28.000]  不可殺人 大家對這誡其實是很認識的
[00:00:28.000 --> 00:00:32.000]  在馬丁路德的小問答裏面有句說話很有意思
[00:00:32.000 --> 00:00:37.000]  我們要敬畏上帝 愛上帝 不應該傷害我們鄰舍的身體
[00:00:37.000 --> 00:00:44.000]  相反我們應該在他生活上有需要的時候愛他們和善待他們
[00:00:44.000 --> 00:00:49.000]  這裏其實是有消極和積極的意義
[00:00:49.000 --> 00:00:53.000]  十誡不可殺人是一個消極的意義
[00:00:53.000 --> 00:00:59.000]  路德提出來不單止是消極還有積極
[00:00:59.000 --> 00:01:03.000]  即是不單止不傷害人還幫助人
[00:01:03.000 --> 00:01:10.000]  我們看回聖經 聖經裏面提到不可殺人
[00:01:10.000 --> 00:01:16.000]  這個殺字很奇怪 是希伯來文才有的
[00:01:16.000 --> 00:01:21.000]  在近東地方這個字是找不到的
[00:01:21.000 --> 00:01:27.000]  不是說不殺人 而是十誡用這個殺字
[00:01:27.000 --> 00:01:32.000]  在原文的意思 即希伯來文是有上帝的意思
[00:01:32.000 --> 00:01:35.000]  在上帝設定的界限裏面
[00:01:35.000 --> 00:01:39.000]  在上帝設定的界限之外是不可以奪取人的性命
[00:01:39.000 --> 00:01:46.000]  不是說隨意殺一個人 原來是上帝創造人
[00:01:46.000 --> 00:01:55.000]  人是受上帝的保護 是不能夠超越上帝的權柄去奪取人的性命
[00:01:55.000 --> 00:02:01.000]  所以這個不可殺人就有了神聖的意義
[00:02:01.000 --> 00:02:08.000]  這個不可殺人的神聖意義在舊約裏面就將它擴充
[00:02:08.000 --> 00:02:13.000]  殺人有兩種 一種是有預謀
[00:02:13.000 --> 00:02:17.000]  例如我們用一些器皿去殺害人
[00:02:17.000 --> 00:02:22.000]  在摩西五經裏面就提到所謂故意殺人
[00:02:22.000 --> 00:02:28.000]  這種就是人是按照上帝的形象 殺人就是不尊重上帝
[00:02:28.000 --> 00:02:31.000]  所以回到上帝所創造人
[00:02:31.000 --> 00:02:36.000]  人不可以奪去上帝的權柄 要將人的生命奪去
[00:02:36.000 --> 00:02:39.000]  這個是不尊重上帝的
[00:02:39.000 --> 00:02:44.000]  另外一個就是過失殺人 就是無心之失
[00:02:44.000 --> 00:02:50.000]  所以聖經裏面就提到你是故意的藐視上帝去殺人
[00:02:50.000 --> 00:02:55.000]  但第二種就是你無心之失
[00:02:55.000 --> 00:02:59.000]  無心之失聖經裏面是特別保護這些人
[00:02:59.000 --> 00:03:02.000]  他不是不尊敬上帝 他敬愛上帝
[00:03:02.000 --> 00:03:06.000]  不過因為他無心之失 所以他殺害了人
[00:03:06.000 --> 00:03:10.000]  在約瑟雅記就有一個很詳細的記載
[00:03:10.000 --> 00:03:15.000]  我按個要義讀 在約瑟雅記裏面就提到
[00:03:15.000 --> 00:03:18.000]  他要吩咐以色列人要設立屠城
