
[00:00:00.000 --> 00:00:02.000]  各位節目的觀眾朋友 大家午安
[00:00:02.000 --> 00:00:08.000]  今天大家是用一天的時間來研讀《尼加書》
[00:00:08.000 --> 00:00:12.000]  《尼加書》在我過去一年的靈修裏面
[00:00:12.000 --> 00:00:17.000]  我和我太太都一起看了很多的靈修
[00:00:17.000 --> 00:00:20.000]  在當中我和大家分享的時候
[00:00:20.000 --> 00:00:24.000]  我感動到很想將我的靈修
[00:00:24.000 --> 00:00:28.000]  和大家分享 剛好去年
[00:00:28.000 --> 00:00:34.000]  印度基督協會Andrew弟兄給我電郵
[00:00:34.000 --> 00:00:36.000]  剛好那個時候我又感動
[00:00:36.000 --> 00:00:40.000]  可不可以給我一個機會
[00:00:40.000 --> 00:00:43.000]  第一次 東亞第一次講話在這邊
[00:00:43.000 --> 00:00:47.000]  來將我的靈修和大家一起分享
[00:00:47.000 --> 00:00:54.000]  這本書很寶貴的 經文很長
[00:00:54.000 --> 00:00:56.000]  不過在你的搜查上
[00:00:56.000 --> 00:00:59.000]  我將三段的經文給了你們
[00:00:59.000 --> 00:01:02.000]  所以不要緊 你回去看
[00:01:02.000 --> 00:01:06.000]  三段經文裏面有不同的重點
[00:01:06.000 --> 00:01:10.000]  第一段經文你會看到的國家公義重臣
[00:01:10.000 --> 00:01:12.000]  第一段經文最主要就是
[00:01:12.000 --> 00:01:18.000]  尼加是向當時的以色列和猶大
[00:01:18.000 --> 00:01:22.000]  發出上帝對他的審判
[00:01:22.000 --> 00:01:27.000]  和要求這個國家重新返回上帝的道上
[00:01:27.000 --> 00:01:30.000]  這段經文很長 所以你回去看的時候
[00:01:30.000 --> 00:01:31.000]  你將重點放在這裏
[00:01:31.000 --> 00:01:34.000]  就是一章二節到二章十三節
[00:01:34.000 --> 00:01:37.000]  然後第二個就是另一章
[00:01:37.000 --> 00:01:41.000]  尼加書三章一節到五章十五節
[00:01:41.000 --> 00:01:45.000]  主要就提到當時的先知濟斯
[00:01:45.000 --> 00:01:50.000]  這些國家的領袖 政治的領袖
[00:01:50.000 --> 00:01:54.000]  宗教的領袖 上帝是向他們發出呼聲
[00:01:54.000 --> 00:01:58.000]  要聽神的話 重回上帝的道
[00:01:58.000 --> 00:02:01.000]  而第三段的經文裏面
[00:02:01.000 --> 00:02:04.000]  尼加書是講到這個國家的領袖
[00:02:04.000 --> 00:02:08.000]  而第三段的經文尼加書裏面
[00:02:08.000 --> 00:02:11.000]  就是個人公義重擒
[00:02:11.000 --> 00:02:14.000]  你會看到由六章一節到七章七節
[00:02:14.000 --> 00:02:18.000]  重點就回到個人那裏
[00:02:18.000 --> 00:02:23.000]  所以尼加書三部份有三個不同的重點
[00:02:23.000 --> 00:02:27.000]  由國家到當時的領袖
[00:02:27.000 --> 00:02:31.000]  然後到最後就回到以色列人的個人
[00:02:31.000 --> 00:02:36.000]  而三段的經文你發現都有共同的開始
[00:02:36.000 --> 00:02:40.000]  例如在你的手冊第六頁
[00:02:40.000 --> 00:02:44.000]  一開始你會看到萬民你們都聽
[00:02:44.000 --> 00:02:48.000]  要聽地和其上所有則以而聽
[00:02:48.000 --> 00:02:52.000]  這裏就是作為第一篇信息的開始
[00:02:52.000 --> 00:02:57.000]  第二篇的信息就在第九頁
[00:02:57.000 --> 00:03:01.000]  領袖公義重擒
[00:03:01.000 --> 00:03:03.000]  尼加書三章第一節
[00:03:03.000 --> 00:03:07.000]  我説雅各的首領以色列的官長你們要聽
[00:03:07.000 --> 00:03:11.000]  所以第二段的經文的對象就是這個領袖
[00:03:11.000 --> 00:03:16.000]  要聽 聽就貫穿了尼加書整章
[00:03:16.000 --> 00:03:19.000]  到最後就是第六章
[00:03:19.000 --> 00:03:23.000]  在你的手冊十三頁 個人公義重擒
[00:03:23.000 --> 00:03:29.000]  你發現這三篇的信息開始都是以色列人
[00:03:29.000 --> 00:03:31.000]  當聽夜和的話
[00:03:31.000 --> 00:03:34.000]  第三個重點不是國家不是領袖
[00:03:34.000 --> 00:03:36.000]  是個人了 以色列人
[00:03:36.000 --> 00:03:40.000]  上帝和每一個以色列人說的
[00:03:40.000 --> 00:03:43.000]  三篇的信息很完整的
[00:03:43.000 --> 00:03:47.000]  尼加是什麼人呢
[00:03:47.000 --> 00:03:50.000]  經文不詳細讀了
[00:03:50.000 --> 00:03:55.000]  可能真的遠了一點
[00:03:55.000 --> 00:03:57.000]  我先看看 我已經開了
[00:03:57.000 --> 00:04:05.000]  OK 請你再下去
[00:04:05.000 --> 00:04:10.000]  好像開槍一樣
[00:04:10.000 --> 00:04:14.000]  OK 再下去吧 這個我們不讀了
[00:04:14.000 --> 00:04:21.000]  我們先看傳書的背景
[00:04:21.000 --> 00:04:27.000]  今天是會從聖經 講經 到講道
[00:04:27.000 --> 00:04:30.000]  都是一個好的形式
[00:04:30.000 --> 00:04:38.000]  尼加這個先知當時是很出名的
[00:04:38.000 --> 00:04:46.000]  一百年之後 耶利米在耶利米書裏面提到
[00:04:46.000 --> 00:04:49.000]  當猶大王希西加的日子
[00:04:49.000 --> 00:04:54.000]  由摩利沙人尼加對猶大眾人預言說
[00:04:54.000 --> 00:04:57.000]  萬軍的夜話如此說
[00:04:57.000 --> 00:05:00.000]  社安必被耕種 長一塊田
[00:05:00.000 --> 00:05:02.000]  耶路撒冷必變為亂堆
[00:05:02.000 --> 00:05:05.000]  這殿的山必長叢林的高處
[00:05:05.000 --> 00:05:07.000]  是一個審判的信息
[00:05:07.000 --> 00:05:12.000]  他就提到摩利沙人尼加
[00:05:12.000 --> 00:05:17.000]  所以從尼加死了到耶利米這麼長的時間
[00:05:17.000 --> 00:05:22.000]  他的信息一直就流傳在猶大地裏面
[00:05:22.000 --> 00:05:25.000]  在當時一個很出名的尼加
[00:05:25.000 --> 00:05:28.000]  而他的信息也沒有停止過
[00:05:28.000 --> 00:05:33.000]  不過如果相比以塞爾或者以西傑
