
[00:00:00.000 --> 00:00:04.000]  早晨 新年快樂
[00:00:04.000 --> 00:00:15.000]  我想問問大家 如果要你講2016年幾件大事 你會選哪幾件
[00:00:15.000 --> 00:00:23.000]  2016年的大事 選了Donald Trump做總統
[00:00:23.000 --> 00:00:40.000]  如果相反選不了希拉蕊做總統 台灣選了蔡英文做總統 又是大事
[00:00:40.000 --> 00:00:52.000]  2013年 梁振英決定不做特首 又是大事 還有什麼大事呢
[00:00:52.000 --> 00:01:08.000]  世界很動亂 有很多恐怖事件 這個世界似乎都很亂
[00:01:08.000 --> 00:01:14.000]  希望求神幫助我們 看這個時代的標誌
[00:01:14.000 --> 00:01:17.000]  請我們同心低頭 同祈福
[00:01:17.000 --> 00:01:21.000]  天父我再次感謝你 給你寶貴的話語作為我們生命的指引
[00:01:21.000 --> 00:01:27.000]  求你給我們智慧 知道我們活在一個什麼世代
[00:01:27.000 --> 00:01:45.000]  教我們有回顧的心 讓我們明白你給我們的一些笑點
[00:01:45.000 --> 00:01:50.000]  以致我們能夠明白你對我們說的話是什麼
[00:01:50.000 --> 00:01:54.000]  求你祝福我們 祈禱奉耶穌基督明求 阿們
[00:01:54.000 --> 00:02:05.000]  我想問我們十幾年前拍照 多數是用柯達菲林公司拍照
[00:02:05.000 --> 00:02:09.000]  柯達菲林公司是在1888年創立的
[00:02:09.000 --> 00:02:12.000]  由一個叫George Eastman和Henry Strong設立
[00:02:12.000 --> 00:02:21.000]  他雄霸了整個20世紀 到1990年後期銷售量開始直線下滑
[00:02:21.000 --> 00:02:24.000]  終於在2012年1月宣告破產
[00:02:24.000 --> 00:02:27.000]  為什麼會有這樣的收場呢
[00:02:27.000 --> 00:02:35.000]  一個這麼成功 這麼有錢 億萬身家的公司
[00:02:35.000 --> 00:02:40.000]  可以在短短的期間之內破產呢
[00:02:40.000 --> 00:02:45.000]  一言罷之 不夠眼光 不認識這個世代
[00:02:45.000 --> 00:02:50.000]  當數碼相機一出現 當手機一出現的時候
[00:02:50.000 --> 00:02:56.000]  整個柯達的王國就在很短的時間倒塌了
[00:02:56.000 --> 00:03:01.000]  為什麼柯達公司不能夠掌握這個趨勢呢
[00:03:01.000 --> 00:03:07.000]  有幾個原因 第一眼光短視 只會打倒同行
[00:03:07.000 --> 00:03:14.000]  柯達用了不少精力 時間 財力 企圖砌下最大的對手
[00:03:14.000 --> 00:03:22.000]  Fujifilm 富士的菲林 屢次在官司上訴訟
[00:03:22.000 --> 00:03:28.000]  忘記了真正的對手其實不是同行的Fujifilm
[00:03:28.000 --> 00:03:33.000]  而是完全取消他的智能相機
[00:03:33.000 --> 00:03:37.000]  我想到美國一個很出名的Southwest Airlines
[00:03:37.000 --> 00:03:41.000]  一個很成功的Airlines 有一次訪問過CEO
[00:03:41.000 --> 00:03:46.000]  CEO說我們開始建立這個Southwest Airlines的時候
[00:03:46.000 --> 00:03:49.000]  我們想到我們的敵人不是其他的航空公司
[00:03:49.000 --> 00:03:53.000]  完全不是 我們沒有想過在他們那裡搶這些
[00:03:53.000 --> 00:04:00.000]  而是想著怎樣去砌下火車 汽車 用其他的交通工具
[00:04:00.000 --> 00:04:03.000]  然後我們推行一個廉價的飛行
[00:04:03.000 --> 00:04:10.000]  就算那些不是很有錢的人都可以坐飛機來取代他們坐火車 坐巴士 坐Greyhound
[00:04:10.000 --> 00:04:16.000]  所以他就成為了一個這麼有意義 這麼有看法的一個眼光
[00:04:16.000 --> 00:04:18.000]  就令到Southwest Airlines成功
[00:04:18.000 --> 00:04:23.000]  但Kodak不是 他就想著用很多錢 用很多時間去打官司
[00:04:23.000 --> 00:04:27.000]  他企圖砌下這個Fujifilm 誰知道他自己一下子
[00:04:27.000 --> 00:04:30.000]  這個數碼相機一來到就沒有了
[00:04:30.000 --> 00:04:33.000]  其實Kodak 大家知不知道呢
[00:04:33.000 --> 00:04:38.000]  Kodak是最早一間公司發展數碼相機
[00:04:38.000 --> 00:04:43.000]  最早發展數碼相機是Order公司
[00:04:43.000 --> 00:04:51.000]  早在1975年的時候已經開始成立公司去發展去研究
[00:04:51.000 --> 00:04:58.000]  但是研究期間老闆就覺得 如果搞出來是影響我們的菲林生意
[00:04:58.000 --> 00:05:01.000]  於是他們就失去了動力發展
[00:05:01.000 --> 00:05:06.000]  到了2001年的時候 市場開始越來越用數碼相機的時候
[00:05:06.000 --> 00:05:10.000]  Kodak就一落千丈 完全就沒有了
[00:05:10.000 --> 00:05:17.000]  事實上一個人沒有眼光 不懂時務的公司 往往就這樣倒閉
[00:05:17.000 --> 00:05:22.000]  你不夠眼光 你看不到時代的發展是一個什麼時代的發展
[00:05:22.000 --> 00:05:25.000]  看不到這個幣
[00:05:25.000 --> 00:05:28.000]  Order公司是這樣 我想一想
[00:05:28.000 --> 00:05:31.000]  今天我們遇到什麼呢 我想到今天的汽車
[00:05:31.000 --> 00:05:37.000]  大家都聽過了 Tesla 已經開始有無人駕駛的車了
[00:05:37.000 --> 00:05:45.000]  有不少的公司都開始推行和發展 已經在使用無人駕駛
[00:05:45.000 --> 00:05:47.000]  現在火車已經是無人駕駛了
[00:05:47.000 --> 00:05:51.000]  現在就算是著陸的飛機都不需要有人駕駛
[00:05:51.000 --> 00:05:55.000]  我相信不久的將來 不需要司機駕駛的
[00:05:55.000 --> 00:05:58.000]  坐在那裡按一下按鈕 它就自己帶你去
[00:05:58.000 --> 00:06:03.000]  到有一天 無人駕駛的汽車出現的時候
[00:06:03.000 --> 00:06:06.000]  你對整個世界有什麼影響呢
[00:06:06.000 --> 00:06:09.000]  你想一下就大了 大到難以想像
[00:06:09.000 --> 00:06:16.000]  根據一些專家研究 如果無人駕駛的汽車通行的時候
[00:06:16.000 --> 00:06:20.000]  意外的率是減少70%
[00:06:20.000 --> 00:06:25.000]  就是說撞車的機會比用人 往往
[00:06:25.000 --> 00:06:29.000]  為什麼我們撞車 人為的 要不就睡著了
[00:06:29.000 --> 00:06:32.000]  要不就喝醉了 要不就不小心了
[00:06:32.000 --> 00:06:36.000]  往往是人為的緣故造成交通意外
[00:06:36.000 --> 00:06:40.000]  但如果你是用電腦操縱 無人駕駛的時候
[00:06:40.000 --> 00:06:43.000]  是將意外率減低70%
[00:06:43.000 --> 00:06:46.000]  當你的意外率減低70%的時候
[00:06:46.000 --> 00:06:49.000]  你就想一下會有什麼影響
[00:06:49.000 --> 00:06:51.000]  那些電子公司還做來幹什麼
[00:06:51.000 --> 00:06:57.000]  那你說不是 電子公司意外就少一點賠償
[00:06:57.000 --> 00:07:00.000]  公司發達了 你就錯了
[00:07:00.000 --> 00:07:03.000]  你想一下除了無人駕駛公司以外
[00:07:03.000 --> 00:07:05.000]  這幾年來發生了什麼事
[00:07:05.000 --> 00:07:07.000]  Uber嘛 Uber service嘛
[00:07:07.000 --> 00:07:09.000]  不需要的士 Uber 講一講就行了
[00:07:09.000 --> 00:07:14.000]  我都曾經想過 我們教會有些老人家
[00:07:14.000 --> 00:07:17.000]  或者遠離的時候用Uber service就可以了
[00:07:17.000 --> 00:07:19.000]  我們立即想 靠不靠得住
[00:07:19.000 --> 00:07:21.000]  司機不可靠的時候怎麼辦
[00:07:21.000 --> 00:07:23.000]  載了你去打劫怎麼辦
[00:07:23.000 --> 00:07:26.000]  無人駕駛的汽車的時候
[00:07:26.000 --> 00:07:30.000]  你也不需要想 如果真的有無人駕駛汽車的時候
[00:07:30.000 --> 00:07:34.000]  我想我都不需要買車 買車來幹什麼
[00:07:34.000 --> 00:07:38.000]  買車的時候按一按 幾分鐘Uber的車就已經走了
[00:07:38.000 --> 00:07:41.000]  無人駕駛汽車 然後按一按就走了
[00:07:41.000 --> 00:07:44.000]  我們不需要買車 所以汽車的生意就會虧
[00:07:44.000 --> 00:07:50.000]  保險公司又會虧 汽油又會虧
[00:07:50.000 --> 00:07:52.000]  整個世界會亂七八糟的
[00:07:52.000 --> 00:07:55.000]  會完全翻天覆地
[00:07:55.000 --> 00:08:00.000]  你想不想到 到有一天無人駕駛汽車
[00:08:00.000 --> 00:08:02.000]  在這個世界上是通行的時候
[00:08:02.000 --> 00:08:07.000]  是將整個經濟系統 整個社會
[00:08:07.000 --> 00:08:09.000]  完全翻天覆地改變了
[00:08:09.000 --> 00:08:11.000]  我想我們教會都會不同
[00:08:11.000 --> 00:08:13.000]  不需要在唐人街找位子泊車
[00:08:13.000 --> 00:08:15.000]  不需要擔心唐人街泊車
[00:08:15.000 --> 00:08:17.000]  按一按就已經到了
[00:08:17.000 --> 00:08:19.000]  多快手啊
[00:08:19.000 --> 00:08:22.000]  完全已經不同了
[00:08:22.000 --> 00:08:25.000]  幾個星期前 我想一個月前
[00:08:25.000 --> 00:08:30.000]  有人在AAA請我去講話
[00:08:30.000 --> 00:08:32.000]  我就問他 你有沒有想過這個問題
[00:08:32.000 --> 00:08:35.000]  原來AAA已經想過這個問題了
[00:08:35.000 --> 00:08:38.000]  他已經成立一個特別的小組去研究一下
[00:08:38.000 --> 00:08:41.000]  如果將來無人駕駛汽車來到的時候
[00:08:41.000 --> 00:08:44.000]  怎樣算法 怎樣搞法
[00:08:44.000 --> 00:08:48.000]  整個生意可能完全不一樣
[00:08:48.000 --> 00:08:51.000]  可能到過一天DMV都會倒閉
[00:08:51.000 --> 00:08:52.000]  我都不知道
[00:08:52.000 --> 00:08:55.000]  無法估計
