
[00:00:00.000 --> 00:00:06.000]  早晨,父親節快樂
[00:00:06.000 --> 00:00:12.000]  我們請所有做爸爸的,做阿爺的,起來
[00:00:12.000 --> 00:00:14.000]  讓我們一起鼓掌,恭喜他們
[00:00:14.000 --> 00:00:16.000]  我們中間的
[00:00:16.000 --> 00:00:24.000]  請坐,請坐
[00:00:24.000 --> 00:00:28.000]  似乎我們做男士的要更加努力
[00:00:28.000 --> 00:00:34.000]  今天我和大家思想的題目叫父親大人
[00:00:34.000 --> 00:00:36.000]  我記得小時候讀書的時候
[00:00:36.000 --> 00:00:39.000]  經常說要學寫信
[00:00:39.000 --> 00:00:42.000]  父親大人,膝下敬品者
[00:00:42.000 --> 00:00:45.000]  我想我們年紀大的還記得這些
[00:00:45.000 --> 00:00:48.000]  先生教我們寫信的時候
[00:00:48.000 --> 00:00:50.000]  寫給爸爸要這樣做
[00:00:50.000 --> 00:00:53.000]  父親大人,請我們同心低頭,同日禱告
[00:00:53.000 --> 00:00:55.000]  天父我們感謝你
[00:00:55.000 --> 00:00:57.000]  讓我們有天上的父親
[00:00:57.000 --> 00:00:59.000]  求你真的祝福我們
[00:00:59.000 --> 00:01:05.000]  讓我們能夠傳授一個感恩的心去敬拜你
[00:01:05.000 --> 00:01:07.000]  來到今天父親節
[00:01:07.000 --> 00:01:10.000]  我們有機會享受家庭的福樂
[00:01:10.000 --> 00:01:12.000]  我們獻上感謝
[00:01:12.000 --> 00:01:17.000]  求聖靈藉著你的話語提醒、勸勉、教導、安慰、督責我們
[00:01:17.000 --> 00:01:19.000]  教導我們懂得怎樣做父親
[00:01:19.000 --> 00:01:21.000]  教導我們懂得怎樣做兒女
[00:01:21.000 --> 00:01:23.000]  祈禱奉耶穌名求
[00:01:23.000 --> 00:01:34.000]  在我家書房有一個上架
[00:01:34.000 --> 00:01:36.000]  有一年的父親節
[00:01:36.000 --> 00:01:39.000]  我女兒凱欣送給我
[00:01:39.000 --> 00:01:43.000]  上架上寫著題目叫做
[00:01:43.000 --> 00:01:45.000]  Windows of Fatherhood
[00:01:45.000 --> 00:01:50.000]  可以做中文,可以做為父剪影
[00:01:50.000 --> 00:01:54.000]  上架上把我和她一起的合照
[00:01:54.000 --> 00:01:56.000]  由她做BB,一直長大成人
[00:01:56.000 --> 00:01:59.000]  然後幾幅畫就填了出來
[00:01:59.000 --> 00:02:03.000]  每次我看到這幾幅畫的時候
[00:02:03.000 --> 00:02:09.000]  心裏就會以前做爸爸的甜酸苦辣
[00:02:09.000 --> 00:02:13.000]  喜怒哀樂湧上心頭
[00:02:13.000 --> 00:02:15.000]  現在我的子女都長大了
[00:02:15.000 --> 00:02:17.000]  孫子也有好幾個了
[00:02:17.000 --> 00:02:21.000]  回想起四天做爸爸
[00:02:21.000 --> 00:02:25.000]  很多失敗、很多跌倒
[00:02:25.000 --> 00:02:28.000]  但上帝的恩典仍然救我們
[00:02:28.000 --> 00:02:32.000]  叫我們仍然有一個完整的家庭
[00:02:32.000 --> 00:02:34.000]  今天是父親節
[00:02:34.000 --> 00:02:37.000]  我想不只是父親節才想到我們爸爸
[00:02:37.000 --> 00:02:40.000]  不只是父親節才請爸爸吃東西
[00:02:40.000 --> 00:02:45.000]  更加借這個機會讓我們思想到
[00:02:45.000 --> 00:02:48.000]  樹欲靜而風不息
[00:02:48.000 --> 00:02:50.000]  子欲養而親不在
[00:02:50.000 --> 00:02:53.000]  真的要珍惜我們眼前的人
[00:02:53.000 --> 00:02:57.000]  更加需要紀念我們天上的父親
[00:02:57.000 --> 00:03:00.000]  在今天這個世代,尤其是在美國異鄉
[00:03:00.000 --> 00:03:03.000]  為人父者真不容易
[00:03:03.000 --> 00:03:07.000]  美國每樣事情都要講培訓
[00:03:07.000 --> 00:03:12.000]  你做打掃都要拿培訓證
[00:03:12.000 --> 00:03:15.000]  你開車也要拿培訓證
[00:03:15.000 --> 00:03:17.000]  更何況是專業工作
[00:03:17.000 --> 00:03:19.000]  你更加要拿培訓證
[00:03:19.000 --> 00:03:23.000]  唯獨做父母就不用拿培訓證
[00:03:23.000 --> 00:03:26.000]  從未見過一間學校叫做
[00:03:26.000 --> 00:03:30.000]  做父母的學校
[00:03:30.000 --> 00:03:31.000]  沒有的
[00:03:31.000 --> 00:03:35.000]  這麼重要的一行竟然沒有培訓
[00:03:35.000 --> 00:03:37.000]  真奇怪
[00:03:37.000 --> 00:03:39.000]  於是沒有培訓又如何呢?
[00:03:39.000 --> 00:03:40.000]  有養學養
[00:03:40.000 --> 00:03:43.000]  爸爸怎樣教我,我就怎樣教我的子女
