
[00:00:00.000 --> 00:00:05.640]  人生在世少不免會遇到很多困難
[00:00:05.640 --> 00:00:09.480]  遇上問題,遇上困難,我們會怎樣算呢?
[00:00:09.480 --> 00:00:15.480]  現在的人就會找輔導,就是counseling
[00:00:15.480 --> 00:00:22.720]  在昔日,輔導的通常都是個人的老師
[00:00:22.720 --> 00:00:26.120]  有些東西都會由父母來擔任
[00:00:26.120 --> 00:00:29.360]  但是到底什麼是輔導呢?
[00:00:29.360 --> 00:00:31.760]  其實輔導是一個過程
[00:00:31.760 --> 00:00:40.120]  目的就是要幫助我們去發現和發展個人的教育
[00:00:40.120 --> 00:00:44.360]  在職業上或是心理上的潛能
[00:00:44.360 --> 00:00:48.240]  好得到個人最高的快樂
[00:00:48.240 --> 00:00:52.840]  和他在社會上最高的有用性
[00:00:52.840 --> 00:01:00.560]  整個現代的輔導概念是建立在一個民主的基礎上面
[00:01:00.560 --> 00:01:07.800]  理論和實踐可以說是有兩方面的
[00:01:07.800 --> 00:01:17.360]  第一方面就是每一個人都有權利去掌握和塑造自己的命運
[00:01:17.360 --> 00:01:18.960]  這是第一點
[00:01:18.960 --> 00:01:25.840]  第二點,在社群當中比較成熟和有經驗的人
[00:01:25.840 --> 00:01:30.360]  是有責任去保障,較為軟弱的
[00:01:30.360 --> 00:01:34.280]  使他們所選擇的
[00:01:34.280 --> 00:01:39.680]  是能夠對人,對自己和對社會都有最大的好處
[00:01:39.680 --> 00:01:47.840]  這就是我們在輔導上面的基本理論和實踐
[00:01:47.840 --> 00:01:50.960]  但是在這個理念裡面
[00:01:50.960 --> 00:01:56.440]  實際上有很多不敵的地方我們要思考一下
[00:01:56.440 --> 00:01:59.480]  從第一點來說
[00:01:59.480 --> 00:02:05.560]  輔導的目的是要幫助人掌握自己的命運
[00:02:05.560 --> 00:02:10.560]  但是今天以輔導工作做得最先進的美國來說
[00:02:10.560 --> 00:02:17.560]  很多時候輔導員就成了被輔導者的一個命運
[00:02:17.560 --> 00:02:26.600]  他要不斷回到輔導員面前才能找到自己的意義和價值
[00:02:26.600 --> 00:02:29.520]  什麼時候停止了,不回去呢?
[00:02:29.520 --> 00:02:34.960]  很容易又再陷入危機
[00:02:34.960 --> 00:02:36.960]  從第二點來說
[00:02:36.960 --> 00:02:43.200]  過去有很多有問題的小孩和青年人
[00:02:43.200 --> 00:02:50.000]  那些輔導者所做的就好像一直都想找一個妥協的中間路線
[00:02:50.000 --> 00:02:54.400]  一方面可以滿足到社會對他們的要求
[00:02:54.400 --> 00:03:02.240]  但另一方面又要滿足到被輔導者的主觀要求
[00:03:02.240 --> 00:03:08.800]  我們知道他們努力的方向是想校正這些有問題的人的方向
[00:03:08.800 --> 00:03:15.000]  使他們能夠符合他們對自己和對社會為他們提出的機會
[00:03:15.000 --> 00:03:21.600]  換句話說,是能夠幫助到這個人重新發揮到他生命的力量
[00:03:21.600 --> 00:03:26.240]  但是很可惜,很多時候我們這些做輔導的
[00:03:26.240 --> 00:03:29.280]  我們犯了一些基本的問題
[00:03:29.280 --> 00:03:33.640]  以致出了很多很多不敵的地方
[00:03:33.640 --> 00:03:39.280]  我們說在輔導裏面,我們透過提供資訊
[00:03:39.280 --> 00:03:45.040]  來幫助人增廣他對自己行為的了解
[00:03:45.040 --> 00:03:47.840]  進而可以找到他的理想
[00:03:47.840 --> 00:03:49.840]  譬如我舉個例
[00:03:49.840 --> 00:03:57.440]  譬如我們有時在報紙、雜誌都會看到一些提供心理測驗的方法
[00:03:57.440 --> 00:04:02.440]  來幫人去認識他自己一些自己沒有發現的地方
[00:04:02.440 --> 00:04:04.440]  雖然我一定要提醒你
[00:04:04.440 --> 00:04:09.840]  很多雜誌的心理測驗方法
[00:04:09.840 --> 00:04:12.840]  他自己先有了一個什麼是對的
[00:04:12.840 --> 00:04:17.640]  然後做一些東西給你選擇
[00:04:17.640 --> 00:04:24.040]  換句話說,是出自一些非常沒有訓練又不合資格的人來搞出來的
[00:04:24.040 --> 00:04:29.040]  所以那些女生千萬不要那麼沉迷在玩這些遊戲
[00:04:29.040 --> 00:04:31.840]  我知道很多女生很喜歡玩這些遊戲
[00:04:31.840 --> 00:04:38.040]  是因為他列出的人不是一個資深的新肉家
[00:04:38.040 --> 00:04:43.040]  說他提出的理論不被證實是必然對的
[00:04:43.040 --> 00:04:45.040]  所以是很危險的
[00:04:45.040 --> 00:04:48.640]  但是有時有些資訊提出來
[00:04:48.640 --> 00:04:53.640]  是幫助我們去發掘我們職業上面的本能的
[00:04:53.640 --> 00:05:00.240]  譬如說近期在Internet裏面就會告訴我們
[00:05:00.240 --> 00:05:02.440]  如果你想大學畢業出來
[00:05:02.440 --> 00:05:03.840]  你想找到工作的
[00:05:03.840 --> 00:05:06.040]  你應該朝哪條路發展呢
[00:05:06.040 --> 00:05:07.240]  他告訴你
[00:05:07.240 --> 00:05:10.640]  類似一個做為財務
[00:05:10.640 --> 00:05:12.640]  就是Digital Financing
[00:05:12.640 --> 00:05:16.040]  在美國是嚴重缺乏人的
[00:05:16.040 --> 00:05:17.440]  如果美國都缺乏
[00:05:17.440 --> 00:05:19.040]  全世界就不用說了
[00:05:19.040 --> 00:05:21.640]  因為這個課程只有美國可以讀
[00:05:21.640 --> 00:05:23.440]  結果我們就說
[00:05:23.440 --> 00:05:29.640]  透過一些管道叫人發現什麼是我有可能可以發展的潛能
[00:05:29.640 --> 00:05:31.040]  如果他去發展
[00:05:31.040 --> 00:05:36.240]  這個就是其實符合了輔導的原理
[00:05:36.240 --> 00:05:37.640]  但是很可惜
[00:05:37.640 --> 00:05:39.640]  我們出問題在哪裏呢
[00:05:39.640 --> 00:05:42.640]  我們最大的問題就是
[00:05:42.640 --> 00:05:47.640]  代有需要的人出籌謀出方法
[00:05:47.640 --> 00:05:51.040]  我們幫他做一些決定
[00:05:51.040 --> 00:05:52.440]  我們忘記了
[00:05:52.440 --> 00:05:55.440]  我們不是幫人找出路
[00:05:55.440 --> 00:05:58.440]  而是幫人明白他的問題
[00:05:58.440 --> 00:06:02.440]  找出路仍然要他自己的
[00:06:02.440 --> 00:06:04.840]  如果我們忽略了這件事
[00:06:04.840 --> 00:06:08.840]  我們就是僭越了一個輔導者
[00:06:08.840 --> 00:06:13.240]  應該會做的那些地方
[00:06:13.240 --> 00:06:18.440]  我們今天要說的這個靜靜聽心靈聲
[00:06:18.440 --> 00:06:20.840]  正正是說
[00:06:20.840 --> 00:06:24.040]  有時我們的問題
[00:06:24.040 --> 00:06:28.240]  輔導員其實講來講去都講不到
[00:06:28.240 --> 00:06:30.240]  我們怎麼辦呢
[00:06:30.240 --> 00:06:33.440]  假如輔導不能夠給我們一些幫助
[00:06:33.440 --> 00:06:36.840]  或是及時的一些幫助
[00:06:36.840 --> 00:06:38.240]  我就告訴你
[00:06:38.240 --> 00:06:41.840]  我們裏面有一個心靈的聲音
[00:06:41.840 --> 00:06:44.440]  其實同樣有效的
[00:06:44.440 --> 00:06:47.840]  甚至很可能是更加有效的
[00:06:47.840 --> 00:06:51.040]  我有時會喜歡這樣來比較
[00:06:51.040 --> 00:06:53.840]  就是輔導好像奶粉
[00:06:53.840 --> 00:06:58.040]  聽心靈的聲音就好像吃媽媽的母乳
[00:06:58.040 --> 00:07:00.040]  你又不用消毒
[00:07:00.040 --> 00:07:01.640]  隨時都可以亂的
[00:07:01.640 --> 00:07:03.640]  又不用搞那麼多東西
[00:07:03.640 --> 00:07:05.840]  聽心靈的聲音
[00:07:05.840 --> 00:07:12.240]  是我們一個與生俱來有的權利
[00:07:12.240 --> 00:07:14.840]  所以我們就說
[00:07:14.840 --> 00:07:16.240]  我們做輔導
