
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹 處來平安
[00:00:05.000 --> 00:00:11.000]  大使命 我想你回了教會一段日子
[00:00:11.000 --> 00:00:15.000]  應該不會陌生的了
[00:00:15.000 --> 00:00:19.000]  你說不要小看我們眾主堂弟兄姊妹
[00:00:19.000 --> 00:00:22.000]  我們會背的了 要不要再背一次
[00:00:22.000 --> 00:00:25.000]  不過我考你一句 嚴格來說
[00:00:25.000 --> 00:00:32.000]  耶穌最後臨升天前的吩咐
[00:00:32.000 --> 00:00:34.000]  經文是很清楚的說
[00:00:34.000 --> 00:00:37.000]  是和十一個門徒說的
[00:00:37.000 --> 00:00:42.000]  記不記得 十一個門徒進前來
[00:00:42.000 --> 00:00:45.000]  這班不是門徒 是使徒
[00:00:45.000 --> 00:00:47.000]  為什麼是十一個呢
[00:00:47.000 --> 00:00:50.000]  猶大已經不在了
[00:00:50.000 --> 00:00:53.000]  那跟我們有什麼關係呢
[00:00:53.000 --> 00:00:56.000]  耶穌對著十一個使徒說的話
[00:00:56.000 --> 00:00:58.000]  我們不是使徒
[00:00:58.000 --> 00:01:02.000]  為什麼我們要進行
[00:01:02.000 --> 00:01:07.000]  你說讀聖經留心一點 小心一點
[00:01:07.000 --> 00:01:09.000]  耶穌這個吩咐沒錯
[00:01:09.000 --> 00:01:13.000]  是對著十一個使徒說的
[00:01:13.000 --> 00:01:16.000]  不過這個吩咐最後那句
[00:01:16.000 --> 00:01:22.000]  耶穌說 凡我所吩咐你們的
[00:01:22.000 --> 00:01:27.000]  都教訓他們進修
[00:01:27.000 --> 00:01:31.000]  兩個代名詞 你們就是十一個使徒
[00:01:31.000 --> 00:01:33.000]  他們是誰呢
[00:01:33.000 --> 00:01:40.000]  他們就是使徒出去使萬民作門徒
[00:01:40.000 --> 00:01:44.000]  一代一代二千年了
[00:01:44.000 --> 00:01:49.000]  今天來到香港灣仔眾主堂
[00:01:49.000 --> 00:01:52.000]  加上香港分堂不用加了
[00:01:52.000 --> 00:01:59.000]  來到我們 是我們聽到主耶穌的大使命
[00:01:59.000 --> 00:02:04.000]  不是直接主耶穌吩咐我們
[00:02:04.000 --> 00:02:09.000]  但是使徒將主的吩咐
[00:02:09.000 --> 00:02:14.000]  這樣一代一代傳到今天
[00:02:14.000 --> 00:02:18.000]  還要繼續傳下去
[00:02:18.000 --> 00:02:21.000]  你說我們清楚的
[00:02:21.000 --> 00:02:28.000]  這個使命後面有三件事情要做的
[00:02:28.000 --> 00:02:30.000]  不只是衝出去的
[00:02:30.000 --> 00:02:32.000]  第一件事情是做什麼呢
[00:02:32.000 --> 00:02:35.000]  使人作門徒
[00:02:35.000 --> 00:02:40.000]  第二 奉父子聖靈的名
[00:02:40.000 --> 00:02:42.000]  給他們之使
[00:02:42.000 --> 00:02:45.000]  還有第三 剛才我們說過了
[00:02:45.000 --> 00:02:49.000]  凡主耶穌所吩咐的
[00:02:49.000 --> 00:02:55.000]  都教訓這班小孩的門徒
[00:02:55.000 --> 00:03:00.000]  教訓他們進修
[00:03:00.000 --> 00:03:02.000]  清楚了 這個就是大使命了
[00:03:02.000 --> 00:03:07.000]  還沒有啊 耶穌還有前面一句
[00:03:07.000 --> 00:03:10.000]  還有結束最後一句的
[00:03:10.000 --> 00:03:15.000]  不要偷看 都看了 是吧
[00:03:15.000 --> 00:03:18.000]  不是偷看 我們是正大光明地看
[00:03:18.000 --> 00:03:20.000]  你懂得背嗎
[00:03:20.000 --> 00:03:22.000]  第一句 耶穌開頭的時候不是說
[00:03:22.000 --> 00:03:25.000]  所以你們要去的 耶穌說什麼呢
[00:03:25.000 --> 00:03:34.000]  天上地下所有的權柄都至給我了
[00:03:34.000 --> 00:03:37.000]  然後結束
[00:03:37.000 --> 00:03:41.000]  我就常與你們同在
[00:03:41.000 --> 00:03:46.000]  直到世界的末了
[00:03:46.000 --> 00:03:51.000]  所以大使命其實是有個開頭結尾
[00:03:51.000 --> 00:03:56.000]  首尾呼應 不是說我們
[00:03:56.000 --> 00:03:58.000]  是說主耶穌
[00:03:58.000 --> 00:04:02.000]  主耶穌說天上地下的權柄都至給我了
[00:04:02.000 --> 00:04:06.000]  這是復活的基督
[00:04:06.000 --> 00:04:08.000]  祂的身份
[00:04:08.000 --> 00:04:16.000]  與之前在地上傳道的主耶穌是同一個人
[00:04:16.000 --> 00:04:20.000]  但是保羅在菲律賓書裡說得很清楚
[00:04:20.000 --> 00:04:25.000]  他一直降卑降卑死在十字架上
[00:04:25.000 --> 00:04:30.000]  然後神將他升為至高
[00:04:30.000 --> 00:04:37.000]  至給他那超乎萬名之上的名
[00:04:37.000 --> 00:04:41.000]  所以無論是地上的天上的
[00:04:41.000 --> 00:04:48.000]  無不屈膝口稱耶穌為主
[00:04:48.000 --> 00:04:50.000]  這一段就不懂背了
[00:04:50.000 --> 00:04:52.000]  其實很重要的
[00:04:52.000 --> 00:04:55.000]  菲律賓書解釋給我們聽
[00:04:55.000 --> 00:04:58.000]  耶穌基督的降卑
[00:04:58.000 --> 00:05:10.000]  其實是祂到城獄身的一個很重要的關鍵所在
[00:05:10.000 --> 00:05:20.000]  所以主的手裡有天上地下的一切權柄
[00:05:20.000 --> 00:05:25.000]  祂就推薦祂的門徒出去
[00:05:25.000 --> 00:05:27.000]  不是推你們出去
[00:05:27.000 --> 00:05:30.000]  有什麼事情你們去面對
[00:05:30.000 --> 00:05:32.000]  你們搞定
[00:05:32.000 --> 00:05:33.000]  你們去承擔
[00:05:33.000 --> 00:05:37.000]  我躲在後面很安全的大後方
[00:05:37.000 --> 00:05:42.000]  主耶穌宣佈天上地下
[00:05:42.000 --> 00:05:44.000]  即是所有的一切
