
[00:00:00.000 --> 00:00:08.000]  我也奇怪為什麼Kensa沒有找我問我拿經文題目
[00:00:08.000 --> 00:00:12.000]  令我懷疑我今天早上是不是講完了
[00:00:12.000 --> 00:00:24.000]  最近就讀Anti-Right寫的第四本巨大著作
[00:00:24.000 --> 00:00:30.000]  叫做Paul and the Faithfulness of God
[00:00:30.000 --> 00:00:38.000]  在書的開頭時引用了一段訊息
[00:00:38.000 --> 00:00:47.000]  而那段訊息幫助到我可以在很多方面不同的思考
[00:00:47.000 --> 00:00:51.000]  在Paul and the Faithfulness of God書中
[00:00:51.000 --> 00:00:56.000]  他開首時用古代歷史中一個很出名的人物
[00:00:56.000 --> 00:00:58.000]  叫做Pliny
[00:00:58.000 --> 00:01:02.000]  Pliny有個叔和有個侄
[00:01:02.000 --> 00:01:07.000]  所以在古代歷史中特別是羅馬人歷史中
[00:01:07.000 --> 00:01:11.000]  會把Pliny the Younger and Pliny the Older
[00:01:11.000 --> 00:01:13.000]  或者Pliny the Elder
[00:01:13.000 --> 00:01:15.000]  Elder就是他叔
[00:01:15.000 --> 00:01:23.000]  他叔是一個很有名的作家和旅行家
[00:01:23.000 --> 00:01:25.000]  也有一個很有名的探險家
[00:01:25.000 --> 00:01:27.000]  一個自然主義者
[00:01:27.000 --> 00:01:28.000]  他到處去
[00:01:28.000 --> 00:01:30.000]  他是怎樣死的呢
[00:01:30.000 --> 00:01:33.000]  在主要79年的時候
[00:01:33.000 --> 00:01:35.000]  意大利有一個很有名的火山
[00:01:35.000 --> 00:01:37.000]  叫做維蘇威火山
[00:01:37.000 --> 00:01:39.000]  Vesuvius
[00:01:39.000 --> 00:01:42.000]  這個火山爆發的時候
[00:01:42.000 --> 00:01:47.000]  這個老人家要看看火山爆發的時候是怎樣的
[00:01:47.000 --> 00:01:50.000]  所以他想盡辦法
[00:01:50.000 --> 00:01:52.000]  接觸到最近的時候
[00:01:52.000 --> 00:01:54.000]  看看煙到底是怎樣的
[00:01:54.000 --> 00:01:56.000]  總之在那場爆發中他離開了世界
[00:01:56.000 --> 00:02:00.000]  不過他的侄Pliny the Younger
[00:02:00.000 --> 00:02:02.000]  留下了少許紀錄
[00:02:02.000 --> 00:02:04.000]  不過今天我就不說這個紀錄
[00:02:04.000 --> 00:02:09.000]  在收集Pliny的書信集中
[00:02:09.000 --> 00:02:12.000]  我在說彼得前書的時候
[00:02:12.000 --> 00:02:14.000]  也引用過這個人
[00:02:14.000 --> 00:02:16.000]  因為這個人是羅馬的皇帝
[00:02:16.000 --> 00:02:18.000]  叫做Trajan
[00:02:18.000 --> 00:02:20.000]  是一個很信任的人
[00:02:20.000 --> 00:02:24.000]  所以派了他去今天的土耳其北部
[00:02:24.000 --> 00:02:26.000]  在我們彼得前書的時候說
[00:02:26.000 --> 00:02:32.000]  本都、加拿大、加伯多加、比特尼地方
[00:02:32.000 --> 00:02:36.000]  那個地方是彼得寫書信的時候
[00:02:36.000 --> 00:02:38.000]  寫給那個地區的教會
[00:02:38.000 --> 00:02:41.000]  散居十二支派在那些地方的人
[00:02:41.000 --> 00:02:43.000]  這個人就去到那個地方
[00:02:43.000 --> 00:02:47.000]  做一個很高的官
[00:02:47.000 --> 00:02:50.000]  在他的書信集中
[00:02:50.000 --> 00:02:52.000]  他寫了一個人文
[00:02:52.000 --> 00:02:55.000]  那個人文是他的朋友
[00:02:55.000 --> 00:02:57.000]  他的朋友有一個奴隸
[00:02:57.000 --> 00:03:00.000]  那個奴隸被他釋放了
[00:03:00.000 --> 00:03:02.000]  如果你讀英文的著作
[00:03:02.000 --> 00:03:04.000]  或者看到一個Freedman
[00:03:04.000 --> 00:03:08.000]  Freedman後面加個man
[00:03:08.000 --> 00:03:11.000]  那個是以前做奴隸的身份
[00:03:11.000 --> 00:03:14.000]  不過被奴主釋放了
[00:03:14.000 --> 00:03:17.000]  在歷史的研究
[00:03:17.000 --> 00:03:19.000]  或者在新約神學的研究裏
[00:03:19.000 --> 00:03:21.000]  有另外一個字叫做Manumission
[00:03:21.000 --> 00:03:24.000]  Manumission就是被釋放的人
[00:03:24.000 --> 00:03:27.000]  通常這些Freedman
[00:03:27.000 --> 00:03:30.000]  因為他很長的時間做奴隸
[00:03:30.000 --> 00:03:31.000]  在奴主的家裏裏
[00:03:31.000 --> 00:03:33.000]  就算他被釋放了之後
[00:03:33.000 --> 00:03:35.000]  他也只是一個自由人
[00:03:35.000 --> 00:03:36.000]  但他沒有生存技能
[00:03:36.000 --> 00:03:38.000]  所以很多時候都要依附著
[00:03:38.000 --> 00:03:40.000]  這個奴主來生活
[00:03:40.000 --> 00:03:42.000]  不過在Plenity的信裏
[00:03:42.000 --> 00:03:45.000]  他就說他遇到一個人
[00:03:45.000 --> 00:03:48.000]  這個人是他以前的奴隸
[00:03:48.000 --> 00:03:52.000]  他就寫一封信給那個奴主
[00:03:52.000 --> 00:03:55.000]  要求他釋放了
[00:03:55.000 --> 00:03:59.000]  不要再找他麻煩
[00:03:59.000 --> 00:04:01.000]  我會叫他回來
[00:04:01.000 --> 00:04:03.000]  回來你身邊
[00:04:03.000 --> 00:04:05.000]  你有權可以生他的氣
[00:04:05.000 --> 00:04:08.000]  不過他現在的表現很好
[00:04:08.000 --> 00:04:10.000]  如果以後他回到你身邊
[00:04:10.000 --> 00:04:11.000]  表現不好的話
[00:04:11.000 --> 00:04:13.000]  你仍然可以生他的氣
[00:04:13.000 --> 00:04:14.000]  你仍然可以怎樣對待他
[00:04:14.000 --> 00:04:17.000]  因為你始終都是他的主人
[00:04:17.000 --> 00:04:19.000]  Andy Wright就用這封信
[00:04:19.000 --> 00:04:22.000]  開始了Paul and the Faithfulness of God
[00:04:22.000 --> 00:04:26.000]  就說到我們讀
[00:04:26.000 --> 00:04:27.000]  肥理門書的時候
[00:04:27.000 --> 00:04:29.000]  進入了一個完全不同的世界
[00:04:29.000 --> 00:04:30.000]  在肥理門書那裏
[00:04:30.000 --> 00:04:31.000]  他接收了
[00:04:31.000 --> 00:04:33.000]  就像弟兄那樣
[00:04:33.000 --> 00:04:34.000]  他現在對我有益
[00:04:34.000 --> 00:04:36.000]  希望他以後對你有益
[00:04:36.000 --> 00:04:37.000]  凡是他欠你甚麼
[00:04:37.000 --> 00:04:39.000]  都寫在我的帳上
[00:04:39.000 --> 00:04:41.000]  到以後我會還給你的
[00:04:41.000 --> 00:04:43.000]  那個衝動
[00:04:43.000 --> 00:04:45.000]  那個心情
[00:04:45.000 --> 00:04:47.000]  那個看事情的方法
[00:04:47.000 --> 00:04:49.000]  是完全和當時的世界裏的看法
[00:04:49.000 --> 00:04:52.000]  做法是不一樣的
[00:04:52.000 --> 00:04:54.000]  所以他用了這段聖經
[00:04:54.000 --> 00:04:56.000]  羅馬書十二章第二節
[00:04:56.000 --> 00:04:59.000]  他說當福音進入這個世界裏來的時候
[00:04:59.000 --> 00:05:02.000]  福音改變了人整個的思維
[00:05:02.000 --> 00:05:04.000]  如果改變了一個人的思維
[00:05:04.000 --> 00:05:06.000]  改變了一個人的生命
[00:05:06.000 --> 00:05:08.000]  讓這個人徹底地有個改變
[00:05:08.000 --> 00:05:10.000]  當我講到這裏的時候
[00:05:10.000 --> 00:05:13.000]  另外一個作家叫Richard B. Hayes
[00:05:13.000 --> 00:05:16.000]  他所寫的哥倫多後書第五章第十七節
[00:05:16.000 --> 00:05:18.000]  就進入到我的腦筋裏
[00:05:18.000 --> 00:05:20.000]  這亦是鼓勵大家
[00:05:20.000 --> 00:05:21.000]  為甚麼要多讀聖經
[00:05:21.000 --> 00:05:25.000]  和背多些經文的其中一個用意
[00:05:25.000 --> 00:05:28.000]  因為在哥倫多後書第五章第十七節
[00:05:28.000 --> 00:05:29.000]  那句話
[00:05:29.000 --> 00:05:31.000]  若有人在基督女他受事
[00:05:31.000 --> 00:05:33.000]  新造的人
[00:05:33.000 --> 00:05:35.000]  舊事已過一切都變成新的了
[00:05:35.000 --> 00:05:38.000]  Richard B. Hayes用了很長的篇幅解釋
[00:05:38.000 --> 00:05:43.000]  到底甚麼叫做舊事已過一切都變成新的了
[00:05:43.000 --> 00:05:45.000]  他仔細分析
[00:05:45.000 --> 00:05:50.000]  他說那句希臘文的原意裏
[00:05:50.000 --> 00:05:57.000]  他就說Anything Anyone
[00:05:57.000 --> 00:06:01.000]  在基督女就是新的
[00:06:01.000 --> 00:06:03.000]  他不是說新的人
[00:06:03.000 --> 00:06:05.000]  是新的
[00:06:05.000 --> 00:06:08.000]  他怎樣演繹這個概念呢
[00:06:08.000 --> 00:06:12.000]  他說當上帝差遣他的兒子
[00:06:12.000 --> 00:06:15.000]  道成肉身來到這個世界裏的時候
[00:06:15.000 --> 00:06:18.000]  天國已經來到
[00:06:18.000 --> 00:06:23.000]  一個上帝介入人間歷史的那一刻裏
[00:06:23.000 --> 00:06:25.000]  保羅就解釋成為
[00:06:25.000 --> 00:06:27.000]  若有人在基督女
[00:06:27.000 --> 00:06:29.000]  他就是新的
[00:06:29.000 --> 00:06:30.000]  不單是新造的人
[00:06:30.000 --> 00:06:32.000]  整個宇宙都是新的
[00:06:32.000 --> 00:06:34.000]  這樣說下去的時候
[00:06:34.000 --> 00:06:36.000]  我們才能夠明白
[00:06:36.000 --> 00:06:38.000]  我們現在已經在甚麼裏面
[00:06:38.000 --> 00:06:40.000]  在天國裏面
[00:06:40.000 --> 00:06:42.000]  所以我們才能夠明白
[00:06:42.000 --> 00:06:45.000]  甚麼叫做Already but not yet
[00:06:45.000 --> 00:06:48.000]  千萬不要以為我們還在舊的世界裏面
