
[00:00:00.000 --> 00:00:04.800]  各位大英姐妹 平安
[00:00:04.800 --> 00:00:09.400]  在題目上來說一個新系列的講道
[00:00:09.400 --> 00:00:14.200]  我們定為從創造到新創造
[00:00:14.200 --> 00:00:20.280]  在未說起初神如何創造天地的時候
[00:00:20.280 --> 00:00:22.280]  讓我們先說聖經
[00:00:22.280 --> 00:00:24.200]  可能你說 呃呃呃 呃呃呃
[00:00:24.200 --> 00:00:27.000]  不是每次講道都說聖經嗎?
[00:00:27.000 --> 00:00:30.280]  是 但我們好像很少去說
[00:00:30.280 --> 00:00:35.000]  其實聖經是一本怎樣的書
[00:00:35.000 --> 00:00:38.200]  如果有微信的朋友問你
[00:00:38.200 --> 00:00:40.760]  其實聖經是甚麼來的?
[00:00:40.760 --> 00:00:42.760]  你會怎樣回答他呢?
[00:00:42.760 --> 00:00:49.480]  因為我們完全是需要去明白本聖經多些
[00:00:49.480 --> 00:00:52.600]  因為當我們越了解上帝的話語
[00:00:52.600 --> 00:00:55.000]  我們的屬靈生命才可以建造
[00:00:55.000 --> 00:00:59.000]  當我們明白多些本聖經的內容時
[00:00:59.000 --> 00:01:03.480]  我們容易幫微信的朋友去釐清一些誤解
[00:01:03.480 --> 00:01:08.520]  或者對聖經可能有些不必要的期望
[00:01:08.520 --> 00:01:09.520]  甚麼意思呢?
[00:01:09.520 --> 00:01:13.520]  在幾天前有人問了我這兩個問題
[00:01:13.520 --> 00:01:15.520]  他問 呃呃呃 呃呃呃 呃呃呃
[00:01:15.520 --> 00:01:21.000]  請問亞當和夏娃是哪一個種族的人?
[00:01:21.000 --> 00:01:27.000]  或者請問上天堂我們會做些甚麼?
[00:01:27.000 --> 00:01:33.000]  究竟聖經會不會回答類似的問題呢?
[00:01:33.000 --> 00:01:36.000]  很感恩在幾個月前
[00:01:36.000 --> 00:01:39.000]  我進修神學
[00:01:39.000 --> 00:01:43.000]  老師說了一本書是我們必讀的
[00:01:43.000 --> 00:01:45.000]  當我看到這本書的時候
[00:01:45.000 --> 00:01:47.000]  我看到這一個圖表
[00:01:47.000 --> 00:01:55.000]  很能夠表達到原來聖經可以大致分為四個部分
[00:01:55.000 --> 00:01:58.000]  第一部分是創造
[00:01:58.000 --> 00:02:02.000]  當你看《創世紀》第一第二章的時候
[00:02:02.000 --> 00:02:08.000]  你會找到一些答案是回答人生很基本的問題
[00:02:08.000 --> 00:02:13.000]  它會告訴我們究竟我們身在何處
[00:02:13.000 --> 00:02:17.000]  究竟這個地球的起源是怎樣
[00:02:17.000 --> 00:02:20.000]  究竟它為何創造 為何被創造
[00:02:20.000 --> 00:02:23.000]  上帝是誰 我們是誰
[00:02:23.000 --> 00:02:29.000]  我們自身在這個世界有甚麼目的
[00:02:29.000 --> 00:02:33.000]  然後是說到墮落
[00:02:33.000 --> 00:02:36.000]  從第三章開始到十一章創世紀
[00:02:36.000 --> 00:02:40.000]  它說到人類開始不信服上帝
[00:02:40.000 --> 00:02:43.000]  以致帶來很大的惡果
[00:02:43.000 --> 00:02:45.000]  說到罪 怎樣進入世界
[00:02:45.000 --> 00:02:48.000]  怎樣影響我們人類很多方面
[00:02:48.000 --> 00:02:52.000]  怎樣由開頭有罪到第一宗謀殺案
[00:02:52.000 --> 00:02:57.000]  到所有或許很多罪惡越來越嚴重
[00:02:57.000 --> 00:03:01.000]  人類靠自己沒有辦法自己救自己
[00:03:01.000 --> 00:03:06.000]  唯有透過上帝救贖的計劃
[00:03:06.000 --> 00:03:12.000]  你會發覺這在四個階段裡佔最大部分
[00:03:12.000 --> 00:03:16.000]  可以說由上帝呼召阿伯拉罕開始
[00:03:16.000 --> 00:03:24.000]  到出埃及 到很多不同的烈王先知的事蹟
[00:03:24.000 --> 00:03:26.000]  去到中心點
[00:03:26.000 --> 00:03:31.000]  是耶穌基督度成肉身來到這個世界
[00:03:31.000 --> 00:03:34.000]  祂為我們死 為我們復活
[00:03:34.000 --> 00:03:39.000]  亦開始教會 開始擴展
[00:03:39.000 --> 00:03:41.000]  福音要廣傳
[00:03:41.000 --> 00:03:45.000]  到基督第二次再來的時候
[00:03:45.000 --> 00:03:48.000]  然後進行審判
[00:03:48.000 --> 00:03:50.000]  很感恩就是說
[00:03:50.000 --> 00:03:56.000]  人類的歷史或聖經並不是毀滅審判結束
[00:03:56.000 --> 00:04:00.000]  而是說將來有新天新地
[00:04:00.000 --> 00:04:08.000]  一個新的創造裡面充滿公義平安
[00:04:08.000 --> 00:04:14.000]  因為上帝永遠和祂的子民同住同在
[00:04:14.000 --> 00:04:17.000]  在啟示錄21章3節這樣說
[00:04:17.000 --> 00:04:20.000]  「看!神的帳幕在人間!
[00:04:20.000 --> 00:04:22.000]  祂要和他們同住
[00:04:22.000 --> 00:04:24.000]  他們要作祂的子民
[00:04:24.000 --> 00:04:27.000]  神要親自與他們同住」
[00:04:27.000 --> 00:04:29.000]  繼續看第四節
[00:04:29.000 --> 00:04:33.000]  「神要擦去他們一切的眼淚
[00:04:33.000 --> 00:04:38.000]  不再有死亡 也不再有悲哀 哭號 痛苦
[00:04:38.000 --> 00:04:41.000]  因為先前的事都過去了」
[00:04:41.000 --> 00:04:44.000]  各位靈影姐妹 多寶貴
[00:04:44.000 --> 00:04:46.000]  當我們去到新天新地的時候
[00:04:46.000 --> 00:04:53.000]  一切的往事 一切不開心的事情都會過去了
[00:04:53.000 --> 00:04:54.000]  第五節
[00:04:54.000 --> 00:04:57.000]  「那位坐在寶座上的說
[00:04:57.000 --> 00:05:01.000]  看!我把一切都更新」
[00:05:01.000 --> 00:05:02.000]  多重要啊
[00:05:02.000 --> 00:05:09.000]  一切不好的事情由上帝親自去更新
[00:05:09.000 --> 00:05:10.000]  祂又說
[00:05:10.000 --> 00:05:11.000]  「你要寫下來
[00:05:11.000 --> 00:05:17.000]  因為這些話是可信靠的 是真實的」
[00:05:17.000 --> 00:05:20.000]  原來聖經是這樣來的
[00:05:20.000 --> 00:05:26.000]  是上帝是神透過不同的聖經作者
[00:05:26.000 --> 00:05:29.000]  然後將祂的話語讓他們知道
[00:05:29.000 --> 00:05:32.000]  然後寫下來成為聖經
[00:05:32.000 --> 00:05:37.000]  保羅對聖經有很清楚的描述
[00:05:37.000 --> 00:05:39.000]  在提摩太后書三章十六節
[00:05:39.000 --> 00:05:42.000]  他說「聖經都是神所默示的
[00:05:42.000 --> 00:05:48.000]  與教訓、督責、使人歸正、教導人學而都是有益的
[00:05:48.000 --> 00:05:54.000]  叫屬神的人得以完全預備行各樣的善事」
[00:05:54.000 --> 00:05:57.000]  我們再看三章十六節
[00:05:57.000 --> 00:06:00.000]  其實甚麼叫默示呢?
[00:06:00.000 --> 00:06:04.000]  甚麼叫聖經是神所默示呢?
[00:06:04.000 --> 00:06:06.000]  英文叫Inspired
[00:06:06.000 --> 00:06:10.000]  即是神去啟發他 神去啟示
[00:06:10.000 --> 00:06:13.000]  讓不同的作者知道他的心意
[00:06:13.000 --> 00:06:16.000]  讓大家看看一幅圖畫
[00:06:16.000 --> 00:06:20.000]  這幅是一幅名畫
[00:06:20.000 --> 00:06:22.000]  裏面有兩個角色
[00:06:22.000 --> 00:06:27.000]  一個是上帝 另一個是亞當
[00:06:27.000 --> 00:06:33.000]  你猜哪隻手是屬於上帝 哪隻手是屬於亞當?
[00:06:33.000 --> 00:06:35.000]  讓你們看這幅圖畫
[00:06:35.000 --> 00:06:38.000]  叫做The Creation of Adam
[00:06:38.000 --> 00:06:41.000]  是Michaelangelo畫的一幅畫
[00:06:41.000 --> 00:06:43.000]  裏面其中一個意思
[00:06:43.000 --> 00:06:45.000]  人們解釋是
[00:06:45.000 --> 00:06:49.000]  他很想說上帝很想與人接觸
[00:06:49.000 --> 00:06:52.000]  而畫的亞當
[00:06:52.000 --> 00:06:56.000]  你覺得他的神態神情是怎樣?
[00:06:56.000 --> 00:06:58.000]  好像懶洋洋
[00:06:58.000 --> 00:07:02.000]  不知道你是否平時都是這樣躺在沙發上
[00:07:02.000 --> 00:07:07.000]  上帝很想與天使去接觸人類
[00:07:07.000 --> 00:07:11.000]  但是人類卻是懶洋洋
[00:07:11.000 --> 00:07:16.000]  手沒有力量 好像不太想回應
[00:07:16.000 --> 00:07:22.000]  弟兄姊妹 這是否我們的光景?
[00:07:22.000 --> 00:07:26.000]  我們明知道上帝透過不同的方法
[00:07:26.000 --> 00:07:29.000]  很想尋找我們
[00:07:29.000 --> 00:07:33.000]  透過聖經 透過詩歌 透過不同人
[00:07:33.000 --> 00:07:37.000]  但是我們會否很懶洋洋
[00:07:37.000 --> 00:07:39.000]  根本愛理不理
[00:07:39.000 --> 00:07:43.000]  甚至拒絕上帝?
[00:07:43.000 --> 00:07:47.000]  究竟上帝怎樣去默示
[00:07:47.000 --> 00:07:51.000]  去啟發 讓人知道他的心意呢?
[00:07:51.000 --> 00:07:55.000]  原來在啟示六四章一節裏說了其中一個途徑
[00:07:55.000 --> 00:07:58.000]  「這些事以後我觀看
[00:07:58.000 --> 00:08:01.000]  看見天上有一道門開著」
[00:08:01.000 --> 00:08:06.000]  原來上帝可以透過給人們一些景象
[00:08:06.000 --> 00:08:09.000]  去看到發生甚麼事
[00:08:09.000 --> 00:08:12.000]  這裏他說「我觀看看見」
[00:08:12.000 --> 00:08:18.000]  第二行「我頭一次聽見的那號象吹號的聲音對我說
[00:08:18.000 --> 00:08:23.000]  你想這裏來 我要把此後必須發生的事指示你」
[00:08:23.000 --> 00:08:29.000]  原來可以讓人看 原來可以聽到
[00:08:29.000 --> 00:08:33.000]  然後寫下來
[00:08:33.000 --> 00:08:35.000]  啟示六有一章15節
[00:08:35.000 --> 00:08:37.000]  他說「對我說話」
[00:08:37.000 --> 00:08:39.000]  上帝可以自己和人說話
[00:08:39.000 --> 00:08:43.000]  上帝可以找天使和人說話
[00:08:43.000 --> 00:08:47.000]  我們再看 當我們認識完默示之後
[00:08:47.000 --> 00:08:49.000]  提摩太后書三章16節下半節
[00:08:49.000 --> 00:08:53.000]  他說「於教訓 督責 洗人歸正 教導人學義」
[00:08:53.000 --> 00:08:55.000]  都是有益的
[00:08:55.000 --> 00:08:58.000]  英文這裏也有「有益」是profitable
[00:08:58.000 --> 00:09:00.000]  有益有用處的聖經
[00:09:00.000 --> 00:09:01.000]  對於甚麼呢?
[00:09:01.000 --> 00:09:03.000]  對於教導 對於教導
[00:09:03.000 --> 00:09:05.000]  對於教導 對於正義 對於正義
[00:09:05.000 --> 00:09:07.000]  對於正義 對於正義
[00:09:07.000 --> 00:09:10.000]  對於學習甚麼叫做公義
[00:09:10.000 --> 00:09:14.000]  對於教導原來都是要基於這本聖經
[00:09:14.000 --> 00:09:17.000]  因為這本聖經是神所默示給人的
[00:09:17.000 --> 00:09:19.000]  用來做甚麼呢?
[00:09:19.000 --> 00:09:20.000]  第十七節
[00:09:20.000 --> 00:09:26.000]  「叫屬神的人得以完全預備行各樣善事」
[00:09:26.000 --> 00:09:28.000]  以前我聽過一些弟兄姊妹說
[00:09:28.000 --> 00:09:32.000]  要完全?沒甚麼可能
[00:09:32.000 --> 00:09:34.000]  原來另一個解釋
[00:09:34.000 --> 00:09:36.000]  或者更準確的解釋
[00:09:36.000 --> 00:09:39.000]  你看英文這個NASB的版本
[00:09:39.000 --> 00:09:41.000]  它說「So that the man of God」
[00:09:41.000 --> 00:09:43.000]  即是我們每一個
[00:09:43.000 --> 00:09:45.000]  「May be adequate」
[00:09:45.000 --> 00:09:47.000]  可以有足夠adequate
[00:09:47.000 --> 00:09:49.000]  足夠和完全不同
[00:09:49.000 --> 00:09:53.000]  有足夠的equip 裝備
