
[00:00:00.000 --> 00:00:05.000]  感謝主又很高興在2010年的第一個星期日
[00:00:05.000 --> 00:00:08.800]  和大家一起去敬拜 一起思想神的話語
[00:00:08.800 --> 00:00:13.200]  北宣家在這幾個月都會特別回到最基本
[00:00:13.200 --> 00:00:15.600]  神自己怎樣看我們的家庭
[00:00:15.600 --> 00:00:18.200]  也特別用聖經裡面第一本書
[00:00:18.200 --> 00:00:21.000]  就是《創世記》怎樣去理解
[00:00:21.000 --> 00:00:23.200]  我們重新看回神的心意
[00:00:23.200 --> 00:00:26.200]  怎樣去明白關於家庭的真理
[00:00:26.200 --> 00:00:27.800]  剛才我們所讀的那段聖經
[00:00:27.800 --> 00:00:29.000]  我相信大家都很熟了
[00:00:29.000 --> 00:00:31.800]  《創世記》第二章 我們打開那段聖經好嗎
[00:00:31.800 --> 00:00:33.600]  《創世記》第二章
[00:00:33.600 --> 00:00:37.800]  我們看神怎樣去設立婚姻
[00:00:37.800 --> 00:00:40.800]  首先我們回到最基本
[00:00:40.800 --> 00:00:47.200]  婚姻 家庭 我們從婚姻開始
[00:00:47.200 --> 00:00:50.600]  剛才我說我相信大家
[00:00:50.600 --> 00:00:53.200]  如果弟兄姊妹來教會一段日子
[00:00:53.200 --> 00:00:55.600]  你對這段聖經一定不陌生的了
[00:00:55.600 --> 00:00:57.600]  尤其是如果你去基督徒的婚禮
[00:00:57.600 --> 00:01:00.200]  大概有十次 還有五次都是說這段的
[00:01:00.200 --> 00:01:03.400]  所以是有些難度 也有些挑戰的
[00:01:03.400 --> 00:01:05.800]  因為這段聖經要說的都被人說了
[00:01:05.800 --> 00:01:07.200]  大家都知道的
[00:01:07.200 --> 00:01:09.800]  但是怎樣可以在這段聖經裡面
[00:01:09.800 --> 00:01:13.800]  看到神自己一些很深刻的意思呢
[00:01:13.800 --> 00:01:16.400]  我就一直去思想的時候祈禱
[00:01:16.400 --> 00:01:21.800]  神就給我特別想和大家今天分享四個重點
[00:01:21.800 --> 00:01:24.400]  這四個重點可能你都知道
[00:01:24.400 --> 00:01:27.400]  也可能你沒有想過從這個角度去看
[00:01:27.400 --> 00:01:30.000]  但這四個都是有一個很寶貴的
[00:01:30.000 --> 00:01:32.600]  關於家庭婚姻的真理
[00:01:32.600 --> 00:01:34.200]  好不好 我們今天試一下
[00:01:34.200 --> 00:01:37.200]  用短短的時間來思想這段聖經裡面
[00:01:37.200 --> 00:01:39.200]  八節聖經而已
[00:01:39.200 --> 00:01:42.600]  這八節聖經裡面這四個的重點
[00:01:42.600 --> 00:01:44.600]  第一個十八節
[00:01:44.600 --> 00:01:47.000]  我用的是新譯本
[00:01:47.000 --> 00:01:48.800]  不過大家可以對照這個和合本
[00:01:48.800 --> 00:01:52.200]  有些地方兩個譯本都相當好的
[00:01:52.200 --> 00:01:54.600]  耶和華神算乃人獨居不好
[00:01:54.600 --> 00:01:59.800]  我要為他做一個和他相配的幫手
[00:01:59.800 --> 00:02:02.000]  和合本大家也比較熟了
[00:02:02.000 --> 00:02:06.600]  要為他做一個配偶去幫助他
[00:02:06.600 --> 00:02:08.200]  神算乃人獨居不好
[00:02:08.200 --> 00:02:09.800]  所以我為他做一個配偶
[00:02:09.800 --> 00:02:14.600]  展開了這個婚姻的神設立的序幕
[00:02:14.600 --> 00:02:18.000]  創世記第一章和第二章很有意思的
[00:02:18.000 --> 00:02:21.600]  因為它是記載了人犯罪墮落
[00:02:21.600 --> 00:02:27.600]  即第三章之前神自己本來最原本的心意
[00:02:27.600 --> 00:02:28.600]  這是很寶貴的
[00:02:28.600 --> 00:02:30.600]  不多的 因為人犯罪之後
[00:02:30.600 --> 00:02:32.400]  世界變得很不完美了
[00:02:32.400 --> 00:02:35.600]  很多本來的意思又失落了
[00:02:35.600 --> 00:02:38.000]  所以變得很現實
[00:02:38.000 --> 00:02:40.400]  但是我們看回第二章第一章
[00:02:40.400 --> 00:02:43.000]  就是神創造人的時候
[00:02:43.000 --> 00:02:45.000]  他原本的心意
