
[00:00:00.000 --> 00:00:09.000]  願因平安從天父上帝並主耶穌基督歸於大眾和聖會
[00:00:09.000 --> 00:00:11.000]  誠心所願
[00:00:11.000 --> 00:00:16.000]  今日是張臨期的第二個星期
[00:00:16.000 --> 00:00:19.000]  再過兩個星期就是聖誕節
[00:00:19.000 --> 00:00:22.000]  我想在我們的教會裡大家都很熟悉
[00:00:22.000 --> 00:00:26.000]  再過兩個星期聖誕節就到了
[00:00:26.000 --> 00:00:33.000]  在這段等待的期間或我們盼望的期間
[00:00:33.000 --> 00:00:39.000]  容我將大家帶到第一世紀的監牢裡
[00:00:39.000 --> 00:00:41.000]  因為我們今天所讀的經文
[00:00:41.000 --> 00:00:45.000]  就記載到一位師仔約翰
[00:00:45.000 --> 00:00:49.000]  師仔約翰是很奇特的人
[00:00:49.000 --> 00:00:51.000]  如果大家熟悉聖經
[00:00:51.000 --> 00:00:53.000]  我相信大家很熟悉
[00:00:53.000 --> 00:00:59.000]  他在我們主約學團契很多聚會裡都提到
[00:00:59.000 --> 00:01:02.000]  他住在曠野裡離開了家裡
[00:01:02.000 --> 00:01:04.000]  吃的蝗蟲野蜜
[00:01:04.000 --> 00:01:06.000]  到現在人們還在想
[00:01:06.000 --> 00:01:10.000]  還在研究蝗蟲野蜜是什麼東西
[00:01:10.000 --> 00:01:13.000]  真的有人吃蝗蟲嗎
[00:01:13.000 --> 00:01:17.000]  現在當然蟻也有人吃
[00:01:17.000 --> 00:01:21.000]  很多蚯蚓也有人吃
[00:01:21.000 --> 00:01:24.000]  蟑螂也有人吃
[00:01:24.000 --> 00:01:26.000]  吃蝗蟲不奇怪
[00:01:26.000 --> 00:01:28.000]  但在當時第一世紀來說
[00:01:28.000 --> 00:01:31.000]  是一個很古怪的人
[00:01:31.000 --> 00:01:33.000]  住在曠野裡
[00:01:33.000 --> 00:01:35.000]  穿著駱駝毛的衣服
[00:01:35.000 --> 00:01:37.000]  非常粗糙
[00:01:37.000 --> 00:01:42.000]  我相信在他出生的時候
[00:01:42.000 --> 00:01:45.000]  神跡般出生的故事
[00:01:45.000 --> 00:01:47.000]  他的爸爸薩吉利亞
[00:01:47.000 --> 00:01:49.000]  他的媽媽伊麗莎白
[00:01:49.000 --> 00:01:51.000]  他們已經是老人家
[00:01:51.000 --> 00:01:53.000]  到他出生之後
[00:01:53.000 --> 00:01:55.000]  他更加是老人家
[00:01:55.000 --> 00:01:58.000]  我想他一對老年夫婦
[00:01:58.000 --> 00:02:00.000]  都會將此世若寒
[00:02:00.000 --> 00:02:02.000]  神跡般出生的事
[00:02:02.000 --> 00:02:05.000]  從小到大告訴他
[00:02:05.000 --> 00:02:07.000]  我想他們的故事說不完
[00:02:07.000 --> 00:02:08.000]  今天說一點
[00:02:08.000 --> 00:02:09.000]  明天說一點
[00:02:09.000 --> 00:02:10.000]  後天說一點
[00:02:10.000 --> 00:02:14.000]  我想薩吉利亞一定會跟他說
[00:02:14.000 --> 00:02:15.000]  兒子兒子
[00:02:15.000 --> 00:02:18.000]  有一天我去聖殿裡祈禱的時候
[00:02:18.000 --> 00:02:22.000]  突然有一個天使跟我說
[00:02:22.000 --> 00:02:25.000]  薩吉利亞你將要生一個兒子
[00:02:25.000 --> 00:02:28.000]  兒子你知道我怎樣回答他嗎
[00:02:28.000 --> 00:02:29.000]  我回答他
[00:02:29.000 --> 00:02:31.000]  怎能有這事呢
[00:02:31.000 --> 00:02:32.000]  不可能
[00:02:32.000 --> 00:02:33.000]  我年紀老大了
[00:02:33.000 --> 00:02:36.000]  我太太都老了
