
[00:00:00.000 --> 00:00:05.400]  各位弟兄姊妹、各位朋友 你們好
[00:00:05.400 --> 00:00:10.100]  歡迎大家參加我們三藩市報道會網上的五堂崇拜
[00:00:10.100 --> 00:00:13.900]  我們今天繼續思想大衛生平的信息
[00:00:13.900 --> 00:00:19.000]  我們去到《撒滿爾記》第十二章一節至十二節
[00:00:19.000 --> 00:00:25.600]  和詩篇五十一篇 題目叫做「悔罪之徒」
[00:00:25.600 --> 00:00:30.100]  我們在思想這段聖經之前 出來同心低頭
[00:00:30.100 --> 00:00:35.400]  我們同禱告 慈悲人啊天父 我們多謝你
[00:00:35.400 --> 00:00:41.100]  我們知道一如大衛一樣 我們都是很軟弱很軟弱的人
[00:00:41.100 --> 00:00:45.600]  求祢讓我們能夠去誠實面對我們的軟弱
[00:00:45.600 --> 00:00:50.800]  並且能夠有膽量在你面前悔改、認罪
[00:00:50.800 --> 00:00:56.600]  求祢寬恕 求祢直著聖經的話語
[00:00:56.600 --> 00:00:59.600]  特別是今天我們所思想這段經文
[00:00:59.600 --> 00:01:04.800]  去提醒、勸勉、教導、督責、改變我們
[00:01:04.800 --> 00:01:10.400]  我們這樣禱告乃是奉耶穌基督命求 阿門
[00:01:10.400 --> 00:01:13.700]  馬賽牧師是美國參議院的牧師
[00:01:13.700 --> 00:01:16.000]  是一個很有恩賜的講員
[00:01:16.000 --> 00:01:18.800]  他曾經說過一個非常有趣的故事
[00:01:18.800 --> 00:01:21.800]  在澳大利亞阿爾卑斯山谷裏面
[00:01:21.800 --> 00:01:25.300]  有一個風景非常優美的小鎮
[00:01:25.300 --> 00:01:29.800]  這裏的地方山明水秀、空氣清新
[00:01:29.800 --> 00:01:34.000]  沿著河谷一帶都是非常美麗的花草樹木
[00:01:34.000 --> 00:01:37.800]  河水清澈、從樹山流下來的清水
[00:01:37.800 --> 00:01:39.800]  完全沒有污染的
[00:01:39.800 --> 00:01:41.000]  原因何在呢?
[00:01:41.000 --> 00:01:44.000]  原來早年在這個小鎮的議會裏面
[00:01:44.000 --> 00:01:46.400]  出錢請了一個工人
[00:01:46.400 --> 00:01:49.800]  他住在河的上游 天天辛勤工作
[00:01:49.800 --> 00:01:54.600]  清理河水的落葉和一切污染了河流的垃圾
[00:01:54.600 --> 00:01:57.800]  以至河水非常清新
[00:01:57.800 --> 00:02:02.200]  流到小鎮的時候一樣是這麼清澈的
[00:02:02.200 --> 00:02:05.600]  每年慕名來的遊客樂而不絕
[00:02:05.600 --> 00:02:08.600]  帶來小鎮可觀的收入
[00:02:08.600 --> 00:02:10.200]  過了很多年了
[00:02:10.200 --> 00:02:12.200]  這個故宮漸漸老了
[00:02:12.200 --> 00:02:13.800]  但他仍然辛勤工作
[00:02:13.800 --> 00:02:16.600]  河水仍然是清晰明亮
[00:02:16.600 --> 00:02:21.400]  只不過小鎮的議會的議員都是新選的
[00:02:21.400 --> 00:02:23.800]  他們不認識這位幕後英雄
[00:02:23.800 --> 00:02:26.600]  當他們討論財政預算的時候
[00:02:26.600 --> 00:02:31.200]  發現其中一項叫做老人故宮的公知
[00:02:31.200 --> 00:02:34.800]  大家都不知道他做的公是做些什麼公
[00:02:34.800 --> 00:02:38.400]  以為河水之所以這麼美麗、這麼清澈
[00:02:38.400 --> 00:02:40.200]  是理所當然的事
[00:02:40.200 --> 00:02:42.000]  為了節省開支
[00:02:42.000 --> 00:02:45.200]  就開除這個老人故宮了
