
[00:00:00.000 --> 00:00:05.400]  好 等節目讓我們聽神的導演先
[00:00:05.400 --> 00:00:07.760]  讓我們先同心的投稿
[00:00:07.760 --> 00:00:11.400]  請姐妹讓我聽神道之前先同心的投稿
[00:00:11.400 --> 00:00:14.120]  好 神啊 求你的靈與愛同在
[00:00:14.120 --> 00:00:17.240]  帶領我們去認識主你的心思意念
[00:00:17.240 --> 00:00:20.200]  請天父 求你的靈
[00:00:20.200 --> 00:00:22.760]  在我們當中帶領我們
[00:00:22.760 --> 00:00:25.920]  讓我們信心的靈都隨著你的靈
[00:00:25.920 --> 00:00:27.600]  在我們面前的導演
[00:00:27.600 --> 00:00:29.600]  大家 夢著耶穌明朝
[00:00:29.600 --> 00:00:31.200]  好
[00:00:31.200 --> 00:00:35.000]  隨著自己的年齡越來越大了
[00:00:35.000 --> 00:00:37.400]  隨著自己年齡越來越大
[00:00:37.400 --> 00:00:40.680]  大家知道剛剛我五合歲了
[00:00:40.680 --> 00:00:42.680]  大家知道我剛剛過了50歲生日
[00:00:42.680 --> 00:00:45.000]  已經做完50歲
[00:00:45.000 --> 00:00:48.480]  發覺眼睛開始蒙
[00:00:48.480 --> 00:00:50.960]  發現自己眼睛開始刮了
[00:00:50.960 --> 00:00:53.640]  不知道是不是真的開始耳又聾了
[00:00:53.640 --> 00:00:58.320]  經常好像有點矇矇的 耳朵聽不太清楚
[00:00:58.320 --> 00:01:00.480]  不知道自己的耳朵是不是開始聾了
[00:01:00.480 --> 00:01:01.720]  經常聽不清楚
[00:01:01.720 --> 00:01:04.520]  人越來越隨著年齡大
[00:01:04.520 --> 00:01:06.000]  開始身體衰老
[00:01:06.000 --> 00:01:09.520]  這個正常現象 我都無話可說的
[00:01:09.520 --> 00:01:12.160]  人越來越老 身體開始衰老
[00:01:12.160 --> 00:01:13.680]  但是我是沒有意見
[00:01:13.680 --> 00:01:15.760]  不過就開始想一個問題
[00:01:15.760 --> 00:01:17.200]  不知道你有沒有想過
[00:01:17.200 --> 00:01:18.880]  不是開始想個問題
[00:01:18.880 --> 00:01:20.200]  不知道大家有沒有想過
[00:01:20.200 --> 00:01:24.400]  就是當如果在你臨終之前的日子
[00:01:24.400 --> 00:01:26.560]  當你臨終的時候
[00:01:26.560 --> 00:01:31.680]  你會向什麼人 跟他講什麼話呢?
[00:01:31.680 --> 00:01:34.000]  你向什麼人說什麼話呢?
[00:01:34.000 --> 00:01:37.840]  比如你和你家人會講什麼話呢?
[00:01:37.840 --> 00:01:39.120]  在你臨終之前
[00:01:39.120 --> 00:01:41.360]  像你向家裡人說什麼呢?
[00:01:41.360 --> 00:01:44.000]  或者比如我作為一個牧者
[00:01:44.000 --> 00:01:45.600]  和我的會友
[00:01:45.600 --> 00:01:47.520]  和我相識的弟兄姊妹
[00:01:47.520 --> 00:01:49.120]  或者我的朋友
[00:01:49.120 --> 00:01:51.200]  跟他講什麼話呢?
[00:01:51.200 --> 00:01:53.560]  作為牧者 我向我的會友
[00:01:53.560 --> 00:01:55.360]  向我的朋友說些什麼呢?
[00:01:55.360 --> 00:01:56.960]  都可能很不同
[00:01:56.960 --> 00:01:58.640]  可能會有何不同
[00:01:58.640 --> 00:02:00.560]  特別如果甚至一些上帝
[00:02:00.560 --> 00:02:03.440]  帶在你身邊 和你遇見過的人
[00:02:03.440 --> 00:02:05.600]  你又跟他講些什麼呢?
[00:02:05.600 --> 00:02:07.200]  像上帝帶到你身邊的人
[00:02:07.200 --> 00:02:09.040]  你又會跟他講些什麼呢?
