
[00:00:00.000 --> 00:00:06.000]  在今天崇拜講道之前我想提一件事情
[00:00:06.000 --> 00:00:08.000]  大家都知道我們在去年開始
[00:00:08.000 --> 00:00:12.000]  我們在崇拜之後就設立了有代禱的服事
[00:00:12.000 --> 00:00:16.000]  第三堂崇拜之後都會在輔唐三
[00:00:16.000 --> 00:00:18.000]  由教睦 由執事和穆部長
[00:00:18.000 --> 00:00:21.000]  來到慰禮弟兄姊妹 來到代求
[00:00:21.000 --> 00:00:23.000]  在北宣家裏面我們每個人都有需要
[00:00:23.000 --> 00:00:26.000]  有別人代禱的需要
[00:00:26.000 --> 00:00:28.000]  當你有個人的需要的時候
[00:00:28.000 --> 00:00:31.000]  不要單單是你自己去祈禱
[00:00:31.000 --> 00:00:33.000]  你讓其他弟兄姊妹可以為你祈禱
[00:00:33.000 --> 00:00:35.000]  可以給予代求
[00:00:35.000 --> 00:00:37.000]  見到神怎樣聽我們同心合意
[00:00:37.000 --> 00:00:40.000]  為不同的肢體的需要代禱
[00:00:40.000 --> 00:00:42.000]  鼓勵大家把握這個機會
[00:00:42.000 --> 00:00:44.000]  在每一次崇拜之後
[00:00:44.000 --> 00:00:47.000]  你可以去到輔唐三 由穆者為你禱告
[00:00:47.000 --> 00:00:50.000]  我們今天繼續思想關於家庭的訊息
[00:00:50.000 --> 00:00:51.000]  大家在一起同心
[00:00:51.000 --> 00:00:53.000]  我們祈禱仰望神
[00:00:53.000 --> 00:00:55.000]  我們主我們的神
[00:00:55.000 --> 00:00:58.000]  我們讚美你 因為你是施恩的上帝
[00:00:58.000 --> 00:01:03.000]  你的恩典是豐富的 是榮耀的
[00:01:03.000 --> 00:01:08.000]  你上上恩典為我們連瑞的冠冕
[00:01:08.000 --> 00:01:12.000]  我們縱使有很多不同的背景
[00:01:12.000 --> 00:01:15.000]  或者是富貴 或者是貧窮
[00:01:15.000 --> 00:01:18.000]  或者有學問 或者沒有學問
[00:01:18.000 --> 00:01:21.000]  但是主啊 我們頭上仍然戴著的冠冕
