
[00:00:00.000 --> 00:00:09.000]  今天跟大家一起思想的經文是出自於《佳太書》的第二章
[00:00:09.000 --> 00:00:12.000]  我們會看第六節至第十節
[00:00:12.000 --> 00:00:15.000]  我們延續上一堂的主日
[00:00:15.000 --> 00:00:20.000]  其實我們所看的是從第一節至第十節裏面的一個整全的部分
[00:00:20.000 --> 00:00:23.000]  現在我們去看下半部分
[00:00:23.000 --> 00:00:26.000]  讓我們再次去預備我們身心
[00:00:26.000 --> 00:00:30.000]  先去看下聖經當中的教訓是講什麼
[00:00:30.000 --> 00:00:35.000]  今天的講題就是在神的面前當有的面貌
[00:00:35.000 --> 00:00:39.000]  好,在開始之前我先跟大家一起讀一次
[00:00:39.000 --> 00:00:41.000]  大家也有聖經的打開
[00:00:41.000 --> 00:00:46.000]  一同去看下這段經文所講的內容是什麼
[00:00:46.000 --> 00:00:49.000]  那些有明望的都與我無干
[00:00:49.000 --> 00:00:51.000]  上帝不以外貌取人
[00:00:51.000 --> 00:00:55.000]  那些有明望的並沒有加增我神窩
[00:00:55.000 --> 00:00:59.000]  反倒看見了主托我全福音給那未受國禮的人
[00:00:59.000 --> 00:01:03.000]  正如托彼得全福音給那受國禮的人
[00:01:03.000 --> 00:01:05.000]  那感動彼得
[00:01:05.000 --> 00:01:08.000]  叫他為受國禮之人作仕徒的
[00:01:08.000 --> 00:01:09.000]  也感動我
[00:01:09.000 --> 00:01:11.000]  叫我為愛幫人作仕徒
[00:01:11.000 --> 00:01:13.000]  又知道所賜給我的恩典
[00:01:13.000 --> 00:01:15.000]  那稱為教會儲蓄的雅各
[00:01:15.000 --> 00:01:17.000]  幾法若翰
[00:01:17.000 --> 00:01:21.000]  就向我和巴拿巴用右手行相交之禮
[00:01:21.000 --> 00:01:23.000]  叫我門往愛幫人那裏去
[00:01:23.000 --> 00:01:26.000]  他們往受國禮的人那裏去
[00:01:26.000 --> 00:01:29.000]  只是願意我門紀念共人
[00:01:29.000 --> 00:01:32.000]  這也是我本來熱心去行的
[00:01:32.000 --> 00:01:35.000]  香港人有一句這樣的言語
[00:01:35.000 --> 00:01:39.000]  叫做人要面樹要皮
[00:01:39.000 --> 00:01:42.000]  究竟這句說話原本是什麼意思呢
[00:01:42.000 --> 00:01:46.000]  其實是比喻一個人是具有一個羞恥之心
[00:01:46.000 --> 00:01:50.000]  總要是要顧全自己的尊嚴
[00:01:50.000 --> 00:01:52.000]  和有些骨氣
[00:01:52.000 --> 00:01:54.000]  不是什麼事都去妥協
[00:01:54.000 --> 00:01:58.000]  但是隨著今天這個文化
[00:01:58.000 --> 00:02:00.000]  或者日子漸漸的開始
[00:02:00.000 --> 00:02:02.000]  將很多中國人的文化
[00:02:02.000 --> 00:02:06.000]  優良的傳統漸漸將它去磨滅
[00:02:06.000 --> 00:02:09.000]  這句說話後來變成這樣說
[00:02:09.000 --> 00:02:12.000]  人要念樹要皮
[00:02:12.000 --> 00:02:16.000]  樹若無皮必死無疑
[00:02:16.000 --> 00:02:20.000]  人不要念反而天下無敵
[00:02:20.000 --> 00:02:26.000]  其實很多人漸漸開始寧願將自己的尊嚴
[00:02:26.000 --> 00:02:28.000]  和自己的骨氣捨棄
[00:02:28.000 --> 00:02:34.000]  為的是要賺取這個世界所得到的名譽來
[00:02:34.000 --> 00:02:37.000]  而他為了要得到人的勇大
[00:02:37.000 --> 00:02:41.000]  即使說這些勇大是騙事或者是虛假的
[00:02:41.000 --> 00:02:45.000]  但是他們都願意賣主求榮
[00:02:45.000 --> 00:02:47.000]  其實這一類型的
[00:02:47.000 --> 00:02:51.000]  將很多中國人原本很好的言語
[00:02:51.000 --> 00:02:53.000]  將它扭橫折曲這樣說
[00:02:53.000 --> 00:02:56.000]  已經在這個時代裡面經常發生
[00:02:56.000 --> 00:03:00.000]  而且每一次當這些扭橫折曲的說話
[00:03:00.000 --> 00:03:03.000]  說出來之後都會令到很多人詐舌
[00:03:03.000 --> 00:03:07.000]  但是在這個世界確實仍然有很多人
[00:03:07.000 --> 00:03:11.000]  很願意為求達到目的不擇手段
[00:03:11.000 --> 00:03:13.000]  為了一己之私
[00:03:13.000 --> 00:03:15.000]  一己的自己的貪念
[00:03:15.000 --> 00:03:19.000]  使用出很多叫人誤會的方法
[00:03:19.000 --> 00:03:21.000]  而在宗教層面裡面
[00:03:21.000 --> 00:03:23.000]  更加不時我們看到
[00:03:23.000 --> 00:03:26.000]  而今天我們所看的加拉太書
[00:03:26.000 --> 00:03:30.000]  其實正正也同樣活在一個這樣的局面
[00:03:30.000 --> 00:03:33.000]  陷在一個那麼危險的情況裡面
[00:03:33.000 --> 00:03:37.000]  在上一堂在第二章第一至五節裡面
[00:03:37.000 --> 00:03:41.000]  我們已經看到保羅如何希望幫助
[00:03:41.000 --> 00:03:43.000]  加拉太的宗教會
[00:03:43.000 --> 00:03:46.000]  希望藉著去啟動信徒
[00:03:46.000 --> 00:03:50.000]  能夠檢測自己聽進去的一些歪理
[00:03:50.000 --> 00:03:52.000]  之後所受到的影響
[00:03:52.000 --> 00:03:57.000]  從而去撕掉那種以明星效應為主導的
[00:03:57.000 --> 00:04:00.000]  這種屬靈的引導和搞擾
[00:04:00.000 --> 00:04:03.000]  今天我們來到第六節至第十節
[00:04:03.000 --> 00:04:06.000]  保羅要更進一步的
[00:04:06.000 --> 00:04:12.000]  要去清楚告訴加拉太的宗教會神的子民知道
[00:04:12.000 --> 00:04:17.000]  關乎一個有關於侍奉的主旨
[00:04:17.000 --> 00:04:20.000]  就是原來我們在神的面前
[00:04:20.000 --> 00:04:22.000]  每一個神的子民
[00:04:22.000 --> 00:04:24.000]  在神的裡面
[00:04:24.000 --> 00:04:27.000]  其實都有一個當有的面貌
[00:04:27.000 --> 00:04:29.000]  是在上帝的面前活著
[00:04:29.000 --> 00:04:32.000]  甚至在這個世界的裡面活著
[00:04:32.000 --> 00:04:36.000]  而這個面貌絕對不是由人所塑造出來
[00:04:36.000 --> 00:04:40.000]  而是神的靈鑄在我們當中
[00:04:40.000 --> 00:04:43.000]  然後藉著我們的生命生活
[00:04:43.000 --> 00:04:48.000]  然後把這個面貌漸漸的散發出來
[00:04:48.000 --> 00:04:52.000]  然後去能夠讓人去發現到
[00:04:52.000 --> 00:04:54.000]  見得到的
[00:04:54.000 --> 00:04:56.000]  就好像榴槤一樣
[00:04:56.000 --> 00:04:58.000]  有些人很喜歡吃榴槤
[00:04:58.000 --> 00:05:00.000]  其實我也很喜歡吃榴槤
